id,uuid
tongeren-l-van-gl,01430b02-7545-400e-b206-e77767dacbfe
bommel-h-van-sp,026bb3ee-3800-4c8d-b97c-b507c73b73f2
keijzer-mcg-cda,036c9e6b-0e1e-42f7-9424-79e7d26c630b
bouwmeester-lt-pvda,04114856-c55f-4931-9036-ba0f3d3365e4
berndsen-jansen-ma-d66,0a077aa6-85d1-4336-811b-7593640e1ccd
slob-cu,0dea6c05-9253-4070-8a81-901e4758a7b9
wijngaarden-j-van-vvd,0e5d397b-66a4-49ca-a3dc-a18d9fc41044
oosenbrug-rfa-pvda,0f4e064f-c71d-46a8-bea7-771d9c220734
koolmees-w-d66,0ff55677-4642-439a-a963-aae47714dd62
klaveren-jj-van-grbvk,10fae70d-4d08-4c5a-bf48-7fc89e031ea4
geurts-jl-cda,11a45e94-b153-409a-9c95-54b04cdaf12a
maij-me-pvda,152f09f0-3f81-4dba-981a-28fda7023991
mulder-ah-cda,1c377985-9ac8-4c4b-bb18-a4b85d845040
knops-rw-cda,1c3e9f3c-3d5a-443d-94c5-b984f9d8ba99
tanamal-gsia-pvda,1e8e62ac-5d76-4c11-99ae-efd8af47cf2b
tellegen-oc-vvd,1fbe9709-ff76-4d6f-8627-acefadc6d3d3
bosman-vvd,2203a1a1-6eb0-4fb0-9f20-72a42c0295bf
haersma-buma-s-van-cda,22e83d0b-7681-463e-9ce8-ae9ef8a50e31
volp-mjj-pvda,26353106-6b03-4fbc-97f8-572a9caed862
ko%C5%9Fer-kaya-f-d66,284a35c4-02f6-4608-a1a8-fab11d9a5145
amhaouch-m-cda,29f008f9-aeaf-4a9c-b2be-1017d6dd85c6
hoogland-d-pvda,2feeb3ac-3ee8-44e6-b42b-baf2a206ce30
ouwehand-e-pvdd,3018bdd9-05fc-4620-a5cd-93744477767e
nijboer-h-pvda,31fc0386-74e4-4035-a937-a81f946e3578
wassenberg-fp-pvdd,3232f897-69d6-4483-9ea8-6d351624f9ef
zijlstra-h-vvd,377d6adb-bb1b-455f-9aeb-fd3b68b18b3c
eijsink-amc-pvda,37a03438-c035-415e-af2c-8b7a63b4ca92
kerstens-jwm-pvda,386ee624-7892-49e3-9d5d-4ef669e1e255
teeven-f-vvd,398703d5-a76e-4a21-890b-dc8efa9826fb
vermeij-ra-pvda,3c34a21d-b5bc-42e6-a028-f973d6609e31
leenders-hjm-pvda,3d5a0e65-9a73-4120-8d44-7d73b40c9eb9
potters-sccm-vvd,3fa253e0-a9d0-44a8-b852-2b0d6bf087d3
dijk-jj-van-sp,4361b3c6-3f07-4464-9007-993d550901be
klaver-jf-gl,463b0f30-6d5d-4cea-9f56-30b8a283032f
y%C3%BCcel-k-pvda,4810f227-264c-45c0-9a3c-779630d81fde
bruins-slot-hgj-cda,48c42ec3-a21b-42af-9a3d-d000010666a3
bosma-rpg-vvd,4a0738c4-1330-447f-b173-fadd7ac602e3
bontes-l-grbvk,4aecab94-e6c1-4a22-8823-b98f189fde87
agema-m-pvv,4c49924b-e8e1-4ffd-bddf-2cbed9cea634
vos-jc-pvda,4cf5b880-7e80-4e22-81d9-66cb46b59ea7
vries-de-vvd,4f423961-d937-43c8-b6f9-9965af5e60de
houwers-j-houwers,4f565972-b0f3-4a54-824b-d0eec0c49f18
vries-aa-de-pvda,50560e36-d305-4a7c-8c9a-c0516151909d
l-rpg-vvd,51336080-b0c9-43b1-b2b4-d5d073e26612
g%C3%BCnal-gezer-s-pvda,527a051f-9d84-448a-b67a-63e99cf96fd7
liefde-bc-de-vvd,528cf442-1957-47bf-b7ce-3fdc42bef116
hachchi-w-d66,54bae09c-0e38-4a01-bcd4-5610cd1b190d
kuzu-t-grk%C3%B6,55756b65-f362-46a5-932a-0a308201972a
