id,name,start_date,end_date,wikidata
51,51st Parliament,2014-10-20,,Q4640115
50,50th Parliament,2011-12-20,2014-09-19,Q4120749
49,49th Parliament,2008-12-08,2011-10-20,Q11812120
48,48th Parliament,2005-11-07,2008-10-03,Q4638695
47,47th Parliament,2002-07-27,2005-08-11,Q4638561
46,46th Parliament,1999-11-27,2002-07-27,Q4638384
45,45th Parliament,1996-10-12,1999-11-27,Q4638247
44,44th Parliament,1993-11-06,1996-10-12,Q4638089
43,43rd Parliament,1990-10-27,1993-11-06,Q4637956
42,42nd Parliament,1987-08-15,1990-10-27,Q4637809
41,41st Parliament,1984-07-14,1987-08-15,Q4637677
40,40th Parliament,1981-11-28,1984-07-14,Q4637487
39,39th Parliament,1978-11-25,1981-11-28,Q4636176
38,38th Parliament,1975-11-29,1978-11-25,Q4636032
37,37th Parliament,1972-11-25,1975-11-29,Q4635906
36,36th Parliament,1969-11-29,1972-11-25,Q4635769
