id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
900a6428-cf51-42ad-a1e9-f30680dab46d,Adrian Rurawhe,"Rurawhe, Adrian",Adrian.rurawhe@parliament.govt.nz,adrianrurawhe,RurawheAdrian,Labour Party,labour_party,area/te_tai_hauāuru,Te Tai Hauāuru,New Zealand Parliament,51,,,https://www.parliament.nz/media/1369/rurawhe-adrian.DeiMZg.jpg,
0ab3406b-5b2d-4490-8f31-e2003cd35d80,Alastair Scott,"Scott, Alastair",Alastair.scott@parliament.govt.nz,ascottwairarapa,alastairscottforwairarapa,National Party,national_party,area/wairarapa,Wairarapa,New Zealand Parliament,51,,,https://www.parliament.nz/media/1373/scott-alastair.C24a-w.jpg,
a4798b49-4661-46f2-bb27-364f006794b9,Alfred Ngaro,"Ngaro, Alfred",alfred.ngaro@parliament.govt.nz,AlfredNgaroMP,alfred.ngaro,National Party,national_party,area/list,List,New Zealand Parliament,51,,,https://www.parliament.nz/media/1354/ngaro-alfred.DehdRg.jpg,
bfe0d4d5-72b3-4add-8023-ae254a55f463,Amy Adams,"Adams, Amy",amy.adams@parliament.govt.nz,amyadamsMP,MPAmyAdams,National Party,national_party,area/selwyn,Selwyn,New Zealand Parliament,51,,,https://www.parliament.nz/media/2061/adams-amy.C2zLkg.jpg,
da86e725-881f-4384-9815-3770ddcf6ff7,Andrew Bayly,"Bayly, Andrew",Andrew.bayly@parliament.govt.nz,,,National Party,national_party,area/hunua,Hunua,New Zealand Parliament,51,,,https://www.parliament.nz/media/1260/bayly-andrew.C24cgg.jpg,
29b777e2-9965-47dd-a427-9b7d6188d4cd,Andrew Little,"Little, Andrew",andrew.little@parliament.govt.nz,AndrewLittleMP,AndrewLittleLabour,Labour Party,labour_party,area/list,List,New Zealand Parliament,51,,,https://www.parliament.nz/media/1340/little-andrew.C1kn0g.jpg,
da4bf702-89cd-46f3-8ff1-c0a7fd61af67,Anne Tolley,"Tolley, Anne",anne.tolley@parliament.govt.nz,AnneTolleyMP,honannetolley,National Party,national_party,area/east_coast,East Coast,New Zealand Parliament,51,,,https://www.parliament.nz/media/1400/tolley-anne.C24btw.jpg,
12749685-57a7-4dde-88c5-bee2cdb4761a,Annette King,"King, Annette",annette.king@parliament.govt.nz,annetterongotai,annette.king.of.rongotai,Labour Party,labour_party,area/rongotai,Rongotai,New Zealand Parliament,51,,,https://www.parliament.nz/media/1332/king-annette.Ddisuw.jpg,
092cc7fa-bd51-4f70-af01-ac81b1d26220,Aupito William Sio,"Sio, William",Aupito.william.sio@parliament.govt.nz,aupitowsio_mp,aupitowilliamsio,Labour Party,labour_party,area/māngere,Māngere,New Zealand Parliament,51,,,https://www.parliament.nz/media/1378/sio-aupito-william.DencUw.jpg,
11a14a4b-0f92-4f12-8eea-4cf4269803be,Barbara Kuriger,"Kuriger, Barbara",Barbara.kuriger@parliament.govt.nz,BarbaraKuriger,barbara.kuriger,National Party,national_party,area/taranaki-king_country,Taranaki-King Country,New Zealand Parliament,51,,,https://www.parliament.nz/media/1335/kuriger-barbara.C24X4g.jpg,
dd066657-c1da-4fbd-83d5-e6076eab6f7f,Barbara Stewart,"Stewart, Barbara",barbara.stewart@parliament.govt.nz,,barbarastewartmp,NZ First,nz_first,area/list,List,New Zealand Parliament,51,,,https://www.parliament.nz/media/1382/stewart-barbara.C24bTA.jpg,
11257f61-3bf2-43b0-821f-272a41d206fe,Barry Coates,"Coates, Barry",barry.coates@parliament.govt.nz,BarryCoates,barrycoatesnz,Green Party,green_party,area/list,List,New Zealand Parliament,51,2016-10-07,,https://www.parliament.nz/media/3046/coates-barry.DZZyzA.jpg,
999f5d59-7498-448c-8291-f1a971f7c2ca,Bill English,"English, Bill",bill.english@parliament.govt.nz,pmbillenglish,pmbillenglish,National Party,national_party,area/list,List,New Zealand Parliament,51,,,https://www.parliament.nz/media/1286/english-bill5.C1fwxA.jpg,
df8c7cdb-59fe-4882-83a2-123d192a3751,Brett Hudson,"Hudson, Brett",brett.hudson@parliament.govt.nz,bhudson_nz,bretthudson.national,National Party,national_party,area/list,List,New Zealand Parliament,51,,,https://www.parliament.nz/media/1306/hudson-brett.C24XuQ.jpg,
abe0bd6b-569d-4ad9-845f-4901c70d0ba6,Carmel Sepuloni,"Sepuloni, Carmel",carmel.sepuloni@parliament.govt.nz,CarmelSepuloni,,Labour Party,labour_party,area/kelston,Kelston,New Zealand Parliament,51,,,https://www.parliament.nz/media/1374/sepuloni-carmel.DelnFg.jpg,
