id,name__ko,name,wikipedia__ko,name__en,wikipedia__en,gender,identifier__freebase,birth_date,family_name,identifier__ISNI,identifier__VIAF,death_date,identifier__NTA,identifier__MusicBrainz,image,identifier__GND,identifier__LCAuth,identifier__NDL,identifier__IIAF,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__de,name__ja,name__pl,name__vi,name__ru,name__sv,name__es,name__fr,name__nl,name__nb,name__zh,name__cs,name__sco,name__hu,name__hy,name__cy,name__gl,wikipedia__de,wikipedia__fr,wikipedia__hu,wikipedia__ja,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__sv,wikipedia__vi,wikipedia__zh,original_wikiname,wikipedia__nl,identifier__FAST,name__tr,name__ca,wikipedia__ca,wikipedia__tr,name__nds,wikipedia__nds,wikipedia__simple,name__pt,name__be,name__yo,name__fi,name__it,name__be_tarask,name__la,name__et,name__id,name__fa,name__el,name__bg,name__da,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__la,wikipedia__pt,wikipedia__yo,name__ar,name__az,name__bcl,name__br,name__de_ch,name__en_ca,name__en_gb,name__eo,name__he,name__hr,name__ka,name__lt,name__lv,name__mk,name__ml,name__ms,name__my,name__nds_nl,name__nn,name__pt_br,name__ro,name__scn,name__sk,name__sq,name__sr,name__ta,name__th,name__tk,name__uk,name__yue,name__zh_my,name__zh_mo,name__hak,name__szl,name__ast,name__mn,name__an,name__af,name__eu,name__tg,name__tl,name__oc,name__gsw,name__sgs,name__nan,name__bn,name__os,name__war,name__hi,name__cdo,name__wuu,name__ckb,name__ne,name__sh,name__ur,name__kn,wikipedia__af,wikipedia__als,wikipedia__an,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__bat_smg,wikipedia__bcl,wikipedia__bn,wikipedia__br,wikipedia__cdo,wikipedia__ckb,wikipedia__cs,wikipedia__cy,wikipedia__eo,wikipedia__eu,wikipedia__gl,wikipedia__hak,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__huwikiquote,wikipedia__hy,wikipedia__itwikiquote,wikipedia__ka,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__ml,wikipedia__mn,wikipedia__ms,wikipedia__my,wikipedia__nds_nl,wikipedia__ne,wikipedia__nn,wikipedia__os,wikipedia__plwikiquote,wikipedia__ro,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__svwikiquote,wikipedia__szl,wikipedia__ta,wikipedia__tg,wikipedia__th,wikipedia__tk,wikipedia__tl,wikipedia__trwikiquote,wikipedia__uk,wikipedia__ur,wikipedia__war,wikipedia__wuu,wikipedia__zh_min_nan,wikipedia__zh_yue,name__mg,wikipedia__mg,name__ku_arab,name__ku_latn,name__ku,wikipedia__commons,wikipedia__ku,name__hif,occupation,name__ga,name__pap,name__lmo,name__pa,name__si,name__gan,name__is,name__sl,name__mai,wikipedia__bewikiquote,wikipedia__dewikinews,wikipedia__enwikinews,wikipedia__eswikinews,wikipedia__gan,wikipedia__ga,wikipedia__is,wikipedia__kowikinews,wikipedia__lmo,wikipedia__mai,wikipedia__pap,wikipedia__pa,wikipedia__ptwikinews,wikipedia__si,wikipedia__sl,wikipedia__srwikinews,wikipedia__ukwikiquote,identifier__Britannica,identifier__wikitree,identifier__guardian_topic,identifier__nyt_topic,identifier__quora,identifier__bigenc_ru,name__kana,identifier__SUDOC,given_name
Q1062006,"김영주","Kim Yong-ju","김영주 (1920년)","Kim Yong-ju","Kim Yong-ju",male,/m/0hgqwlx,1920,,,60404935,,,,,,n81075693,,,,,,,,,"Kim Yŏng-ju","金英柱",,,"Ким Ён Чжу",,"Kim Yong-ju","Kim Yong-ju","Kim Jong Chu",,"金英柱",,"Kim Yong-ju","Kim Yong-ju","Կիմ Յոնգ Ջի",,,"Kim Yŏng-ju",,,"金英柱",,,"Ким Ён Чжу",,,"金英柱","Kim Yong-ju","Kim Jong Chu",75521,,,,,,,"Kim Yong-ju",,,,,,,,,,,,,,,,,,,"Kim Yong-ju",,,,,,,,,"كم يونغ جو",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10855116,"강능수","Kang Nung-su","강능수","Kang Nung-su","Kang Nung-su",male,,1930-02-21,,"0000 0003 8705 0424",279924989,2015-07-21,320684067,,,,,,,,,,,,,,,"Kang Nŭng Su",,,,,"Kang Nung-su","Kang Nung-su",,"康能洙",,,,,"Kang Nung-su",,,,,,,"Kang Nŭng Su",,,,"康能洙","Kang Nung-su",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q110456,"김영남","Kim Yong-nam","김영남","Kim Yong-nam","Kim Yong-nam",male,/m/022w7q,1928-02-04,Kim,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/17/Kim_Yong-nam_2015.jpg,,,,,"金永南","金永南","金永南","金永南","金永南","金永南","Kim Yŏng-nam","金永南","Kim Yŏng Nam","Kim Yong-nam","Ким Ён Нам","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","金永南",,,"Kim Jongnam",,,,"Kim Yŏng-nam","Kim Yong-nam","Kim Jongnam","金永南","Kim Yong-nam","Kim Yŏng Nam","Ким Ён Нам","Kim Yong-nam","Kim Yong-nam","金永南","Kim Yong-nam","Kim Yong-nam",,"Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam","Кім Ён Нам","Kim Yong-nam","Kim Yong-nam","Kim Yong-nam",,,"Kim Yŏng-nam","Kim Yong Nam","کیم یونگ-نام",,,"Kim Yong-nam",,"Кім Ён Нам",,"Kim Yong-nam",,"Kim Yong-nam","Kim Yŏng-nam","کیم یونگ-نام","Kim Yong-nam","Kim Yong Nam","Kim Yong-nam",,"Kim Yong-nam","Kim Yong-nam",,,,,"Kim Yŏng-nam","Kim Yong-nam","Kim Yong-nam",,"קים יונג-נאם",,,,,,,,,,,"Kim Yong-nam",,,,,,,,,"Кім Йон Нам","金永南","金永南","金永南",,,,,,,,,,"Kim Yong-nam",,,,,,,,,,,,"Kim Yŏng-nam",,,,,,,,,,,,,,,,,,,,,"קים יונג-נאם",,,,,,,,,,,,,,,,,,"Kim Yong Nam",,,,,"Kim Yŏng-nam",,,,,,,,,,,,"Кім Йон Нам",,,,,,,,"کم یۆنگ-نام","Kim Yong-nam","Kim Yong-nam","Category:Kim Yong-nam","Kim Yong-nam",,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063939,,,
Q11727287,"조연준","Jo Yon-jun","조연준","Jo Yon-jun","Cho Yon-jun",male,,1937,,,,,,,,,,,,,,,,,,"Jo Yon-jun","超延俊","Jo Yŏn Jun",,,,,"Jo Yon-jun","Jo Yon-jun",,"趙延俊",,,,,,,"Jo Yon-jun",,,"超延俊",,"Jo Yŏn Jun",,,,"趙延俊","Cho Yon-jun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jo
Q12583163,"강형봉","Kang Hyong-bong","강형봉","Kang Hyong-bong","Kang Hyong-bong",male,,1957-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,"姜炯奉",,,,,,,,,,,,,,,,"姜炯奉","Kang Hyong-bong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12612180,"리용철","Ri Yong-chol",,"Ri Yong-chol","Ri Yong-chol",male,,1991-01-08,,,,,,,,,,,,,,,,,,,,,,,,"Ri Yong-chol",,"Ri Yong-Chol",,"李勇哲",,,,,,,,,,,,,,,,"李勇哲 (1991年出生)","Ri Yong-chol",,,,,,,,,,,,,,"Ri Yong-Chol",,,,,,,,,,,,,,"Ri Yong-chol",,,,,"Ri Yong-Chol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"association football player",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15977231,"강표영","Kang Phyo-yong","강표영","Kang Phyo-yong","Kang Phyo-yong",male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kang Phyo-yong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1672031,,"Kim Kwang-Hyok",,"Kim Kwang-Hyok","Kim Kwang-hyok",male,/m/04zw8ts,1985-08-27,,,,,,,,,,,,,,,,,,"Kim Kwang-hyok",,,,,,"Kim Kwang-Hyok","Kim Kwang-Hyok","Kim Kwang-Hyok",,"金光赫",,,,,,,"Kim Kwang-hyok",,,,,,,,,"金光赫","Kim Kwang-hyok",,,,,,,,,,,,,,"Kim Kwang-Hyok",,,,,,,,,,,,,,,,,,,"Kim Kwang-Hyok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"association football player",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q176188,,"Kim Chol-ho",,"Kim Chol-ho","Kim Chol-ho",male,/m/04zvf_c,1985-10-15,,,,,,,,,,,,,,,,,,"Kim Chol-ho","金哲鎬",,,,,"Kim Chol-Ho","Kim Chol-Ho","Kim Chol-Ho",,"金哲鎬",,,,,,,"Kim Chol-ho",,,,,,,,,"金哲鎬","Kim Chol-ho",,,,,,,,,,,,,,"Kim Chol-Ho",,,,,,,,,,,,,,,,,,,"Kim Chol-Ho",,,,"كيم تشول هو",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"كيم تشول هو",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kim Chol-Ho","Kim Chol-Ho",,,,,,,"association football player",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18758310,,"Han Song-hyok",,"Han Song-hyok","Han Song-hyok",male,,1987-12-11,,,,,,,,,,,,,,,,,,,,,,,,,"Han Song-hyok","Han Song-hyok",,"韓成赫",,,"Han Szonghjok",,,,,,"Han Szonghjok",,,,,,,"韓成赫","Han Song-hyok",,,,,,,,,,"Han Song-hyok",,,,"Han Song-Hyok",,,,,,,,,,,,,,,,,,,"Han Song-Hyok",,"Han Song-hyok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"association football player",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20671751,"박영식","Pak Yong-sik","박영식 (군인)","Pak Yong-sik","Pak Yong-sik",male,,,,,,,,,,,,,,,"樸永植",,"朴永植",,,,"朴永植",,,"Пак Ён Сик",,,,"Pak Yong-sik",,,,,,,,,,,,"朴永植",,,"Пак Ён Сик",,,,"Pak Yong-sik",,,,,,,,,,,,,,,,,,"Pak Yong-sik",,,,,,,,,,,,,,"Pak Yong-sik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"military personnel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25035961,,"Kim Tok-hun",,"Kim Tok-hun","Kim Tok-hun",male,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kim Tok-hun",,,,,,,,,,,,,,,,,,,"Kim Tok-hun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26483245,,"Kim Myong-nam",,"Kim Myong-nam","Kim Myong-nam",male,,1969-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,"Kim Myong-nam",,,,,"Kim Mjongnam",,,,,,,,,,,,,,"Kim Myong-nam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q271067,"김경희","Kim Kyong-hui","김경희 (정치인)","Kim Kyong-hui","Kim Kyong-hui",female,/m/0ddb1z0,1946-05-30,,,,,,,,,,,,"金敬姬","金敬姬","金敬姬","金敬姬","金敬姬","金敬姬","Kim Kyŏng-hŭi","金敬姫","Kim Kyŏng Hŭi","Kim Kyong-hui","Ким Гён Хи","Kim Kyong-hui","Kim Kyong-hui","Kim Kyong-hui","Kim Kyong-hui","Kim Kyong-hui","金敬姬","Kim Kyong-hui","Kim Kyong-hui","Kim Gjonghi","Կիմ Կյոնգ Հուի","Kim Kyong-hui","Kim Kyong-hui","Kim Kyŏng-hŭi","Kim Kyong-hui","Kim Gjonghi","金敬姫","Kim Kyong-hui","Kim Kyŏng Hŭi","Ким Гён Хи","Kim Kyong-hui","Kim Kyong-hui","金敬姬","Kim Kyong-hui",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kim Kyong-hui",,,,,,,,,"كم كيونغ هي",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kim Kyong-hui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27830811,,"Kim Song-chol",,"Kim Song-chol","Kim Song-chol",male,,1993-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,"Kim Song-chol",,,,,,,,,,,,,,,,,,,"Kim Song-chol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weightlifter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q310875,"김영일","Kim Yong-il","김영일 (1944년)","Kim Yong-il","Kim Yong-il",male,/m/02qkbrw,1944-05-02,Kim,,,,,,,,,,,"金英日","金英日","金英日","金英日","金英日","金英日","Kim Yong-il","金英逸","Kim Yŏng Il",,"Ким Ён Иль","Kim Yong-il","Kim Yong-il","Kim Yong-il","Kim Yong-il","Kim Yong-il","金英日",,,"Kim Jongil",,,,"Kim Yong-il","Kim Yong-il","Kim Jongil (politikus)","金英逸","Kim Yong-il","Kim Yŏng Il","Ким Ён Иль","Kim Yong-il",,"金英日 (朝鲜总理)","Kim Yong-il","Kim Yong-il",,,,,,,,,"Kim Yong-il","Кім Ён Ір","Kim Yong-il","Kim Yŏng-il","Kim Yong-il","Кім Ён Ір","Kim Yong-il","Kim Yŏng-il","Kim Yong-il","کیم یونگ-ایل","Κιμ Ιόνγκ Ιλ","Ким Йон Ир","Kim Yong-il","Кім Ён Ір","Кім Ён Ір","Ким Йон Ир","Kim Yong-il","Κιμ Ιόνγκ Ιλ","Kim Yong-il","Kim Yŏng-il","کیم یونگ-ایل","Kim Yŏng-il","Kim Yong-il","Kim Yong-il","Kim Yong-il","Kim Yong-il","Kim Yong-il",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q310889,"최영림","Choe Yong-rim","최영림 (1930년)","Choe Yong-rim","Choe Yong-rim",male,/m/0c3x_yp,1929-11-20,Cui,,,,,,,,,,,"崔永林","崔永林","崔永林","崔永林","崔永林","崔永林","Choe Yong-rim","崔永林","Ch'oe Yŏng Rim","Choe Yŏngrim","Чхве Ён Рим","Choe Yong-rim","Choe Yong-rim","Choe Yong-rim","Choe Yong-rim","Choe Yong-rim","崔永林","Čche Jong-rim",,"Choe Yong-rim",,,"Choe Yong-rim","Ch’oe Yŏng-rim","Choe Yong-rim",,"崔永林","Choe Yong-rim","Ch'oe Yŏng Rim","Чхве Ён Рим","Choe Yong-rim","Choe Yŏngrim","崔永林","Choe Yong-rim","Choe Yong-rim",,"Choe Yong-rim",,,"Choe Yong-rim",,,,"Choe Yong-rim",,"Choe Yong-rim","Choe Yong-rim","Choe Yong-rim",,,,"Choe Yong-rim","چو یونگ-ریم","Τσόε Γιονγκ-ριμ",,"Choe Yong-rim",,,,"Choe Yong-rim","Τσόε Γιονγκ-ριμ","Choe Yong-rim",,"چو یونگ-ریم","Choe Yong-rim","Choe Yong-rim","Choe Yong-rim",,"Choe Yong-rim","Choe Yong-rim",,,,,,,,,"צ'וי יונג-רים",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Čche Jong-rim",,,,"Choe Yong-rim",,"צ'וי יונג-רים",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
