id,wikidata
uk.org.publicwhip/cons/35-NI,Q4882274
uk.org.publicwhip/cons/36-NI,Q4882308
uk.org.publicwhip/cons/37-NI,Q4882329
uk.org.publicwhip/cons/38-NI,Q4882350
uk.org.publicwhip/cons/192-NI,Q5327714
uk.org.publicwhip/cons/197-NI,Q5328872
uk.org.publicwhip/cons/231-NI,Q5444367
uk.org.publicwhip/cons/235-NI,Q5477379
uk.org.publicwhip/cons/325-NI,Q15241246
uk.org.publicwhip/cons/375-NI,Q6841031
uk.org.publicwhip/cons/400-NI,Q7019151
uk.org.publicwhip/cons/402-NI,Q7053953
uk.org.publicwhip/cons/406-NI,Q7055150
uk.org.publicwhip/cons/515-NI,Q7565994
uk.org.publicwhip/cons/519-NI,Q7567069
uk.org.publicwhip/cons/557-NI,Q7621629
uk.org.publicwhip/cons/593-NI,Q7898475
uk.org.publicwhip/cons/629-NI,Q7986717
