id,name
area/na-100_(gujranwala-vi),NA-100 (Gujranwala-VI)
area/na-101_(gujranwala-vii),NA-101 (Gujranwala-VII)
area/na-102_(hafizabad-i),NA-102 (Hafizabad-I)
area/na-103_(hafizabad-ii),NA-103 (Hafizabad-II)
area/na-104_(gujrat-i),NA-104 (Gujrat-I)
area/na-105_(gujrat-ii),NA-105 (Gujrat-II)
area/na-106_(gujrat-iii),NA-106 (Gujrat-III)
area/na-107_(gujrat-iv),NA-107 (Gujrat-IV)
area/na-108_(m.b.din-i),NA-108 (M.B.Din-I)
area/na-109_(m.b.din-ii),NA-109 (M.B.Din-II)
area/na-10_(mardan-ii),NA-10 (Mardan-II)
area/na-110_(sialkot-i),NA-110 (Sialkot-I)
area/na-111_(sialkot-ii),NA-111 (Sialkot-II)
area/na-112_(sialkot-iii),NA-112 (Sialkot-III)
area/na-113_(sialkot-iv),NA-113 (Sialkot-IV)
area/na-114_(sialkot-v),NA-114 (Sialkot-V)
area/na-115_(narowal-i),NA-115 (Narowal-I)
area/na-116_(narowal-ii),NA-116 (Narowal-II)
area/na-117_(narowal-iii),NA-117 (Narowal-III)
area/na-118_(lahore-i),NA-118 (Lahore-I)
area/na-119_(lahore-ii),NA-119 (Lahore-II)
area/na-11_(mardan-iii),NA-11 (Mardan-III)
area/na-120_(lahore-iii),NA-120 (Lahore-III)
area/na-121_(lahore-iv),NA-121 (Lahore-IV)
area/na-122_(lahore-v),NA-122 (Lahore-V)
area/na-123_(lahore-vi),NA-123 (Lahore-VI)
area/na-124_(lahore-vii),NA-124 (Lahore-VII)
area/na-125_(lahore-viii),NA-125 (Lahore-VIII)
area/na-126_(lahore-ix),NA-126 (Lahore-IX)
area/na-127_(lahore-x),NA-127 (Lahore-X)
area/na-128_(lahore-xi),NA-128 (Lahore-XI)
area/na-129_(lahore-xii),NA-129 (Lahore-XII)
area/na-12_(swabi-i),NA-12 (Swabi-I)
area/na-130_(lahore-xiii),NA-130 (Lahore-XIII)
area/na-131_(sheikhupura-i),NA-131 (Sheikhupura-I)
area/na-132_(sheikhupura-ii-cum-nankana_sahib_(old_sheikhupura-ii)),NA-132 (SHEIKHUPURA-II-cum-Nankana Sahib (Old Sheikhupura-II))
area/na-133_(sheikhupura-iii),NA-133 (SHEIKHUPURA-III)
area/na-134_(sheikhupura-iv),NA-134 (SHEIKHUPURA-IV)
area/na-135_(nankana_sahib-i-cum-sheikhupura_(old_sheikhupura-v)),NA-135 (NANKANA SAHIB-I-Cum-Sheikhupura (Old Sheikhupura-V))
area/na-136_(nankana_sahib-ii-cum-sheikhupura_(old_sheikhupura-vi)),NA-136 (NANKANA SAHIB-II-CUM-SHEIKHUPURA (Old Sheikhupura-VI))
area/na-137_(nankana_sahib-iii_(old_sheikhupra-vii)),NA-137 (Nankana Sahib-III (Old Sheikhupra-VII))
area/na-138_(kasur-i),NA-138 (Kasur-I)
area/na-139_(kasur-ii),NA-139 (Kasur-II)
area/na-13_(swabi-ii),NA-13 (Swabi-II)
area/na-140_(kasur-iii),NA-140 (Kasur-III)
area/na-141_(kasur-iv),NA-141 (Kasur-IV)
area/na-142_(kasur-v),NA-142 (Kasur-V)
area/na-143_(okara-i),NA-143 (Okara-I)
area/na-144_(okara-ii),NA-144 (Okara-II)
area/na-145_(okara-iii),NA-145 (Okara-III)
area/na-146_(okara--iv),NA-146 (Okara--IV)
area/na-147_(okara-v),NA-147 (Okara-V)
area/na-148_(multan-i),NA-148 (Multan-I)
area/na-149_(multan-ii),NA-149 (Multan-II)
area/na-14_(kohat),NA-14 (Kohat)
area/na-150_(multan-iii),NA-150 (Multan-III)
area/na-151_(multan-iv),NA-151 (Multan-IV)
area/na-152_(multan-v),NA-152 (Multan-V)
area/na-153_(multan-vi),NA-153 (Multan-VI)
area/na-154_(lodhran-i),NA-154 (Lodhran-I)
area/na-155_(lodhran-ii),NA-155 (Lodhran-II)
area/na-156_(khanewal-i),NA-156 (Khanewal-I)
area/na-157_(khanewal-ii),NA-157 (Khanewal-II)
area/na-158_(khanewal-iii),NA-158 (Khanewal-III)
area/na-159_(khanewal-iv),NA-159 (Khanewal-IV)
area/na-15_(karak),NA-15 (Karak)
area/na-160_(sahiwal-i),NA-160 (Sahiwal-I)
