id,wikidata
Q799577,Q799577
Q186591,Q186591
Q284454,Q284454
Q1265113,Q1265113
Q13211655,Q13211655
Q3065070,Q3065070
Q13212022,Q13212022
Q6127208,Q6127208
Q864345,Q864345
Q659854,Q659854
Q7125647,Q7125647
Q13219795,Q13219795
Q650648,Q650648
Q3130105,Q3130105
Q3307120,Q3307120
Q3366388,Q3366388
Q13357969,Q13357969
Q3130113,Q3130113
Q327591,Q327591
Q1475103,Q1475103
pmln,Q799577
pppp,Q186591
pti,Q284454
mqm,Q1265113
juif,Q13211655
pmlf,Q3065070
pmap,Q13212022
ji,Q6127208
pml,Q864345
anp,Q659854
pmlz,Q7125647
np,Q13219795
npp,Q650648
bnp,Q3130105
aml,Q3307120
qwps,Q3366388
ajip,Q13357969
apml,Q3130113
ind,Q327591
