id,name,start_date,end_date,legislative_membership_type,constituency,constituency_id,party,party_id,term
Q10970911,Mahmood Khan Achakzai,2013-06-01,"","",Constituency NA-259,NA-259,PMAP,pmap,14
Q13139153,Khawaja Saad Rafique,2013-06-01,"","",Constituency NA-125,NA-125,PML(N),pmln,14
Q1347631,Alhaaj Ghulam Ahmad Bilour,2013-08-30,"","",Constituency NA-1,NA-1,ANP,anp,14
Q13534583,"Sardar Ayaz Sadiq, Speaker National Assembly",2015-11-06,"","",Constituency NA-122,NA-122,PML(N),pmln,14
Q140144,Zafarullah Khan Jamali,2013-06-01,"","",Constituency NA-266,NA-266,PML(N),pmln,14
Q1521977,Ghulam Rabbani Khar,2013-09-16,"","",Constituency NA-177,NA-177,PPPP,pppp,14
Q1543422,Makhdoom Shah Mahmood Hussain Qureshi,2013-06-03,"","",Constituency NA-150,NA-150,PTI,pti,14
Q155164,Imran Khan,2013-06-19,"","",Constituency NA-56,NA-56,PTI,pti,14
Q15715800,Aaisha Gulalai,2013-06-01,"","",reserved seat for Women,Q33513293,PTI,pti,14
Q15982825,Raja Muhammad Javed Ikhlas,2013-06-01,"","",Constituency NA-51,NA-51,PML(N),pmln,14
Q15983315,Waheed Alam Khan,2013-06-01,"","",Constituency NA-127,NA-127,PML(N),pmln,14
Q15983326,Engr. Hamid-ul-Haq Khalil,2013-06-01,"","",Constituency NA-2,NA-2,PTI,pti,14
Q15983338,"Murtaza Javed Abbasi, Deputy Speaker National Assembly",2013-06-01,"","",Constituency NA-18,NA-18,PML(N),pmln,14
Q15983347,Skindar Hayyat Khan Bosan,2013-06-01,"","",Constituency NA-151,NA-151,PML(N),pmln,14
Q16145575,Mussarat Ahmadzeb,2013-06-01,"","",reserved seat for Women,Q33513293,PTI,pti,14
Q16145751,Pir Muhammad Amin Ul Hasnat Shah,2013-06-01,"","",Constituency NA-64,NA-64,PML(N),pmln,14
Q16148268,Junaid Akbar,2013-06-01,"","",Constituency NA-35,NA-35,PTI,pti,14
Q16149031,Major Rtd Tahir Iqbal,2013-06-01,"","",Constituency NA-60,NA-60,PML(N),pmln,14
Q16149354,Anusha Rahman Ahmad Khan,2013-06-01,"","",reserved seat for Women,Q33513293,PML(N),pmln,14
Q16199958,Dr. Zulfiqar Ali Bhatti,2013-06-01,"","",Constituency NA-67,NA-67,PML(N),pmln,14
Q16207405,Iftikhar ud Din,2013-06-01,"","",Constituency NA-32,NA-32,APML,apml,14
