id,name__en,name__nl,name__fr,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__de,name__it,death_date,name__yo,wikipedia__yo,name__hu,identifier__NPG,identifier__hansard,identifier__VIAF,name__ca,wikipedia__ca,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__FAST,name__new,wikipedia__new,image,name__es,wikipedia__fr,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__de,name__cy,name__ru,wikipedia__ru,name__tr,wikipedia__no,wikipedia__tr,identifier__freebase,name__gl,wikipedia__it,name__zh_hant,name__zh_cn,name__dv,name__ja,wikipedia__dv,name__cs,name__eu,name__pl,wikipedia__pl,name__id,name__sk,name__el,name__hy,name__ar,wikipedia__ar,wikipedia__el,wikipedia__id,wikipedia__ja,wikipedia__sk,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,wikipedia__fa,wikipedia__sh,wikipedia__sr,name__he,wikipedia__simple,name__zh_hans,name__zh_hk,name__zh,name__fi,wikipedia__es,wikipedia__fi,wikipedia__nl,wikipedia__zh,identifier__Britannica,name__zh_sg,name__zh_tw,name__ko,name__ta,name__et,name__hi,name__pt,name__hr,name__lt,name__bn,name__en_ca,name__en_gb,name__pt_br,name__uk,wikipedia__bn,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__pt,wikipedia__ta,wikipedia__uk,name__ka,name__ms,name__vi,name__lb,name__oc,name__min,name__ml,name__mr,name__ne,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__min,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__vi,name__br,name__eo,name__ksh,name__mk,name__sco,wikipedia__br,wikipedia__eo,wikipedia__ksh,wikipedia__sco,identifier__IMDB,website,twitter,name__io,name__de_ch,name__an,name__be,wikipedia__an,wikipedia__be,wikipedia__enwikinews,wikipedia__eu,wikipedia__io,identifier__GND,identifier__Munzinger,family_name,identifier__sycomore,name__nds,wikipedia__ruwikinews,identifier__GTAA,wikipedia__nn,identifier__NNDB,name__rw,name__be_tarask,name__bm,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__plwikiquote,wikipedia__rw,identifier__snac,identifier__senatDOTfr,identifier__AlloCine,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__is,name__mg,wikipedia__is,wikipedia__mg,identifier__allmovie,name__diq,name__sl,wikipedia__sl,name__gd,wikipedia__gd,wikipedia__eswikisource,name__lv,wikipedia__lv,identifier__bigenc_ru,identifier__MusicBrainz,identifier__NKC,identifier__CANTIC,identifier__discogs,identifier__SFDb,identifier__SCOPE,identifier__DNF,name__qu,wikipedia__qu,name__af,name__ast,name__bar,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__OLID,identifier__BNE,second_surname,name__bg,name__kk,name__az,wikipedia__az,wikipedia__bg,wikipedia__kk,wikipedia__ro,identifier__NDL,name__se,wikipedia__se,facebook,identifier__quora,wikipedia__eswikiquote,identifier__GNC,identifier__nlg
Q1134096,"Juan Carlos Varela","Juan Carlos Varela","Juan Carlos Varela","Juan Carlos Varela","Juan Carlos Varela",male,entrepreneur,1963-12-12,Juan,"Juan Carlos Varela","Juan Carlos Varela","Juan Carlos Varela",,,,,,,133303386,"Juan Carlos Varela","Juan Carlos Varela",,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/da/Juan_Carlos_Varela_(2014).jpg,"Juan Carlos Varela","Juan Carlos Varela",,,"Juan Carlos Varela","Juan Carlos Varela",,"Juan Carlos Varela",,"Варела, Хуан Карлос","Варела, Хуан Карлос","Juan Carlos Varela","Juan Carlos Varela","Juan Carlos Varela",/m/06zmv9x,,"Juan Carlos Varela",,,,"フアン・カルロス・バレーラ",,,,"Juan Carlos Varela","Juan Carlos Varela","Juan Carlos Varela",,"Χουάν Κάρλος Βαρέλα",,"خوان كارلوس فاريلا","خوان كارلوس فاريلا","Χουάν Κάρλος Βαρέλα","Juan Carlos Varela","フアン・カルロス・バレーラ",,,,,,,,,,"חואן קרלוס ורלה","Juan Carlos Varela",,,"胡安·卡洛斯·瓦雷拉","Juan Carlos Varela","Juan Carlos Varela","Juan Carlos Varela","Juan Carlos Varela","胡安·卡洛斯·瓦雷拉",,,,"후안 카를로스 바렐라",,"Juan Carlos Varela",,"Juan Carlos Varela",,,,,,,,,"Category:Juan Carlos Varela",,"Juan Carlos Varela",,"Juan Carlos Varela",,,,,"후안 카를로스 바렐라",,"Juan Carlos Varela",,,"ხუან კარლოს ვარელა",,,"Juan Carlos Varela","Juan Carlos Varela",,"യുവാൻ കാർലോസ് വരേല",,,"Ioannes Carolus Varela",,"ხუან კარლოს ვარელა","Ioannes Carolus Varela","Juan Carlos Varela",,"യുവാൻ കാർലോസ് വരേല",,,,"Juan Carlos Varela",,,,"Juan Carlos Varela",,,,,"Juan Carlos Varela",,,,http://www.juancarlosvarela.com,jc_varela,"Juan Carlos Varela",,,,,,,,"Juan Carlos Varela",142682292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huans Karloss Varela","Huans Karloss Varela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juan Carlos Varela","Juan Carlos Varela",ValeraJC,Juan-Carlos-Varela,,,
Q15149762,"José Domingo Arias","José Domingo Arias","José Domingo Arias","José Domingo Arias","José Domingo Arias",male,,1963-10-26,"José","José Domingo Arias","José Domingo Arias",,,,,,,,,,,,,,,,,,,,"José Domingo Arias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"何塞·多明哥·阿斯",,"José Domingo Arias",,,,,,,,,,,"José Domingo Arias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15919322,"Harmodio Arias Cerjack","Harmodio Arias Cerjack","Harmodio Arias Cerjack","Harmodio Arias Cerjack","Harmodio Arias Cerjack",male,politician,1956-03-01,Harmodio,"Harmodio Arias Cerjack","Harmodio Arias Cerjack",,2014-02-06,,,"Harmodio Arias Cerjack",,,,,,,,,,,,,,,"Harmodio Arias Cerjack",,,,,,,,"Harmodio Arias Cerjack","Ариас Херьяк, Армодио","Ариас Херьяк, Армодио",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16106559,"José Isabel Blandón Castillo","José Isabel Blandón Castillo","José Isabel Blandón Castillo","José Isabel Blandón Castillo","José Isabel Blandón Castillo",male,diplomat,,"José","José Isabel Blandón Castillo","José Isabel Blandón Castillo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16147358,"Marco Ameglio","Marco Ameglio","Marco Ameglio","Marco Ameglio","Marco Ameglio",male,politician,,Marco,"Marco Ameglio","Marco Ameglio","Marco Ameglio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16196838,"José Isabel Blandón Figueroa","José Isabel Blandón Figueroa","José Isabel Blandón Figueroa","José Isabel Blandón Figueroa","José Isabel Blandón Figueroa",male,politician,1967-07-07,"José","José Isabel Blandón","José Isabel Blandón Figueroa",,,,,"José Isabel Blandón",,,,,,,,,,,,,,,"José Isabel Blandón",,,,,,,,,,,,,,,,,,,,"ホセ・イザベル・ブランドン・フィゲロア",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"José Isabel Blandón",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16490270,"Carlos de Icaza Arosemena","Carlos de Icaza Arosemena","Carlos de Icaza Arosemena","Carlos de Icaza Arosemena",,male,lawyer,1790-10-30,Carlos,"Carlos de Icaza Arosemena",,"Carlos de Icaza Arosemena",1865-10-28,,,,,,,,,,,,,,,,,,"Carlos de Icaza Arosemena",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlos de Icaza Arosemena",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16584864,"Juan Jované",,"Juan Jované","Juan Jované",,male,,1945-05-24,Juan,"Juan Jované",,,,,,,,,,,,,,,,,,,,,"Juan Jované",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juan Jované",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16585789,"Julio Palacios Sambrano",,"Julio Palacios Sambrano","Julio Palacios Sambrano",,male,,1965-07-21,Julio,"Julio Palacios Sambrano",,,,,,,,,,"Julio Palacios Sambrano",,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Julio_palacios_s.jpg,"Julio Palacios Sambrano",,,,,,,,,,,,,,,"Julio Palacios Sambrano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Julio Palacios Sambrano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731624,"Genaro López","Genaro López","Genaro López","Genaro López","Genaro López",male,"trade unionist",1954-07-26,Genaro,"Genaro López","Genaro López",,,,,,,,,,,,,,,,,,,,"Genaro López",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Genaro López",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
