name,wikiname,party,term,source
Brenda Christian,Brenda Christian,Independent,2009,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2009"
Brenda Christian,Brenda Christian,Independent,2011,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2011"
Charlene Warren,"",Independent,2013,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2013"
Darralyn Griffiths,"",Independent,2013,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2013"
Dave Brown,"",Independent,2009,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2009"
David Brown,"",Independent,2013,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2013"
Jacqui Christian,"",Independent,2011,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2011"
Jay Warren,Jay Warren,Independent,2009,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2009"
Jay Warren,Jay Warren,Independent,2011,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2011"
Kerry Young,"",Independent,2011,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2011"
Lea Brown,"",Independent,2009,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2009"
Leslie Jaques,"",Independent,2013,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2013"
Michele Christian,"",Independent,2013,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2013"
Michelle Christian,"",Independent,2011,"https://en.wikipedia.org/wiki/Pitcairn_Islands_general_election,_2011"
