id,label,description,type
Q15051532,Deputy Prime Minister of the Republic of Poland,"",cabinet
Q25711733,Minister of Education,Polish minister,cabinet
Q11781525,Minister of Finance of Poland,"",cabinet
Q25598671,Minister of Foreign Affairs,Polish minister,cabinet
Q28048774,Minister of Justice,Polish justice minister,cabinet
Q25919989,Minister of Labour and Social Policy,Polish minister,cabinet
Q25917007,Minister of Regional Development,Polish minister,cabinet
Q25598713,Minister of the Interior and Administration,Polish minister,cabinet
Q1054799,President of Poland,head of state of Republic of Poland,executive
Q3259469,Prime Minister of Poland,Head of Government of Poland,cabinet
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q20066605,senator of Poland,"",other_legislatures
Q5261044,Deputy Marshal of the Sejm of the Republic of Poland,"",self
Q100172,Marshal of the Sejm,"speaker of the Sejm, the lower house of the Polish parliament",self
Q19269361,Member of the Sejm of the Republic of Poland,"",self
