id,position,label,description,start_date,term,constituency,end_date,election,replaces,replaced_by,of
Q10272128,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10281366,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10281462,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10284519,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10287923,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10294464,Q43185266,,"","",,,,,,,
Q10298152,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10299830,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10308196,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",10th Portuguese Assembly,,,,,,
Q10308904,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10308947,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10309832,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10310204,Q43185266,,"","",,,,,,,
Q10321558,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10321659,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10322008,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",12th Portuguese Assembly,,,,,,
Q10326209,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10329876,Q43185266,,"","",,,,,,,
Q10334416,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10338219,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10338219,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10346718,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10346767,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10347467,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10347591,Q43185266,,"","",,,,,,,
Q10357633,Q43185266,,"","",,,,,,,
Q10357753,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q10361221,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q10365280,Q25906445,Minister of National Defence,Minister in Portugal,"",,,,,,,
Q10392072,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q1042803,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q1042803,Q769829,Portuguese Communist Party,political party,"",,,,,,,
Q11728710,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q11728710,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q1339831,Q43185266,,"","",,,,,,,
Q1340708,Q1837874,List of mayors of Lisbon,Wikimedia list article,"",,,,,,,
Q1340708,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q1340708,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q1340708,Q43185970,Mayor of Lisbon,"","",,,,,,,
Q13582493,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q1378001,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q1378001,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q1382641,Q25906445,Minister of National Defence,Minister in Portugal,"",,,,,,,
Q1382641,Q4294919,Minister of Foreign Affairs,Portuguese minister,"",,,,,,,
Q1382767,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q1386216,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q1386216,Q27169,member of the European Parliament,person who has been elected to the European Parliament,1999-11-17,,,2009-07-13,,,,
Q1442096,Q884840,Left Bloc,Portuguese political party,"",,,,,,,
Q1518240,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q1580316,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q1580316,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q15849,Q1723031,Prime Minister of Portugal,"",2002-04-06,,,2004-07-17,,António Guterres,Pedro Santana Lopes,
