id,name__en,name__nl,name__it,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__es,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__hu,name__lb,name__fa,name__pt,name__hr,name__ca,name__gl,wikipedia__ca,wikipedia__de,wikipedia__es,identifier__UScongress,identifier__FEC,image,name__cy,death_date
Q16195773,"Jesús Santa Rodríguez","Jesús Santa Rodríguez","Jesús Santa Rodríguez","Jesús Santa Rodríguez",,,,,"Jesús Santa Rodríguez","Jesús Santa Rodríguez","Jesús Santa Rodríguez","Jesús Santa Rodríguez",male,politician,1964-10-20,"Jesús","Jesús Santa Rodríguez",,,,,,,,,,,,,,,
Q16204393,"José Luis Báez","José Luis Báez","José Luis Báez","José Luis Báez",,,,,"José Luis Báez","José Luis Báez","José Luis Báez","José Luis Báez",male,politician,,"José","José Luis Báez",,,,,,,,,,,,,,,
Q16213812,"José Torres Zamora","José Torres Zamora","José Torres Zamora","José Torres Zamora",,,,,"José Torres Zamora","José Torres Zamora","José Torres Zamora","José Pichy Torres Zamora",male,politician,1971-06-07,"José","José Torres Zamora",,,,,,,,,,,,,,,
Q16215793,"Jenniffer González","Jenniffer González","Jenniffer González","Jenniffer González",,,,,"Jenniffer González","Jenniffer González","Jenniffer González","Jenniffer González",female,politician,1976-08-05,,"Jenniffer González",,"Jenniffer González",,,,"Jennifer González Colón",,"Jennifer González Colón","Jenniffer González","Jenniffer González",G000582,H6PR00082,,,
Q16729168,"Piti Gándara",,,"Piti Gándara",,,,,"Piti Gándara",,"Piti Gándara","Piti Gándara",female,,,,"Piti Gándara",,,,,,,,,,,,,,,
Q16732474,"Lydia Méndez Silva",,,"Lydia Méndez Silva",,,,,"Lydia Méndez Silva",,"Lydia Méndez Silva","Lydia Méndez Silva",female,,,Lydia,"Lydia Méndez Silva",,,,,,,,,,,,,,,
Q16974415,"Manuel Natal Albelo",,"Manuel Natal Albelo","Manuel Natal Albelo",,,,,"Manuel Natal Albelo","Manuel Natal Albelo","Manuel Natal Albelo","Manuel Natal Albelo",male,,1986-03-25,Manuel,"Manuel Natal",,,,,,,,,,"Manuel Natal Albelo",,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Manuel_Natal.jpg,,
Q17099082,"Héctor Torres Calderón",,,"Héctor Torres Calderón",,,,,,,"Héctor Torres Calderón","Héctor Torres Calderón",male,politician,,"Héctor","Héctor Torres Calderón",,,,,,,,,,,,,,,
Q18395961,"Yashira Lebrón Rodríguez",,,,,,,,,,"Yashira Lebrón Rodríguez","Yashira Lebrón Rodríguez",female,politician,1981-07-24,,"Yashira Lebrón Rodríguez",,,,,,,,,,,,,,,
Q21933985,"José Aníbal Díaz","José Aníbal Díaz","José Aníbal Díaz","José Aníbal Díaz",,,,"José Aníbal Díaz","José Aníbal Díaz","José Aníbal Díaz","José Aníbal Díaz","José Aníbal Díaz",male,,,"José","José Aníbal Díaz",,,,"José Aníbal Díaz","José Aníbal Díaz",,,,,,,,,,
Q4762218,"Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García","Angel Matos García",male,politician,,Angel,"Ángel Matos García",,,,,,,,,,,,,,,
Q4762231,"Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz","Angel Muñoz",male,politician,1960-03-25,Angel,"Angel Muñoz (politician)",,,,,,,,,,,,,,,
Q4762247,"Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez","Angel Peña Ramírez",male,politician,1978-04-13,Angel,"Angel Peña Ramírez",,,,,,,,,,,,,,,
Q4762265,"Ángel Rodríguez Miranda","Gary Rodríguez","Gary Rodríguez","Ángel Rodríguez Miranda","Ángel Rodríguez Miranda","Angel Rodríguez Miranda","Ángel Rodríguez Miranda","Ángel Rodríguez Miranda","Ángel Rodríguez Miranda","Ángel Rodríguez Miranda","Ángel Rodríguez Miranda","Gary Rodríguez",male,politician,1977-01-09,Angel,"Angel Rodríguez Miranda","Ángel Rodríguez Miranda",,,"Ángel Rodríguez Miranda",,,,,,,,,,,
Q4776986,"Antonio Soto",,"Antonio Soto","Antonio Soto","Antonio Soto","Antonio Soto","Antonio Soto","Antonio Soto","Antonio Soto",,"Antonio Soto","Tony Soto (politician)",male,,1973-04-06,Antonio,"Tony Soto (politician)",,,,,,,,,,,,,,,
Q4792767,"Armando Franco","Armando Franco","Armando Franco","Armando Franco","Armando Franco","Armando Franco","Armando Franco","Armando Franco","Armando Franco","Armando Franco","Armando Franco","Armando Franco",male,politician,1964-10-30,Armando,"Armando Franco",,,,,,,,,,,,,,,
Q4960730,"Brenda López de Arrarás",,"Brenda López de Arrarás","Brenda López de Arrarás",,,,,"Brenda López de Arrarás","Brenda López de Arrarás","Brenda López de Arrarás","Brenda López de Arrarás",female,,1971-04-25,Brenda,"Brenda López de Arrarás",,,,,,,,,,,,,,,
Q5041841,"Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró","Carlos Bianchi Angleró",male,politician,1974-02-10,Carlos,"Carlos Bianchi Angleró","Carlos Bianchi Angleró",,,,,,,,,,,,,,
Q5042227,"Carlos Johnny Méndez",,"Carlos Johnny Méndez","Carlos Johnny Méndez","Carlos Johnny Méndez","Carlos Johnny Méndez","Carlos Johnny Méndez","Carlos Johnny Méndez","Carlos Johnny Méndez","Carlos Johnny Méndez","Carlos Johnny Méndez","Carlos Johnny Méndez",male,,,Carlos,"Carlos J. Méndez Nuñez",,,,,,,,,,,,,,,
Q5042746,"Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer","Carlos Vargas Ferrer",male,politician,1971-06-28,Carlos,"Carlos Vargas Ferrer","Carlos Vargas Ferrer",,,,,,,,,,,,,"Carlos Vargas Ferrer",2015
Q5085016,"Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández","Charlie Hernández",male,politician,1965-02-19,Charlie,"Charlie Hernández","Charlie Hernández",,,,,,,,,,,,,,
Q5202563,"César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo","César Hernández Alfonzo",male,politician,1977-07-27,"César","César Hernández Alfonzo","César Hernández Alfonzo",,,,,,,,,,,,,,
Q5347604,"Efraín de Jesús","Efraín de Jesús","Efraín de Jesús","Efraín de Jesús",,,,,"Efraín de Jesús","Efraín de Jesús","Efraín de Jesús","Efraín de Jesús",male,politician,,"Efraín","Efraín de Jesús","Efraín de Jesús",,,,,,,,,,,,,,
Q5515827,"Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló","Gabriel Rodríguez Aguiló",male,politician,1973-08-19,Gabriel,"Gabriel Rodríguez Aguiló",,,,,,,,,,,,,,,
Q6123880,"Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló","Jaime Perelló",male,politician,1973-09-14,Jaime,"Jaime Perelló","Jaime Perelló",,,,,"Jaime R. Perelló Borrás",,"Jaime Perelló Borras",,"Jaime Perelló Borrás",,,"https://upload.wikimedia.org/wikipedia/commons/a/ab/Hon._Jaime_R._Perelló_Borrás.jpg",,
Q6165407,"Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau","Javier Aponte Dalmau",male,politician,,Javier,"Javier Aponte Dalmau","Javier Aponte Dalmau",,,,,,,,,,,,,,
