id,label,description,type
Q15304810,Prime Minister of Romania,head of the Government of Romania,cabinet
Q21503604,Minister of Agriculture of Romania,Position in the government of Romania,cabinet
Q20884417,Minister of Communications and Information Society,Minister of communications in Romania,cabinet
Q21503769,Minister of Culture,Member of the Government of Romania,cabinet
Q21513151,Minister of Energy,Member of the Government of Romania,cabinet
Q20885066,Minister of Health of Romania,"",cabinet
Q21504201,Minister of Internal Affairs,Member of the Government of Romania,cabinet
Q21504145,"Minister of Labor, Family and Social Protection",Member of the Government of Romania,cabinet
Q21504197,Minister of National Defence,Member of the Government of Romania,cabinet
Q21504216,Minister of Public Finance,Member of the Government of Romania,cabinet
Q17278764,Minister of Relations with the Parliament,in Romania,cabinet
Q21504183,Minister of the Economy,Member of the Government of Romania,cabinet
Q21504155,Minister of the Environment and Climate Change,Member of the Government of Romania,cabinet
Q21503827,Minister of Youth and Sport,Position in the Government of Romania,cabinet
Q21503762,Minister of Development and Administration,Member of the Government of Romania,cabinet
Q21504218,Minister of European Funds,Member of the Government of Romania,cabinet
Q21159939,Minister of Justice of Romania,"",cabinet
Q29053668,minister of tourism,Romania,cabinet
Q29053673,minister of tourism and regional development,Romania,cabinet
Q28194202,minister-delegate for the business community,member of some Romanian governments,cabinet
Q21503774,Minister-delegate for relations with Romanians everywhere,Position in the Government of Romania,cabinet
Q21504092,Minister-delegate for social dialog,Member of the Government of Romania,cabinet
Q21504202,Minister-delegate for the relation with Parliament,Member of the Government of Romania,cabinet
Q17556530,member of the Chamber of Deputies of Romania,"",self
Q7241307,President of the Chamber of Deputies of Romania,"",self
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q19938957,member of the Senate of Romania,member of the upper house of the Parliament of Romania,other_legislatures
Q17278763,Leader of the Social Democratic Party,of Romania,party
