id,name,wikipedia__en,party,party_id,term,source,area,area_id,id
alva-baptiste,"Alva Baptiste","Alva Baptiste","Saint Lucia Labour Party",SLP,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Laborie,ocd-division/country:lc/constituency:laborie,alva-baptiste
alva-baptiste,"Alva Baptiste","Alva Baptiste","Saint Lucia Labour Party",SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Laborie,ocd-division/country:lc/constituency:laborie,alva-baptiste
alvina-reynolds,"Alvina Reynolds","Alvina Reynolds","Saint Lucia Labour Party",SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Babonneau,ocd-division/country:lc/constituency:babonneau,alvina-reynolds
arsene-james,"Arsene James","Arsene James","United Workers Party",UWP,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Micoud South",ocd-division/country:lc/constituency:micoud-south,arsene-james
arsene-james,"Arsene James","Arsene James","United Workers Party",UWP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Micoud South",ocd-division/country:lc/constituency:micoud-south,arsene-james
desmond-long,"Desmond Long","","Saint Lucia Labour Party",SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Anse la Raye and Canaries",ocd-division/country:lc/constituency:anse-la-raye-and-canaries,desmond-long
edmund-estephane,"Edmund Estephane","Edmund Estephane","United Workers Party",UWP,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Dennery South",ocd-division/country:lc/constituency:dennery-south,edmund-estephane
edmund-estephane,"Edmund Estephane","Edmund Estephane","United Workers Party",UWP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Dennery South",ocd-division/country:lc/constituency:dennery-south,edmund-estephane
emma-hippolyte,"Emma Hippolyte","Emma Hippolyte","Saint Lucia Labour Party",SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Gros Islet",ocd-division/country:lc/constituency:gros-islet,emma-hippolyte
ezechiel-joseph,"Ezechiel Joseph","Ezechiel Joseph","United Workers Party",UWP,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Babonneau,ocd-division/country:lc/constituency:babonneau,ezechiel-joseph
gale-rigobert,"Gale Rigobert","Gale Rigobert","United Workers Party",UWP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Micoud North",ocd-division/country:lc/constituency:micoud-north,gale-rigobert
guy-joseph,"Guy Joseph","Guy Joseph","United Workers Party",UWP,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Castries South East",ocd-division/country:lc/constituency:castries-south-east,guy-joseph
guy-joseph,"Guy Joseph","Guy Joseph","United Workers Party",UWP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Castries South East",ocd-division/country:lc/constituency:castries-south-east,guy-joseph
harold-dalson,"Harold Dalson","Harold Dalson","Saint Lucia Labour Party",SLP,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Soufriere,ocd-division/country:lc/constituency:soufriere,harold-dalson
harold-dalson,"Harold Dalson","Harold Dalson","Saint Lucia Labour Party",SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Soufriere,ocd-division/country:lc/constituency:soufriere,harold-dalson
jeannine-compton-antoine,"Jeannine Compton-Antoine","Jeannine Compton-Antoine",Independent,Independent,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Micoud North",ocd-division/country:lc/constituency:micoud-north,jeannine-compton-antoine
keith-mondesir,"Keith Mondesir","Keith Mondesir","United Workers Party",UWP,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Anse la Raye and Canaries",ocd-division/country:lc/constituency:anse-la-raye-and-canaries,keith-mondesir
kenny-anthony,"Kenny Anthony","Kenny Anthony","Saint Lucia Labour Party",SLP,8,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,"Vieux Fort South",ocd-division/country:lc/constituency:vieux-fort-south,kenny-anthony
