id,name,start_date,end_date,wikidata
1,1st legislature,1991-01-11,1993-01-25,Q20435521
2,2nd legislature,1993-01-25,1993-10-20,Q20434770
3,3rd legislature,1994-01-24,1997-12-03,Q20437934
4,4th legislature,1997-12-03,2001-01-22,Q20438421
5,5th legislature,2001-01-22,2004-01-27,Q16087495
6,6th legislature,2004-01-27,2007-02-14,Q30155092
7,7th legislature,2007-02-14,2008-06-11,Q30155034
8,8th legislature,2008-06-11,2012-05-31,Q30155047
9,9th legislature,2012-05-31,2014-05-16,Q30155082
10,10th legislature,2014-05-16,2016-06-03,Q16082873
11,11th legislature,2016-06-03,,Q30155066
