id,role,name,given_name,family_name,birth_date,party,email,term,source,constituency
1031,,"Meggy Marie","Meggy, Sodie",Marie,1971-02-01,"Parti Lepep",msmarie@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=1031:hon-meggy-marie-anse-aux-pins&catid=73:directly-elected-members-by-constituency&Itemid=27,"ANSE AUX PINS"
364,,"Dr. Patrick Herminie","Patrick Matthew Antonio",Herminie,1963-09-22,"Parti Lepep",lgb5@seychelles.net,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=364:hon-dr-patrick-herminie-the-speaker&catid=72:proportionately-elected-members&Itemid=27,"Proportionally Elected"
371,,"Marie-Antoinette Rose","Marie- Antoinette, Zitane",Rose,1975-06-04,"Parti Lepep",marose@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=371:hon-marie-antoinette-rose&catid=72:proportionately-elected-members&Itemid=27,"Proportionally Elected"
374,,"Andre Pool",Andre,Pool,1961-11-23,"Parti Lepep",apool@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=374:hon-andre-pool&catid=72:proportionately-elected-members&Itemid=27,"Proportionally Elected"
379,,"Wilby Lucas","Michel, Wilby",Lucas,1956-01-05,"Parti Lepep",wlucas@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=379:hon-wilby-lucas&catid=73:directly-elected-members-by-constituency&Itemid=27,"BAIE LAZARE"
383,,"Charles De Commarmond","Charles, Jean- Baptiste","De Commarmond",1959-04-04,"Parti Lepep",cdecommarmond@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=383:hon-charles-de-commarmond&catid=73:directly-elected-members-by-constituency&Itemid=27,CASCADE
385,,"Dr. David Payet","David Serge",Payet,1965-05-12,"Parti Lepep",dpayet@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=385:hon-david-payet&catid=73:directly-elected-members-by-constituency&Itemid=27,GLACIS
387,,"Marc Volcere","Marc, Benjamin",Volcere,1967-04-25,"Parti Lepep",mvolcere@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=387:hon-marc-volcere&catid=73:directly-elected-members-by-constituency&Itemid=27,"GRAND ANSE PRASLIN"
393,,"Jeniffer Vel",Jeniffer,Vel,1983-03-06,"Parti Lepep",jvel@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=393:hon-jeniffer-vel&catid=73:directly-elected-members-by-constituency&Itemid=27,"POINTE LARUE"
601,,"Alderic Bristol","Alderic, Paul",BRISTOL,1967-06-29,"Parti Lepep",abristol@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=601:hon-alderic-bristol&catid=73:directly-elected-members-by-constituency&Itemid=27,TAKAMAKA
603,,"Begitta Jeannevol","Lydie, Begitta, Samantha",Jeannevol,1982-11-03,"Parti Lepep",bjeannevol@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=603:hon-begitta-jeannevol&catid=73:directly-elected-members-by-constituency&Itemid=27,"MONT FLEURI"
604,,"Bernard Arnephy",Bernard,Arnephy,1974-03-14,"Parti Lepep",barnephy@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=604:hon-bernard-arnephy&catid=73:directly-elected-members-by-constituency&Itemid=27,"ANSE BOILEAU"
