uuid,female,male,other,skip,total
00ff9470-8613-4236-9458-9c12280853f6,0,8,0,0,8
0999ba08-cb50-4bcc-bc0f-dd651a05d726,0,8,0,0,8
0d22a250-7a00-42e8-b42e-17af9dcf40b3,0,8,0,0,8
0eb0325f-6b16-4104-93de-4a1eb00a5f01,0,8,0,0,8
0ed7f90f-5f20-4630-a583-a2285ede0d92,0,8,0,0,8
10671d96-0f98-4e48-ab6a-3f369aae9fe5,0,8,0,0,8
1121bfc5-e8bf-484a-9ac9-f794e1f1e816,0,8,0,0,8
149b2403-2842-4a8a-b046-0b616c877624,0,8,0,0,8
17ba25fc-b566-4c00-8c19-1f333ac3bdec,0,8,0,0,8
1889cf75-bce6-4120-818f-f527bfbc0d0b,8,0,0,0,8
1bc6a17e-4595-4b95-9470-f20a3e544b76,0,8,0,0,8
1c2cef13-53f2-4cd1-9800-945425a664ee,0,8,0,0,8
1c93f61c-d931-4b3c-aed5-8991d9b2f04e,0,8,0,0,8
1dce9b46-05cc-411e-94b9-7f9ade3f2d80,0,8,0,0,8
21b6352a-4e74-4c20-b6b0-e2c1bcb3301c,0,8,0,0,8
22e6562e-bcb9-475b-abaf-41f5e8af96be,8,0,0,0,8
2b5fccaf-1fd9-474a-9e34-80585095d576,0,8,0,0,8
2c288b09-f471-474a-ae85-f52c9b779b95,0,8,0,0,8
2cc108a6-e390-4f67-baca-7081cb89a49f,8,0,0,0,8
30645d41-ec83-4039-bbea-85c1df5f8519,0,8,0,0,8
31aa3bc4-c2d1-44db-a10d-21a7e7a033eb,0,8,0,0,8
3227622b-f21f-4d2e-be51-ddd43b833f93,0,8,0,0,8
35396ae0-0e0b-498d-9a67-d8a94689041f,0,8,0,1,9
391763ce-215e-4e9c-83d1-881358f1a0de,0,8,0,0,8
3bafe401-ca77-49a2-bb4c-d046f93011ec,0,8,0,0,8
426d6202-113d-47a8-bb59-21b2856fe0ca,0,8,0,0,8
443e7244-3288-43b0-9bb9-a8d9d7d6f39b,0,8,0,0,8
45cc4ce5-230c-4b5a-aee7-b0c5153cd79a,1,7,0,0,8
47f4c056-22ae-49e1-99b5-fab4d87ba294,0,8,0,0,8
4998363b-b6ba-4490-b628-860c2b497f92,0,8,0,0,8
49eba221-42cd-4ba4-a631-ea4432ee6a41,0,9,0,1,10
4a793e61-e01c-4e02-8cdf-2e530d8ee87c,8,0,0,0,8
4c84fc0a-a8ee-463f-b87c-1ef674999194,0,8,0,0,8
4de52824-c7c8-411a-92ad-be6d2de8195e,0,8,0,0,8
515f4878-bb29-41bb-8ea5-970b89d21bc8,0,9,0,0,9
52ab293b-9bed-48e3-9663-1e1599784e3f,0,8,0,0,8
52b98e7c-c309-4c3f-b442-4f5b06468322,0,8,0,0,8
55826939-9d2c-40bd-a1c3-74be994f80d2,0,8,0,0,8
56aa4829-ad50-4199-8dfc-6e0b39ede804,8,0,0,0,8
5764d435-3d3d-4ab1-bbbd-8b7aafb39de0,0,8,0,0,8
5817ee6d-5ada-4ac5-8e08-8779cdbda114,0,8,0,0,8
58fad034-3a97-4c41-b547-e8f0124b8165,0,9,0,0,9
594a1f37-3e67-4ef5-a32c-92a0c94fe34f,0,8,0,0,8
5ac8cceb-7ebe-48bf-ba45-d9d3b182310e,0,8,0,0,8
61c36382-5f9f-4248-962e-68b37f72f8f8,0,8,0,0,8
638344c4-65ee-4065-9824-c78b4a2ad13f,0,8,0,0,8
6510b953-e422-400c-a021-31b6bd82c90a,0,8,0,0,8
657d85e1-418a-412a-86fd-4e6728b373e1,0,8,0,0,8
6641bf57-39a9-4cd5-a0d2-af26574ce5ab,0,8,0,0,8
6b44e840-a22d-4b53-bb3c-90de55af24fb,0,8,0,0,8
6d775b3a-7673-4bdd-8185-0c7f2080f13a,0,8,0,0,8
70c7f24c-d269-45bd-a20c-6d9a74e1a0c6,0,8,0,0,8
7149591b-ee46-438f-b15e-e12e4dcb87d6,8,0,0,0,8
724d9793-d0d4-4403-8b7c-9825c50bd01b,0,8,0,1,9
740f1825-038c-43c7-99b6-2b4b518727be,0,8,0,0,8
7428c757-ede9-4665-923b-8f4f2540054b,0,8,0,0,8
746d5385-b0f8-43ee-adbd-4b089c1842d2,8,0,0,0,8
7615d8a2-78d7-4e95-8020-2f5619b00031,0,8,0,0,8
776fa32e-d90d-43e0-8013-ac86aebe345d,0,8,0,0,8
785b6ee1-ad5f-41c6-98c1-3bfd9981bcc7,0,8,0,0,8
7981f5d8-4dd7-427a-b920-de0e1982a975,0,8,0,0,8
7b7f15a4-dc92-4930-a83a-76a21c3f2449,0,9,0,0,9
7b8113c5-8141-4430-8e8c-fadf18125667,0,9,0,0,9
7dc84ab4-7ba4-43f6-9c6c-7d27cdcee740,0,8,0,0,8
