name,image,term,area,party
Aaron Aruna Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20AaronARUNA%20KOROMA%20%20CONST%20062%20TONKOLILI%20DISTRICT%20NORTHERN%20REGION%20APC8.JPG,2-4,"Tonkolili District, Northern Region",APC
Abdul Salaam Kanu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ABDUL%20SALAAM%20KANU%20CONST%20101%20WESTERN%20URBAN.JPG,2-4,"Western Urban, Western Area",APC
Abdulai Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ABDULAI%20DENIEL%20SESAY%20CONST%2063%20TONKOLILI%20DISTRICT%20ID63.JPG,2-4,"Tonkolili District, Northern Region",APC
Abi Kalokoh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ABI%20KALOKOH%20CONST%2051%20P0RT%20L0K0%20DISTRICT%20ID%2051.JPG,2-4,"Portloko District, Northern Region",APC
Abu Jajua,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ABU%20JAJU.JPG,2-4,"Kailahun District, Eastern Region",SLPP
Abubakarr Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ABU%20BAKARR%20KOROMA%20CONST%20057%20PORT.JPG,2-4,"Portloko District, Northern Region",APC
Ajibola E. Manly Spaine,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20AJIBOLA%20EMANUEL%20MANLY%20SPAIN%20CONST%20106%20WESTERN%20AREA%20URBAN%20APC.JPG,2-4,"Western Urban, Western Area",APC
Albert Deen Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALBERT%20DEEN%20KAMARA%20CONST%20034%20BAMBALI.JPG,2-4,"Bombali District, Northern Region",APC
Alfred Brima Katta,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/H0N%20ALFRED%20BRIMA%20KATTA%20CONST%2077%20BO%20DISTRICT%20ID%2077.JPG,2-4,"Bo District, Southern Region",SLPP
Alhaji Serray Dumbuya,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALHAJI%20SERRAY%20DUMBUYA%20CONST%20049%20PORT%20LOKO%20DISTRICT.JPG,2-4,"Portloko District, Northern Region",APC
Alhassan Jero Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALHASSAN%20%20JERO%20KAMARA%20CONST%2048%20KOINADUGU%20DISTRICT%20ID%2048.JPG,2-4,"Koinadugu District, Northern Region",APC
