id,name__en,name__nl,name__fr,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__de,name__it,death_date,name__yo,wikipedia__yo,name__hu,identifier__NPG,identifier__hansard,identifier__VIAF,name__ca,wikipedia__ca,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__FAST,name__new,wikipedia__new,image,name__es,wikipedia__fr,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__de,name__cy,name__ru,wikipedia__ru,name__tr,wikipedia__no,wikipedia__tr,identifier__freebase,name__gl,wikipedia__it,name__zh_hant,name__zh_cn,name__dv,name__ja,wikipedia__dv,name__cs,name__eu,name__pl,wikipedia__pl,name__id,name__sk,name__el,name__hy,name__ar,wikipedia__ar,wikipedia__el,wikipedia__id,wikipedia__ja,wikipedia__sk,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,wikipedia__fa,wikipedia__sh,wikipedia__sr,name__he,wikipedia__simple,name__zh_hans,name__zh_hk,name__zh,name__fi,wikipedia__es,wikipedia__fi,wikipedia__nl,wikipedia__zh,identifier__Britannica,name__zh_sg,name__zh_tw,name__ko,name__ta,name__et,name__hi,name__pt,name__hr,name__lt,name__bn,name__en_ca,name__en_gb,name__pt_br,name__uk,wikipedia__bn,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__pt,wikipedia__ta,wikipedia__uk,name__ka,name__ms,name__vi,name__lb,name__oc,name__min,name__ml,name__mr,name__ne,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__min,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__vi,name__br,name__eo,name__ksh,name__mk,name__sco,wikipedia__br,wikipedia__eo,wikipedia__ksh,wikipedia__sco,identifier__IMDB,website,twitter,name__io,name__de_ch,name__an,name__be,wikipedia__an,wikipedia__be,wikipedia__enwikinews,wikipedia__eu,wikipedia__io,identifier__GND,identifier__Munzinger,family_name,identifier__sycomore,name__nds,wikipedia__ruwikinews,identifier__GTAA,wikipedia__nn,identifier__NNDB,name__rw,name__be_tarask,name__bm,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__plwikiquote,wikipedia__rw,identifier__snac,identifier__senatDOTfr,identifier__AlloCine,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__is,name__mg,wikipedia__is,wikipedia__mg,identifier__allmovie,name__diq,name__sl,wikipedia__sl,name__gd,wikipedia__gd,wikipedia__eswikisource,name__lv,wikipedia__lv,identifier__bigenc_ru,identifier__MusicBrainz,identifier__NKC,identifier__CANTIC,identifier__discogs,identifier__SFDb,identifier__SCOPE,identifier__DNF,name__qu,wikipedia__qu,name__af,name__ast,name__bar,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__OLID,identifier__BNE,second_surname,name__bg,name__kk,name__az,wikipedia__az,wikipedia__bg,wikipedia__kk,wikipedia__ro,identifier__NDL,name__se,wikipedia__se,facebook,identifier__quora,wikipedia__eswikiquote,identifier__GNC,identifier__nlg,name__so,name__th,wikipedia__arwikinews,wikipedia__so,wikipedia__th,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,identifier__leonore,name__bcl,name__mwl,wikipedia__bcl,wikipedia__mwl,wikipedia__srwikinews,identifier__Oxforddnb,wikipedia__hy
Q1100154,"Fowsiyo Yussuf Haji Aadan","Fowsiyo Yusuf Haji Adan","Fowsiyo Yussuf Haji Aadan","Fowsiyo Yussuf Haji Aadan","Fowsiyo Yusuf Haji Adan",female,politician,1952-12-12,Fauzia,"Fowsiyo Yusuf Haji Adan","Fowsiyo Yussuf Haji Aadan","Fowsiyo Yusuf Haji Adan",,,,"Fowsiyo Yussuf Haji Aadan",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Fowziyayus.jpg,"Fowsiyo Yussuf Haji Aadan","Fowsiyo Yusuf Haji Adan",,,,,,,,,,,,,/m/0ncd2rj,,"Fowsiyo Yusuf Haji Adan",,,,"フォウシヨ・ユスフ・ハジ・アダン",,,,,,,,,,,,,,"フォウシヨ・ユスフ・ハジ・アダン",,,,,,,,,,,,,,,"Fauzia Yusuf Haji Adan",,"Fauzia Yusuf Haji Adan",,,,,,,,,,,,,,,,,,,"Category:Fowsiyo Yusuf Haji Adan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foosiya Yuusuf Xaaji Aadan","โฟวซิโย ยูซุฟ ฮาจี เอเดน",,,"โฟวซิโย ยูซุฟ ฮาจี เอเดน",,,,,,,,,,,,
Q13626788,"Ali Shido Abdi","Ali Shido Abdi","Ali Shido Abdi","Ali Shido Abdi","Ali Shido Abdi",male,politician,,Ali,"Ali Shido Abdi","Ali Shido Abdi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cali Shido Cabdi",,,"Cali Shido Cabdi",,,,,,,,,,,,,
Q1397020,"Muhammad Abdi Yusuf","Muhammad Abdi Yusuf","Muhammad Abdi Yusuf","Muhammad Abdi Yusuf","Muhammad Abdi Yusuf",male,politician,1941-07-01,Maxamed,"Muhammad Abdi Yusuf","Mohammed Abdi Yusuf","Muhammad Abdi Yusuf",,,,"Muhammad Abdi Yusuf",,,,"Muhammad Abdi Yusuf","Muhammad Abdi Yusuf",,,,,,,,,,"Muhammad Abdi Yusuf",,,,,,,"Mohammed Abdi Yusuf",,,,,,,/m/02c6ht,,"Mohamed Abdi Yusuf","穆罕默德·阿卜迪·優素福","穆罕默德·阿卜迪·优素福",,"ムハンマド・アブディ・ユスフ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Muhammad Abdi Yusuf",,"Muhammad Abdi Yusuf",,,,,,,,,,"Muhammad Abdi Yusuf",,,,,,,,,,,,,,,,,,,,"Muhammad Abdi Yusuf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxamed Cabdi Yuusuf","โมฮัมเหม็ด อับดี ยูซุฟ",,"Maxamed Cabdi Yuusuf","โมฮัมเหม็ด อับดี ยูซุฟ",,,,,,,,,,,,
Q1497466,"Geddi Abdi Gadid","Geddi Abdi Gadid","Geddi Abdi Gadid","Geddi Abdi Gadid","Geddi Abdi Gadid",male,politician,"",,"Geddi Abdi Gadid","Geddi Abdi Gadid",,2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,"Geddi Abdi Gadid","Geddi Abdi Gadid",,,,,,/m/0czcvsw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1569681,"Haji Dirie Hirsi","Haji Dirie Hirsi","Haji Dirie Hirsi","Haji Dirie Hirsi","Haji Dirie Hirsi",male,politician,1905,,"Haji Dirie Hirsi","Haji Dirie Hirsi",,1976-05-18,,,"Haji Dirie Hirsi",,,,,,,,,,,,,,,"Haji Dirie Hirsi",,,,,,,"Haji Dirie Hirsi",,,,,,,/m/02890qj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15917520,"Hassan Mohamed Hussein Mungab","Hassan Mohamed Hussein","Hassan Mohamed Hussein Mungab","Hassan Mohamed Hussein Mungab","Hassan Mohamed Hussein",male,politician,,Hassan,"Hassan Mohamed Hussein","Hassan Mohamed Hussein Mungab",,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Mun-gaab1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muungaab,,,Muungaab,,,,,,,,,,,,,
Q15997710,"Hawo Tako","Hawo Tako","Hawo Tako","Hawo Tako","Hawo Tako",female,politician,1925,,"Hawo Tako","Hawo Tako",,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16016266,"Mohamed Said Sayruq","Mohamed Said Sayruq","Mohamed Said Sayruq","Mohamed Said Sayruq","Mohamed Said Sayruq",male,politician,,Mohamed,"Mohamed Said Sayruq","Mohamed Said Sayruq",,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16016550,"Mohamed Sheikh Osman","Mohamed Sheikh Osman","Mohamed Sheikh Osman","Mohamed Sheikh Osman","Mohamed Sheikh Osman",male,politician,,Mohamed,"Mohamed Sheikh Osman","Mohamed Sheikh Osman",,2005-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146341,"Mohamed Ahmed Alin","Mohamed Ahmed Alin","Mohamed Ahmed Alin","Mohamed Ahmed Alin","Mohamed Ahmed Alin",male,politician,,Mohamed,"Mohamed Ahmed Alin","Mohamed Ahmed Alin",,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/40/UNPOS_CONFERENCE_SEPT_5th_and_6th,_Mogadishu_Somalia_(6129793466).jpg",,,,,,,,,,,,,,,,,,,,,"モハメド・アフメド・アリン",,,,"Mohamed Ahmed Alin","Mohamed Ahmed Alin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
