name,id
Aaron Motsoaledi,fce0f4ba-f0f3-461c-8ac9-b71dd94ee79b
Abinaar Modikela Matlhoko,c1e450b1-1e8a-44df-be2d-7f7e9a65cbaf
Abram Molefe Mudau,cf29c178-ee01-4203-b4b6-84a827e5b941
Adrian Williams,59c7f970-f31d-413f-a488-93d7e82ed094
Agnes Daphne Noluthando Qikani,4ef0ae0e-fe9a-469b-8e15-efb94b78ab87
Agnes Tuck,ebfb9ff0-30ce-4584-954d-a39b10f3751f
Ahmed Munzoor Shaik Emam,f3673350-3ef0-4888-808c-43eeaf87999e
Alan Ross Mcloughlin,09e605b2-911c-4720-897e-35cbd78a98fe
Alfred Mpontshane,d52b06b3-7a97-4fa5-a8e6-5a29d1714f40
Alina Mfulo,e1a18016-c588-455f-bbcf-57007faa1da9
Amos Fish Mahlalela,115cccb7-3b24-4592-95c5-c7c5e98fe182
Amos Masondo,e505b897-d998-4f85-849a-7878b8db58b8
Anchen Dreyer,025aec2d-ba00-4aa7-8f66-fc0f23350ffe
Anchen Margaretha Dreyer,025aec2d-ba00-4aa7-8f66-fc0f23350ffe
Andrew Frans Madella,ef50e607-3ecc-48ac-a708-39cc022ba7e5
Andrew Grant Whitfield,7cfa3070-b807-457b-b245-61d02ff9040f
Andricus Pieter Van der Westhuizen,388993a4-44c3-44d2-8333-630f2440eae1
Andricus Van der Westhuizen,388993a4-44c3-44d2-8333-630f2440eae1
Andries Nel,d62a1368-06ff-4314-b6f3-79f18ff5638a
Angela Thokozile Didiza,902133f8-7466-40e0-98c9-47dbc881a19d
Angie Motshekga,7983adb2-05bb-4be6-a513-48b1b1d62414
Annelie Lotriet,54dc444b-0d63-4bf0-a8f2-f1a097a3cadc
Annette Lovemore,a68fbeab-5b95-413a-9c3c-a689466a7f81
Annette Steyn,868cabc3-ceba-4b77-b612-4bf531d526e3
Anton Alberts,8dea21c1-873d-4e72-b024-2ee39de902b9
Anton De Waal Alberts,8dea21c1-873d-4e72-b024-2ee39de902b9
Archibold Mzuvukile Figlan,210f099f-c8cc-4c4f-9bc4-0a251917fe2a
Asanda Matshobeni,81f5a1ef-944e-4861-aa10-c42c9c3997f8
Ayanda Dlodlo,821054f0-ff75-4104-b57e-6b61afde2370
Baleka Mbete,bad9918b-6659-4a2b-ba1d-433f35410fa
Bantu Holomisa,7478c075-6f52-4d87-95cd-76559d4625f7
