id,position,label,description,start_date,term,end_date,election,constituency,replaces,replaced_by
Q11043304,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q11043304,Q20981742,Minister of Science and Technology,South African cabinet minister,"",,,,,,
Q11043304,Q3251789,Minister of Education,position in the South African government,"",,,,,,
Q1109753,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-03-15,,,,
Q1148669,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2018-02-15,,,,
Q1148669,Q273884,President of South Africa,South Africa's head of state and head of government,2018-02-15,,,,,Jacob Zuma,
Q11816850,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q1390963,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2014-05-25,,,,
Q1390963,Q4294775,Department of Tourism,department of the South African government,2009-05-10,,2014-05-25,,,Mohammed Valli Moosa,Derek Hanekom
Q1390963,Q4997324,Premier of the Western Cape,head of government of the Western Cape province of South Africa,2002-06-21,,2004-04-28,,,Peter Marais,Ebrahim Rasool
Q1390963,Q5260304,Department of Environmental Affairs and Tourism,former department of the government of South Africa,2004-04-29,,2009-05-10,,,,
Q1390963,Q620110,Leader of the Opposition,title traditionally held by the leader of the largest party not in government in a Westminster System of parliamentary government,1997,,1999,,,F. W. de Klerk,Tony Leon
Q1412305,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q1412305,Q20981745,Minister of Sport and Recreation,political office in South Africa,2010-11-01,,,,,Makhenkesi Stofile,
Q1450938,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q150276,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-09-21,26th South African Parliament,,,,,
Q150276,Q2571270,Chairperson of the African Union Commission,"",2012-10-15,,2017-01-30,,,Jean Ping,Moussa Faki
Q150276,Q4294929,Minister of International Relations and Cooperation,"","",,,,,,
Q16186490,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2016-03-02,,,,
Q16192838,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2016-05-24,"South African general election, 2014",KwaZulu-Natal,,
