id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q1148669,Cyril Ramaphosa,2014-05-21,"",,,African National Congress,Q83162,26
Q11816850,Pieter Groenewald,2014-05-21,"",,,Freedom Front Plus,Q510163,26
Q150276,Nkosazana Dlamini-Zuma,2014-05-21,"",,,African National Congress,Q83162,26
Q16192838,Senzo Mchunu,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q1632021,Nomaindia Mfeketo,2014-05-21,"",,,African National Congress,Q83162,26
Q16744270,Fezile Bhengu,2014-05-21,"",,,African National Congress,Q83162,26
Q16744297,Pamela Tshwete,2014-05-21,"",,,African National Congress,Q83162,26
Q16744371,Elizabeth Thabethe,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q16744389,Cheryllyn Dudley,2014-05-21,"",,,African Christian Democratic Party,Q268613,26
Q16744425,Narend Singh,2014-05-21,"",KwaZulu-Natal,Q81725,Inkatha Freedom Party,Q654444,26
Q16744439,Jerome-Joseph Maake,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q16744469,Désirée van der Walt,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q16744520,Francois Beukman,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q16746652,Ebrahim Ismail Ebrahim,2014-05-21,"",,,African National Congress,Q83162,26
Q16746657,Nomalungelo Gina,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q16746664,Mondli Gungubele,2014-05-21,"",,,African National Congress,Q83162,26
Q16746685,Zukile Luyenge,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q16746826,Gratitude Magwanishe,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q16765311,Blade Nzimande,2014-05-21,"",,,African National Congress,Q83162,26
Q16765740,Goodwill Sbusiso Radebe,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q1686353,Jeff Radebe,2014-05-21,"",,,African National Congress,Q83162,26
Q16929552,Yusuf Cassim,2014-05-21,"",Eastern Cape,Q130840,Democratic Alliance,Q761877,26
Q17385681,Glynnis Breytenbach,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q17388948,Senzeni Zokwana,2014-05-21,"",,,African National Congress,Q83162,26
Q17708781,Floyd Shivambu,2014-05-21,"",,,Economic Freedom Fighters,Q15613585,26
Q1941212,Mlungisi Johnson,2014-05-21,"",,,African National Congress,Q83162,26
Q21694330,David van Rooyen,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q24233839,Nkosinathi Nhleko,2014-05-21,"",,,African National Congress,Q83162,26
Q28086070,Mosebenzi Zwane,2014-05-21,"",Free State,Q160284,African National Congress,Q83162,26
Q28839897,Ayanda Dlodlo,2014-05-21,"",,,African National Congress,Q83162,26
Q28848631,Deidre Carter,2014-05-21,"",,,Congress of the People,Q1125988,26
Q28861539,Derrick America,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q29958484,Ghaleb Cachalia,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q3241428,Lindiwe Sisulu,2014-05-21,"",,,African National Congress,Q83162,26
Q33077552,Cornelius Petrus Mulder,2014-05-21,"",,,Freedom Front Plus,Q510163,26
Q33870385,Tokozile Xasa,2014-05-21,"",,,African National Congress,Q83162,26
Q43377376,Karen Jooste,2014-05-21,"",Northern Cape,Q132418,Democratic Alliance,Q761877,26
Q4358028,Jeremy Cronin,2014-05-21,"",,,African National Congress,Q83162,26
Q47529605,Mmatlala Grace Boroto,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529614,Pumzile Justice Mnguni,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529616,Zukisa Cheryl Faku,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529617,Mamonare Patricia Chueu,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529618,Bongekile Jabulile Dlomo,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529620,Daphne Zukiswa Rantho,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529621,Mcebisi Skwatsha,2014-05-21,"",,,African National Congress,Q83162,26
Q47529623,Patrick Dumile Nono Maloyi,2014-05-21,"",North West,Q165956,African National Congress,Q83162,26
Q47529625,Doreen Zamantungwa Sbusisiwe Senokoanyane,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529626,Mandlenkosi Phillip Galo,2014-05-21,"",,,African Independent Congress,Q4689795,26
Q47529628,Steven Mahlubanzima Jafta,2014-05-21,"",,,African Independent Congress,Q4689795,26
Q47529629,Samuel Gaaesi Mmusi,2014-05-21,"",North West,Q165956,African National Congress,Q83162,26
Q47529630,Lulama Maxwell Ntshayisa,2014-05-21,"",,,African Independent Congress,Q4689795,26
Q47529632,Thapelo Dorothy Chiloane,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529633,Lerato Cynthia Theko,2014-05-21,"",,,African National Congress,Q83162,26
Q47529634,Theophilus Mbulelo Nkonzo,2014-05-21,"",,,African National Congress,Q83162,26
Q47529636,Dikeledi Gladys Mahlangu,2014-05-21,"",,,African National Congress,Q83162,26
Q47529637,Kwati Candith Mashego-Dlamini,2014-05-21,"",,,African National Congress,Q83162,26
Q47529638,Nocawe Noncedo Mafu,2014-05-21,"",,,African National Congress,Q83162,26
Q47529640,Jabulane Joseph Dube,2014-05-21,"",,,African National Congress,Q83162,26
Q47529641,Amos Fish Mahlalela,2014-05-21,"",,,African National Congress,Q83162,26
Q47529643,Jabulani Lukas Mahlangu,2014-05-21,"",,,African National Congress,Q83162,26
Q47529644,Millicent Ntombizodwa Sibongile Manana,2014-05-21,"",,,African National Congress,Q83162,26
Q47529645,Rachel Cecilia Adams,2014-05-21,"",,,African National Congress,Q83162,26
Q47529646,Priscilla Tozama Mantashe,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529647,Simanga Happy Mbuyane,2014-05-21,"",,,African National Congress,Q83162,26
Q47529648,Loyiso Khanyisa Bunye Mpumlwana,2014-05-21,"",,,African National Congress,Q83162,26
Q47529649,Ezekiel Kekana,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529650,Ndumiso Capa,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529651,Deborah Dineo Raphuti,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529652,Sibongile Pearm Tsoleli,2014-05-21,"",Free State,Q160284,African National Congress,Q83162,26
Q47529653,Cathrine Matsimbi,2014-05-21,"",,,African National Congress,Q83162,26
Q47529654,Maesela David Kekana,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529655,Patrick Maesela,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529656,Moses Siphosezwe Amos Masango,2014-05-21,"",,,African National Congress,Q83162,26
Q47529658,Nokuzola Ndongeni,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529659,Madala Louis David Ntombela,2014-05-21,"",Free State,Q160284,African National Congress,Q83162,26
Q47529660,Nokukhanya Mthembu,2014-05-21,"",,,African National Congress,Q83162,26
Q47529662,Strike Michael Ralegoma,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529663,Machwene Rosina Semenya,2014-05-21,"",,,African National Congress,Q83162,26
Q47529665,Sheila Coleen Nkhensani Shope-Sithole,2014-05-21,"",,,African National Congress,Q83162,26
Q47529667,Sello Albert Tleane,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529669,Velhelmina Pulani Mogotsi,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529671,Simphiwe Donatus Bekwa,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529673,Mervyn Alexander Dirks,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529675,Mziwamadoda Uppington Kalako,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q47529676,Pinky Sharon Kekana,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529680,Sahlulele Luzipo,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529681,Livhuhani Mabija,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529684,Moloko Stanford Armour Maila,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529686,Thomas Makondo,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529687,Elizabeth Koena Mmanoko Masehela,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529690,Motswaledi Hezekiel Matlala,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529691,Derick Mnguni,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529693,Nkhensani Kate Bilankulu,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529696,Joyce Vuyiswa Basson,2014-05-21,"",Northern Cape,Q132418,African National Congress,Q83162,26
Q47529697,Andrew Frans Madella,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q47529699,Hellen Boikhutso Kekana,2014-05-21,"",North West,Q165956,African National Congress,Q83162,26
Q47529701,Dalton Hlamalani Khosa,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529703,Sharome Renay Van Schalkwyk,2014-05-21,"",Northern Cape,Q132418,African National Congress,Q83162,26
Q47529704,Mandisa Octovia Matshoba,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
