id,position,label,description,start_date,end_date,constituency,replaces,replaced_by,election,term,party
Q10855142,Q14850694,Member of National Assembly of South Korea,"",2016-05-30,,,,,"South Korean legislative election, 2016",20th Legislative Assembly,
Q10855898,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q10855915,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q11255427,Q14850694,Member of National Assembly of South Korea,"",2016-05-30,,,,,"South Korean legislative election, 2016",20th Legislative Assembly,
Q11263813,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q11266541,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q11270093,Q14850694,Member of National Assembly of South Korea,"",2016-05-30,,"Jongno, Seoul",,,"South Korean legislative election, 2016",20th Legislative Assembly,
Q11274387,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q11521597,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q11986047,Q14850694,Member of National Assembly of South Korea,"","",,,,,,20th Legislative Assembly,
Q12582747,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12582750,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12582922,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12582926,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12583135,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12586127,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12586585,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12586843,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12586962,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12586980,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587056,Q14850694,Member of National Assembly of South Korea,"",2012-05-30,2016-05-29,,,,,,
Q12587067,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587395,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587534,Q12592496,,"",2017-06-16,,,"",,,,
Q12587534,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587629,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587661,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587695,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587723,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587732,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587759,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12587766,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588053,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588095,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588111,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588221,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588234,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588313,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588496,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588497,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588607,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12588624,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
