id,label,description,type
Q3113035,Deputy Prime Minister of Spain,"",cabinet
Q25672112,Foreign Minister,member of the Spanish Cabinet,cabinet
Q25907267,Minister of Finance and Public Administrations,Spanish minister,cabinet
Q26208485,Minister of Health and Social Policy and Equality,Spanish minister,cabinet
Q24279063,Minister of Justice,Justice minister in Spain,cabinet
Q23636106,Minister of Territorial Policy,Spanish Cabinet minister,cabinet
Q844587,Prime Minister of Spain,position,cabinet
Q7443629,Second Deputy Prime Minister,of Spain,cabinet
Q2986316,European Commissioner for Climate Action,"",other
Q1747028,European Commissioner for Energy,"",other
Q17078548,Mayor of Madrid,political position in Spain,other
Q21402692,mayor of Toledo,"",other
Q15411298,Minister of the Generalitat Valenciana,"",other
Q21620329,Minister of the Government of Catalonia,"",other
Q3272746,President of Castile-La Mancha,"",other
Q3133837,President of Madrid,Wikimedia list article,other
Q15971570,President of the Generalitat Valenciana,"",other
Q2748453,President of the Junta of Andalusia,"",other
Q22978391,Madrid Councillor,"",other_legislatures
Q22998960,Member of Parliament of Castile and León,"",other_legislatures
Q20188454,Member of the Aragonese Corts,"",other_legislatures
Q22999968,Member of the Assembly of Extremadura,"",other_legislatures
Q22998436,member of the Assembly of Madrid,Member of the regional legislature of the Community of Madrid,other_legislatures
Q18714088,Member of the Catalan Parliament,"",other_legislatures
Q21609684,member of the Corts Valencianes,member of the parliament of the Generalitat Valenciana,other_legislatures
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q20177806,Member of the Parliament of Andalusia,"",other_legislatures
Q22998723,Member of the Parliament of Castile-La Mancha,"",other_legislatures
Q19323171,Member of the Senate of Spain,"",other_legislatures
Q6508563,Leader of the Opposition,"parliamentary position of the Congress of Deputies, Spain",self
Q18171345,Member of the Congress of Deputies of Spain,"",self
Q17014422,President of the Congress of Deputies,"",self
Q28137076,Member of the Parliament of the Balearic Islands,political representative,other_legislatures
