id,position,label,description,start_date,end_date,constituency,election,term,replaces,replaced_by
Q10969775,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q10992668,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q11057149,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q12975565,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q12978845,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q12980909,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q12984402,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q12986215,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q12988543,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q12989537,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q13642662,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q13644992,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q13645979,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q13652295,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q1395772,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-22,2010-10-07,Colombo Electoral District,,14th Sri Lankan Parliament,,
Q1395772,Q18964938,Member of the Parliament of Sri Lanka,"",2016-02-09,,National List Member of Parliament,,15th Sri Lankan Parliament,,
Q1395772,Q20987439,Ministry of Urban Development,"",2016-02-25,,,,,Rauff Hakeem,
Q1395772,Q4229215,Commander of the Army,"",2005-12-06,2009-07-15,,,,Shantha Kottegoda,Jagath Jayasuriya
Q1395772,Q5097053,Chief of the Defence Staff,Military position of Sri Lanka,2009-07-15,2009-11-30,,,,Donald Perera,Roshan Goonetileke
Q140651,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q1425123,Q18964938,Member of the Parliament of Sri Lanka,"",1989-07-13,1994-08-16,National List Member of Parliament,,9th Sri Lankan Parliament,A. Amirthalingam,
Q1425123,Q18964938,Member of the Parliament of Sri Lanka,"",1999,2000-10-10,National List Member of Parliament,,10th Sri Lankan Parliament,Neelan Tiruchelvam,
Q1425123,Q18964938,Member of the Parliament of Sri Lanka,"",2000-10-10,2001-12-05,Jaffna Electoral District,"Sri Lankan parliamentary election, 2000",11th Sri Lankan Parliament,,
Q1425123,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Jaffna Electoral District,"Sri Lankan parliamentary election, 2001",12th Sri Lankan Parliament,,
Q1425123,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Jaffna Electoral District,"Sri Lankan parliamentary election, 2004",13th Sri Lankan Parliament,,
Q1425123,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Jaffna Electoral District,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q1425123,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Jaffna Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q1518116,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Jaffna Electoral District,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q1518116,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Jaffna Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q16145819,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16146121,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16149727,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16152019,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16185625,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16195164,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16197371,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16197383,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16208088,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16208709,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16213510,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16213681,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16213682,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16215852,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16217323,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16230565,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16885711,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Vanni Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q16887004,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16910100,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q16987968,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q17011652,Q16056689,Minister of Defence,in Sri Lanka,2001-12-12,2003-11,,,,,
Q17011652,Q17013973,Ministry of Law and Order,"",2015-09-04,2015-11-09,,,,John Amaratunga,Sagala Ratnayaka
Q17011652,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q17011652,Q29057378,Minister of Transport,Transport Minister in Sri Lanka,2002,2004-04,,,,Gamini Atukorale,
Q17011652,Q4294928,Minister of Foreign Affairs of Sri Lanka,Minister of Foreign Affairs in Sri Lanka,2017-08-15,,,,,Wasantha Senanayake,
Q17011652,Q4818655,Attorney General of Sri Lanka,"",1992,1995,,,,Pandikoralalage Sunil Chandra De Silva,Shibly Aziz
Q1702764,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Jaffna Electoral District,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q1702764,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Jaffna Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q1848979,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q19518620,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q19604830,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q19605011,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q19739174,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q19895418,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20675802,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20854499,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Ampara Electoral District,"Sri Lankan parliamentary election, 2015",,,
Q20855546,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20890301,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,National List Member of Parliament,"Sri Lankan parliamentary election, 2015",,,
Q20890492,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20893943,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20902373,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20909648,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20930857,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20965948,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20968392,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20974199,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20974215,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20983225,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20983326,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20983341,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20983400,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20983450,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20983451,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20983471,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987207,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987377,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987381,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987383,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987384,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987411,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987414,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987419,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987441,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987448,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987459,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987474,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987475,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987476,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987485,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
