id,name__en,name__fi,name__sv,name__es,name__nl,name__de,name__nb,name__da,name__nn,name__fr,name__hu,name,wikipedia__en,wikipedia__fi,wikipedia__sv,gender,occupation,identifier__ISNI,identifier__VIAF,birth_date,identifier__freebase,family_name,given_name,identifier__Riksdagen,original_wikiname,name__it,name__cy,death_date,name__be_tarask,wikipedia__be_x_old,image,name__af,name__se,name__pl,name__pt,wikipedia__de,wikipedia__es,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__svwikiquote,identifier__IMDB,wikipedia__commons,name__la,name__id,name__uk,wikipedia__da,wikipedia__fr,wikipedia__id,wikipedia__la,wikipedia__pt,wikipedia__uk,identifier__EuroparlMEP,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__ru,name__is,name__hy,wikipedia__eo,wikipedia__is,wikipedia__ru,wikipedia__simple,identifier__SELIBR,twitter,website,wikipedia__et,wikipedia__oc,identifier__LCAuth,identifier__SUDOC,identifier__FAST,name__ko,wikipedia__ko,name__fa,name__zh,wikipedia__fa,identifier__PACE,wikipedia__it,wikipedia__ro,identifier__BNF,identifier__SFDb,identifier__elonet,identifier__kinopoisk,identifier__DNF,wikipedia__sco,wikipedia__nl,name__zh_hant,name__zh_cn,name__el,identifier__OLID,name__bs,name__lmo,name__sl,name__sq,name__ja,name__ar,wikipedia__ar,wikipedia__ca,identifier__GND,wikipedia__tr,wikipedia__mg,name__fo,wikipedia__fo,wikipedia__ja,name__ka,name__ta,name__sh,name__mr,name__mk,name__he,name__be,name__ur,name__ty,name__hsb,wikipedia__be,wikipedia__br,wikipedia__cs,wikipedia__cswikiquote,wikipedia__el,wikipedia__fawikiquote,wikipedia__he,wikipedia__hsb,wikipedia__hu,wikipedia__hy,wikipedia__ka,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__sh,wikipedia__sq,wikipedia__ta,wikipedia__ur,wikipedia__vi,wikipedia__zh,identifier__parlement,facebook,identifier__wikitree,name__bg,wikipedia__bg,wikipedia__fiwikiquote,wikipedia__ie,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,weblog,name__yo,name__sr,wikipedia__an,wikipedia__bs,wikipedia__gd,wikipedia__hr,wikipedia__io,wikipedia__mk,wikipedia__plwikiquote,wikipedia__sr,wikipedia__yo,identifier__NNDB,identifier__Munzinger,identifier__GTAA,wikipedia__enwikiquote,wikipedia__etwikiquote,identifier__NTA,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__gl,wikipedia__sk,identifier__Britannica,name__ckb,wikipedia__ckb,wikipedia__sw,name__fit,name__bn,identifier__NLI,name__sah,wikipedia__sah,wikipedia__nds,identifier__PORT,identifier__CSFD,name__sr_el,identifier__kansallisbiografia,name__az,name__hi,name__mn,name__qu,wikipedia__af,wikipedia__az,wikipedia__bn,wikipedia__frwikiquote,wikipedia__hi,wikipedia__mn,wikipedia__qu,wikipedia__se,wikipedia__eu,name__th,wikipedia__th,wikipedia__bswikiquote,wikipedia__ga,wikipedia__nowikiquote,wikipedia__svwikinews,identifier__BIBSYS
Q1040479,"Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter","Carl Schlyter",male,politician,,,1968-01-07,/m/054f52,Schlyter,Carl,0954072997110,"Carl Schlyter","Carl Schlyter",,,,,https://upload.wikimedia.org/wikipedia/commons/4/46/Carl_Schlyter.jpg,,,"Carl Schlyter",,"Carl Schlyter",,,,"Carl Schlyter",,,"Category:Carl Schlyter",,,,"Carl Schlyter","Carl Schlyter",,,,,28139,,,,,,,,,,,,,"Carl Schlyter",,,,,,,,,"Carl Schlyter",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl Schlyter",,,,,,,,,,,,,,,,,,"Carl Schlyter",,,,,CarlSchlyter,,,,,,,,,,,,,"Carl Schlyter","Carl Schlyter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10575345,"Magnus Sjödahl","Magnus Sjödahl","Magnus Sjödahl",,"Magnus Sjödahl",,,,,"Magnus Sjödahl",,"Magnus Sjödahl",,,"Magnus Sjödahl",male,politician,,,1958-08-13,,,Magnus,0534948028412,"Magnus Sjödahl",,,,,,"https://upload.wikimedia.org/wikipedia/commons/2/2d/Magnus_Sjödahl_01.JPG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10578332,"Mathias Sundin","Mathias Sundin","Mathias Sundin",,"Mathias Sundin",,,,,"Mathias Sundin",,"Mathias Sundin",,,"Mathias Sundin",male,politician,,,1978-03-31,,,Mathias,0456066032422,"Mathias Sundin","Mathias Sundin",,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Mathias_Sundin.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10667542,"Sigge Godin","Sigge Godin","Sigge Godin",,"Sigge Godin",,,,,"Sigge Godin",,"Sigge Godin",,,"Sigge Godin",male,politician,,,1938-01-23,,,Sigge,0108070243108,"Sigge Godin","Sigge Godin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10678024,"Stefan Käll","Stefan Käll","Stefan Käll",,"Stefan Käll",,,,,"Stefan Käll",,"Stefan Käll",,,"Stefan Käll",male,politician,,,1962,,,Stefan,0668060748617,"Stefan Käll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1346478,"Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson","Sten Andersson",male,politician,,43536274,1923-04-20,/m/02g133,Andersson,Sten,0160374603998,"Sten Andersson",,"Sten Andersson",2006-09-16,,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Sten_Andersson_1968.jpg,,,"Sten Andersson",,"Sten Andersson",,,"Sten Andersson","Sten Andersson","Sten Andersson",,,,,"Стен Андерссон",,"Sten Andersson",,,,"Стен Андерссон",,,,,,,,,,,,,,,"Sten Andersson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Стэн Андерссон",,,,,,,,,,"Sten Andersson",,n94090463,,345268,,,,,,,,,,,,,,,"Sten Andersson",,,,,,,,,,,,,140500820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000018040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1357206,"Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark","Gunnar Hökmark",male,politician,,48100092,1952-09-19,/m/054v_1,,Gunnar,0584386800218,"Gunnar Hökmark","Gunnar Hökmark",,,,,"https://upload.wikimedia.org/wikipedia/commons/9/90/Gunnar_Hökmark_01.JPG",,,"Gunnar Hökmark",,"Gunnar Hökmark",,,,"Gunnar Hökmark",,,"Category:Gunnar Hökmark",,,"Гуннар Хокмарк","Gunnar Hökmark","Gunnar Hökmark",,,,"Гуннар Хокмарк",28124,,,,,,,,,,,,,,"Gunnar Hökmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gunnar Hökmark",,,,,,,,,,,,,,,,,,,,,,,,,"Gunnar Hökmark",,n82022422,,,,,,,,,"Gunnar Hökmark","Gunnar Hökmark",,,,,,,,,,,,,,,,,,,,1100328777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1375199,"Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg","Per Westerberg",male,politician,,270178277,1951-08-02,/m/09ld3c,Westerberg,Per,031005479013,"Per Westerberg",,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Per_Westerberg.jpg,,,"Per Westerberg",,"Per Westerberg",,,"Per Westerberg","Per Westerberg","Per Westerberg",,"Category:Per Westerberg",,,"Пер Вестерберг",,"Per Westerberg",,,,"Пер Вестерберг",,,,,,,,,,,,,,"Per Westerberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Per Westerberg",,,,292659,,,,,,,,,,,"佩爾·韋斯特貝里",,4905,,,,,,,,,"Per Westerberg","佩爾·韋斯特貝里","佩尔·韦斯特贝里",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15713809,"Johan Johansson","Johan Johansson i Boden","Johan Johansson i Boden",,"Johan Johansson",,,,,"Johan Johansson",,"Johan Johansson i Boden",,,"Johan Johansson i Boden",male,politician,,34437237,1969-07-11,,Johansson,Johan,0957513768616,"Johan Johansson i Boden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1581082,"Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde","Hans Linde (Swedish politician)",,"Hans Linde",male,politician,,,1979-02-04,/m/0h98vnf,,Hans,0901257862125,"Hans Linde",,,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Hans_Linde_2.jpg,,,,,"Hans Linde (Politiker)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
