id,identifier__parlamentdotch,name,sort_name,given_name,family_name,birth_date,gender,area,area_id,council,council_id,party,party_id,faction,faction_id,term,source,start_date,end_date
74,74,"Christoph Eymann","Eymann, Christoph",Christoph,Eymann,1951-01-15,male,Basel-Stadt,BS,NR,1,LDP,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=74,,
91,91,"Ulrich Giezendanner","Giezendanner, Ulrich",Ulrich,Giezendanner,1953-10-31,male,Aargau,AG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=91,,
173,173,"Maximilian Reimann","Reimann, Maximilian",Maximilian,Reimann,1942-05-07,male,Aargau,AG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=173,,
214,214,"Luzi Stamm","Stamm, Luzi",Luzi,Stamm,1952-09-09,male,Aargau,AG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=214,,
224,224,"Alexander Tschäppät","Tschäppät, Alexander",Alexander,"Tschäppät",1952-04-16,male,Bern,BE,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=224,,
307,307,"Toni Brunner","Brunner, Toni",Toni,Brunner,1974-08-23,male,"St. Gallen",SG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=307,,
354,354,"Silva Semadeni","Semadeni, Silva",Silva,Semadeni,1952-02-08,female,"Graubünden",GR,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=354,,
487,487,"Susanne Leutenegger Oberholzer","Leutenegger Oberholzer, Susanne",Susanne,"Leutenegger Oberholzer",1948-03-06,female,Basel-Landschaft,BL,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=487,,
502,502,"Kathy Riklin","Riklin, Kathy",Kathy,Riklin,1952-10-21,female,"Zürich",ZH,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=502,,
514,514,"Jürg Stahl","Stahl, Jürg","Jürg",Stahl,1968-01-16,male,"Zürich",ZH,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=514,,
519,519,"Hansjörg Walter","Walter, Hansjörg","Hansjörg",Walter,1951-02-05,male,Thurgau,TG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=519,,
724,724,"Daniel Brélaz","Brélaz, Daniel",Daniel,"Brélaz",1950-01-04,male,Waadt,VD,NR,1,GPS,0,G,6,50,https://www.parlament.ch/en/biografie?CouncillorId=724,,
806,806,"Maya Graf","Graf, Maya",Maya,Graf,1962-02-28,female,Basel-Landschaft,BL,NR,1,GPS,0,G,6,50,https://www.parlament.ch/en/biografie?CouncillorId=806,,
1071,1071,"Ruth Humbel","Humbel, Ruth",Ruth,Humbel,1957-07-23,female,Aargau,AG,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=1071,,
1104,1104,"Jakob Büchler","Büchler, Jakob",Jakob,"Büchler",1952-05-29,male,"St. Gallen",SG,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=1104,,
1108,1108,"Guy Parmelin","Parmelin, Guy",Guy,Parmelin,1959-11-09,male,Waadt,VD,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=1108,,2015-12-31
1109,1109,"Gerhard Pfister","Pfister, Gerhard",Gerhard,Pfister,1962-10-01,male,Zug,ZG,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=1109,,
1111,1111,"Felix Müri","Müri, Felix",Felix,"Müri",1958-01-22,male,Luzern,LU,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=1111,,
1119,1119,"Jean-François Rime","Rime, Jean-François","Jean-François",Rime,1950-06-28,male,Freiburg,FR,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=1119,,
