id,position,label,description,start_date,term,constituency,election,end_date,replaces,replaced_by
Q11005183,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q11045555,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kibakwe,"Tanzanian general election, 2015",,,
Q11052170,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,,,,
Q11056716,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q11153384,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kigoma Urban,"Tanzanian general election, 2015",,,
Q11978376,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q11978376,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Peramiho,"Tanzanian general election, 2015",,,
Q1293072,Q16147875,Prime Minister of Tanzania,"",1977-02-13,,,,1980-11-07,Rashidi Kawawa,Cleopa Msuya
Q1293072,Q16147875,Prime Minister of Tanzania,"",1983-02-24,,,,1984-04-12,Cleopa Msuya,Salim Ahmed Salim
Q1293072,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122536,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122539,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122550,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122554,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Gairo,"Tanzanian general election, 2015",,,
Q13122556,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Solwa,"Tanzanian general election, 2015",,,
Q13122607,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122744,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122792,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122896,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Msalala,"Tanzanian general election, 2015",,,
Q13122905,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122923,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122942,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mpwapwa,"Tanzanian general election, 2015",,,
Q13122953,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122980,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Dimani,"Tanzanian general election, 2015",2016-11-09,,
Q13122985,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123005,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123155,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123156,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123172,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123174,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123175,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123750,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q13123763,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kisesa,"Tanzanian general election, 2015",,,
Q13124326,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124521,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Butiama,"Tanzanian general election, 2015",,,
Q13124686,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124687,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kigoma North,"Tanzanian general election, 2015",,,
Q13124688,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124750,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Busega,"Tanzanian general election, 2015",,,
Q13124755,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Sumve,"Tanzanian general election, 2015",,,
Q13124808,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Ubungo,"Tanzanian general election, 2015",,,
Q13124810,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124830,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Meatu,"Tanzanian general election, 2015",,,
Q13124832,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124934,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13124934,Q6867649,"Ministry of Water and Irrigation, Tanzania","","",,,,,,
Q13124943,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13125160,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Musoma Urban,"Tanzanian general election, 2015",,,
Q13125162,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Lupa,"Tanzanian general election, 2015",,,
Q13125250,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13125252,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Sengerema,"Tanzanian general election, 2015",,,
Q13125278,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q13125291,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
