name,party,term,source,image,area
Aderito Hugo da Costa,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/aderito.php,http://parlamento.tl/deputadus/fotos/cnrt/hugo.gif,Manufahi
Adriano Joao,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/adriano_joao.php,http://parlamento.tl/deputadus/fotos/PD/Adriano-Joao.jpg,Bobonaro
Adriano do Nascimento,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/adriano.php,http://parlamento.tl/deputadus/fotos/PD/adriano.jpg,Suai
Agostinho Lay,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/agostino_lay.php,http://parlamento.tl/deputadus/fotos/cnrt/Agustino%20Lay.jpg,Ermera
Albina Marçal Freitas,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/albina_marcal.php,http://parlamento.tl/deputadus/fotos/cnrt/Albina.jpg,Lospaos
Ana da Conceição Ribeiro,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/ana_ribeiro.php,http://parlamento.tl/deputadus/fotos/cnrt/Ana%20da%20Conceicao%20Ribeiro.jpg,Baucau
Anastácia da Costa S.Amaral,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/anastacia_amaral.php,http://parlamento.tl/deputadus/fotos/fretilin/Anastasia.jpg,Viqueque
Angelina Machado de Jesus,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/angelina_machado.php,http://parlamento.tl/deputadus/fotos/PD/angelina.jpg,Maliana
Angélica da Costa,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/angelica_costa.php,http://parlamento.tl/deputadus/fotos/fretilin/Angelica%20da%20Costa.jpg,Manufahi
Aniceto L. G.Lopes,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/aniceto_lopes.php,http://parlamento.tl/deputadus/fotos/fretilin/aniceto.gif,Maliana
Anselmo da Conceição,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/anselmo_conceicao.php,http://parlamento.tl/deputadus/fotos/cnrt/Anselmo.jpg,Lautem
Antoninho Bianco,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/antoninho_bianco.php,http://parlamento.tl/deputadus/fotos/fretilin/Bianco.jpg,Ainaro
Antonio dos Santos,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/antonio_santos.php,http://parlamento.tl/deputadus/fotos/fretilin/Antonio%20dos%20Santos%2055.jpg,Ermera
António Ximenes,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/antonio_ximenes.php,http://parlamento.tl/deputadus/fotos/cnrt/Antonio%20Ximenes.jpg,Baucau
Arão N. de J. da C. Amaral,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/arao_noe.php,http://parlamento.tl/deputadus/fotos/cnrt/arao.jpg,Manufahi
Aurelio Freitas Ribeiro,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/aurelio_ribeiro.php,http://parlamento.tl/deputadus/fotos/fretilin/Aurelio%20Freitas%20Ribeiro.jpg,Lautem
Aurora Ximenes,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/aurola_ximenes.php,http://parlamento.tl/deputadus/fotos/fretilin/Aurora%20Ximenes.jpg,Baucau
Bendita Moniz Magno,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/bendita_moniz.php,http://parlamento.tl/deputadus/fotos/cnrt/Bendita%20Monis.jpg,Dili
Benvinda Catarina Rodrigues,F.M,2012,http://parlamento.tl/deputadus/Biografia/fm/bemvinda_rodrigues.php,http://parlamento.tl/deputadus/fotos/fm/Bemvinda.JPG,Baucau
Brigida Antónia Correia,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/Brigida%20Correia.php,http://parlamento.tl/deputadus/fotos/cnrt/Brigida.jpg,Liquiça
Carmelita Caetano Moniz,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/carmelita_moniz.php,http://parlamento.tl/deputadus/fotos/cnrt/carmelita.jpg,Suai
Cesar Valente de Jesus,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/cesar_valente.php,http://parlamento.tl/deputadus/fotos/cnrt/Cesar.jpg,Liquiça
Cristovão Barros,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/cristovao_barros.php,http://parlamento.tl/deputadus/fotos/cnrt/Cristovao.jpg,Covalima
David Dias Ximenes,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/david_ximenes.php,http://parlamento.tl/deputadus/fotos/fretilin/David.jpg,Baucau
Domingas Álves da Silva,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/domingas_alves.php,http://parlamento.tl/deputadus/fotos/cnrt/domingas.jpg,""
Domingos Carvalho de Araújo,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/domingos_carvalho.php,http://parlamento.tl/deputadus/fotos/cnrt/Domingos%20Carvalho%20de%20Araujo.jpg,""
Duartes Nunes,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/duarte_nunes.php,http://parlamento.tl/deputadus/fotos/cnrt/duarte_nunes.jpg,Lautem
Eduardo de Jesus Barreto,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/eduardo_barreto.php,http://parlamento.tl/deputadus/fotos/cnrt/Eduardo%20de%20Deus%20Barreto.jpg,Ermera
Eládio António F.de Jesus,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/eladio_jesus.php,http://parlamento.tl/deputadus/fotos/fretilin/Eladio.jpg,Dili
Felisberto Monteiro Guterres,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/felisberto_guterres.php,http://parlamento.tl/deputadus/fotos/fretilin/Felisberto%20Monteiro%20Guterres.jpg,Viqueque
