uuid,female,male,other,skip,total
08b1ed88-e8ed-4a2b-9200-f373468a7388,0,4,0,0,4
0e781c8a-d70e-4335-af6c-933645a68a3f,0,1,0,0,1
0f2bce4d-e970-4eac-b7dc-bedcd7e201e2,0,4,0,0,4
102f99e4-1277-4d67-b544-a2c00b02d2c4,0,4,0,0,4
11452851-c3d1-47c6-8fa4-882beb9d383f,0,4,0,0,4
1813125b-a557-4310-b1e1-6623f829136a,0,1,0,0,1
1d6d4963-a5ee-4d46-bb28-ed3d3cb6142f,0,1,0,0,1
1e4e8ec5-9250-4eb3-b124-8e2078865a34,0,4,0,0,4
201cbcab-13be-46f0-af18-a84536562dba,0,1,0,0,1
2047967d-7641-4cea-b9be-d107a352c96b,0,1,0,0,1
22d92ef3-0557-4ab1-adc9-e136bd198112,0,4,0,0,4
26368d8d-958d-4179-83c5-1a63b2d801c8,0,4,0,0,4
36ecbf9b-bd89-4c33-986f-d70e5439d5f2,0,4,0,0,4
382934ba-e8d5-44dc-8b82-db7e4471e03c,0,1,0,0,1
40984009-db40-4166-90ad-908e2b4c5555,0,1,0,0,1
427a31ab-a969-4368-a29a-58361d5ee7f9,0,4,0,0,4
4403beb6-3cf0-4523-98f2-af2e37bf81c9,0,4,0,0,4
487744ad-c5a6-49b6-aea2-8c4412a8fcf1,0,4,0,0,4
4d1eef96-11fc-4f5b-941d-c5994aec8102,0,2,0,1,3
5734f52a-d10b-4e09-89a5-9e3353525d62,0,4,0,0,4
58a2138b-6f2b-4cc1-a802-09a3a090fd25,0,1,0,0,1
5df27c1b-8cca-4961-a9d5-c28f8cfca65c,0,4,0,0,4
5e653627-d4c6-46ee-ace3-64171b00b425,0,1,0,0,1
60b0d654-86a9-4722-b66d-216f6cee88fa,0,4,0,0,4
61e32ac1-6593-4889-892b-f74934f00bdb,0,4,0,0,4
6457e72a-2821-4461-bd05-f1f1f4d8525d,0,4,0,0,4
67e1d968-aa6a-4f40-8ca5-f517c3de1cc2,0,4,0,0,4
68e20945-9df1-4f3b-8199-02de65ea9d4c,0,1,0,0,1
7998c12b-0042-4223-a898-45f332e30cc9,0,1,0,0,1
83ddd530-6b10-4e5a-bd72-cac4f7aa4d5a,0,4,0,0,4
8631b65d-5634-4d84-87a5-c385018dfcd4,0,4,0,0,4
8bd39fd9-ea12-4d66-a96b-e2333f0194ea,0,4,0,0,4
8e9f53c2-b536-459a-8a93-26bcf2b95091,0,1,0,0,1
95fd39b0-5b18-42e5-b3c5-44a7b892fd5f,1,0,0,0,1
983865bf-c4fe-4058-9b5c-431d2ac87575,4,0,0,0,4
9f3ff15d-8927-4f28-99cd-37239db04522,0,1,0,0,1
a158734a-91ea-41f9-a525-bf7f7ffcd22c,0,4,0,0,4
a2e8bf28-962d-4b8a-8ff2-55ccf2faa14b,0,4,0,0,4
a33ba119-56e9-43a2-871d-bc7fbf882af1,0,4,0,0,4
a643afb0-f65c-4ade-be4a-ab12d454e53e,0,1,0,0,1
a78fb2d6-f2db-41a1-90ad-be3d0a36b075,0,1,0,0,1
ae48f40c-0ce6-4c40-b8cd-92bcc539e8c1,0,4,0,0,4
b0e7a5b5-b6ef-43ff-897d-7332c385cd2c,0,1,0,0,1
b2145a66-2e60-457e-a272-167e6e8ee811,0,4,0,0,4
b5427ae9-53dd-4d67-a42d-853ccaf2fa1d,0,1,0,0,1
b5b2d23c-3fbd-4c83-ba65-e8596babebf6,0,1,0,0,1
b93f3e32-84ce-4430-9e26-af3a88d0ee32,0,4,0,0,4
b9ed0084-b433-4df7-8c62-b27a5f2bbada,0,4,0,0,4
c4148f71-3001-4ccf-bfc6-a3b7f2e0f1e3,0,1,0,0,1
c6d2870c-c401-4e30-901f-04a46fa5b7f5,0,4,0,0,4
c9f27834-9b34-486f-a8c0-8bacb83294fb,0,4,0,0,4
ca569cbb-f630-4443-8539-ee2e3886b62b,0,1,0,0,1
ca6f9c38-8b8e-4f82-abd7-508d1db1a3ce,0,4,0,0,4
d3537749-c4f4-4816-a407-a21036a402de,0,4,0,0,4
d3d2b905-2691-4a1d-bc36-c0cf2dacf872,0,4,0,0,4
d51910c6-6139-429c-a462-983825cbaed6,4,0,0,0,4
d71d0a5c-88f4-4357-91ff-15c6af13c538,0,4,0,0,4
d82b1829-f8b6-45ad-9313-ef7cd4e59cd7,0,4,0,0,4
ddd48861-e374-47fd-891a-ca9dd44ea1ae,0,4,0,0,4
deab20dc-034d-4c29-b077-9c9a0cbfd39a,0,1,0,0,1
ecb5e21a-c89a-40d0-9c2c-cf99635a793b,0,4,0,0,4
f7ecb9a4-770c-4358-b47a-7ac1af87f3dd,0,4,0,0,4
f8403a2d-fbb7-4e18-9fae-6da34ec7238b,4,0,0,0,4
f9b08611-c778-4ce8-975d-e87dacc3d385,0,1,0,0,1
fc9758c8-d2b0-40e5-9e52-b4a25fb4f002,0,4,0,0,4
