id,name,area,image,term,source,last_seen
antyufeeva-galina-mihaylovna,АНТЮФЕЕВА Галина Михайловна,32,http://vspmr.org/im.xp/049049057052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/antyufeeva-galina-mihaylovna/,
antyufeeva-galina-mihaylovna,АНТЮФЕЕВА Галина Михайловна,32,http://vspmr.org/im.xp/050053057057049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/antyufeeva-galina-mihaylovna/,2016-12-15
babchinetskiy-valeriy-grigorjevich,БАБЧИНЕЦКИЙ Валерий Григорьевич,15,http://vspmr.org/im.xp/049050048048124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/babchinetskiy-valeriy-grigorjevich/,
babchinetskiy-valeriy-grigorjevich,БАБЧИНЕЦКИЙ Валерий Григорьевич,15,http://vspmr.org/im.xp/049054056053051124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/babchinetskiy-valeriy-grigorjevich/,2016-12-15
baev-oleg-markovich,БАЕВ Олег Маркович,12,http://vspmr.org/im.xp/049050048050124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/baev-oleg-markovich/,
baev-oleg-markovich,БАЕВ Олег Маркович,12,http://vspmr.org/im.xp/049050048050124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/baev-oleg-markovich/,2016-12-15
belitchenko-anatoliy-konstantinovich,БЕЛИТЧЕНКО Анатолий Константинович,17,http://vspmr.org/im.xp/049050048052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/belitchenko-anatoliy-konstantinovich/,
belyakov-oleg-leonidovich,БЕЛЯКОВ Олег Леонидович,5,http://vspmr.org/im.xp/049054052048053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/belyakov-oleg-leonidovich/,2016-12-15
bichkov-vladimir-vladimirovich,БЫЧКОВ Владимир Владимирович,16,http://vspmr.org/im.xp/049050048056124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/bichkov-vladimir-vladimirovich/,
bodnar-vladimir-lukich,БОДНАР Владимир Лукич,37,http://vspmr.org/im.xp/054057048124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/bodnar-vladimir-lukich/,
buga-igorj-semenovich,БУГА Игорь Семенович,37,http://vspmr.org/im.xp/049054048057057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/buga-igorj-semenovich/,2016-12-15
burla-mihail-porfirovich,БУРЛА Михаил Порфирович,34,http://vspmr.org/im.xp/054057049124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/burla-mihail-porfirovich/,
burla-mihail-porfirovich,БУРЛА Михаил Порфирович,34,http://vspmr.org/im.xp/054057049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/burla-mihail-porfirovich/,2016-12-15
cheban-sergey-fedorovich,ЧЕБАН Сергей Федорович,26,http://vspmr.org/im.xp/054057053124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/cheban-sergey-fedorovich/,
cheban-sergey-fedorovich,ЧЕБАН Сергей Федорович,26,http://vspmr.org/im.xp/054057053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/cheban-sergey-fedorovich/,2016-12-15
chervonookiy-valeriy-vladimirovich,ЧЕРВОНООКИЙ Валерий Владимирович,7,http://vspmr.org/im.xp/049051055053124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/chervonookiy-valeriy-vladimirovich/,
dirun-anatoliy-viktorovich,ДИРУН Анатолий Викторович,35,http://vspmr.org/im.xp/049050049052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/dirun-anatoliy-viktorovich/,
djyachenko-grigoriy-ivanovich,ДЬЯЧЕНКО Григорий Иванович,39,http://vspmr.org/im.xp/049050049055124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/djyachenko-grigoriy-ivanovich/,
djyachenko-grigoriy-ivanovich,ДЬЯЧЕНКО Григорий Иванович,39,http://vspmr.org/im.xp/049054051055048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/djyachenko-grigoriy-ivanovich/,2016-12-15
