name,family_name,given_name,faction,term,id,image,source
Allyson Baksh,Baksh,Allyson,PNM,11,ALB15,http://ttparliament.org/content_images/ALB15.jpg,http://ttparliament.org/members.php?mid=55&id=ALB15
Avinash Singh,Singh,Avinash,PNM,11,ASI13,http://ttparliament.org/content_images/ASI13.jpg,http://ttparliament.org/members.php?mid=55&id=ASI13
Christine Kangaloo,Kangaloo,Christine,President of the Senate,11,CKA01,http://ttparliament.org/content_images/CKA01.jpg,http://ttparliament.org/members.php?mid=55&id=CKA01
Clarence Rambharat,Rambharat,Clarence,PNM,11,CLR15,http://ttparliament.org/content_images/CLR15.jpg,http://ttparliament.org/members.php?mid=55&id=CLR15
Daniel Dookie,Dookie,Daniel,PNM,11,DDK10,http://ttparliament.org/content_images/DDK10.jpg,http://ttparliament.org/members.php?mid=55&id=DDK10
Dhanayshar Mahabir,Mahabir,Dhanayshar,Independent,11,DM13,http://ttparliament.org/content_images/DM13.jpg,http://ttparliament.org/members.php?mid=55&id=DM13
Dennis Moses,Moses,Dennis,PNM,11,DNM15,http://ttparliament.org/content_images/DNM15.jpg,http://ttparliament.org/members.php?mid=55&id=DNM15
Daniel Solomon,Solomon,Daniel,UNC,11,DS911,http://ttparliament.org/content_images/DS911.jpg,http://ttparliament.org/members.php?mid=55&id=DS911
David Small,Small,David,Independent,11,DSM13,http://ttparliament.org/content_images/DSM13.jpg,http://ttparliament.org/members.php?mid=55&id=DSM13
Foster Cummings,Cummings,Foster,PNM,11,FCU01,http://ttparliament.org/content_images/FCU01.jpg,http://ttparliament.org/members.php?mid=55&id=FCU01
Franklin Khan,Khan,Franklin,PNM,11,FKH02,http://ttparliament.org/content_images/FKH02.jpg,http://ttparliament.org/members.php?mid=55&id=FKH02
Hafeez Ali,Ali,Hafeez,PNM,11,HFZ15,http://ttparliament.org/content_images/HFZ15.jpg,http://ttparliament.org/members.php?mid=55&id=HFZ15
H.R. Ian Roach,Roach,H.R. Ian,Independent,11,HRR13,http://ttparliament.org/content_images/HRR13.jpg,http://ttparliament.org/members.php?mid=55&id=HRR13
Jennifer Baptiste-Primus,Baptiste-Primus,Jennifer,PNM,11,JBP15,http://ttparliament.org/content_images/JBP15.jpg,http://ttparliament.org/members.php?mid=55&id=JBP15
Jennifer Raffoul,Raffoul,Jennifer,Independent,11,JRF15,http://ttparliament.org/content_images/JRF15.jpg,http://ttparliament.org/members.php?mid=55&id=JRF15
Khadijah Ameen,Ameen,Khadijah,UNC,11,KHA15,http://ttparliament.org/content_images/KHA15.jpg,http://ttparliament.org/members.php?mid=55&id=KHA15
Lester Henry,Henry,Lester,PNM,11,LHE76,http://ttparliament.org/content_images/LHE76.jpg,http://ttparliament.org/members.php?mid=55&id=LHE76
Melissa Ramkissoon,Ramkissoon,Melissa,Independent,11,MRK15,http://ttparliament.org/content_images/MRK15.jpg,http://ttparliament.org/members.php?mid=55&id=MRK15
Nigel De Freitas,De Freitas,Nigel,PNM,11,NDF15,http://ttparliament.org/content_images/NDF15.jpg,http://ttparliament.org/members.php?mid=55&id=NDF15
Nadine Stewart,Stewart,Nadine,PNM,11,NDS15,http://ttparliament.org/content_images/NDS15.jpg,http://ttparliament.org/members.php?mid=55&id=NDS15
Paula Gopee-Scoon,Gopee-Scoon,Paula,PNM,11,PGO01,http://ttparliament.org/content_images/PGO01.jpg,http://ttparliament.org/members.php?mid=55&id=PGO01
Paul Richards,Richards,Paul,Independent,11,PRI15,http://ttparliament.org/content_images/PRI15.jpg,http://ttparliament.org/members.php?mid=55&id=PRI15
Rodger Samuel,Samuel,Rodger,COP,11,RSL10,http://ttparliament.org/content_images/RSL10.jpg,http://ttparliament.org/members.php?mid=55&id=RSL10
Sarah Budhu,Budhu,Sarah,PNM,11,SBU15,http://ttparliament.org/content_images/SBU15.jpg,http://ttparliament.org/members.php?mid=55&id=SBU15
Stephen Creese,Creese,Stephen,Independent,11,SCR15,http://ttparliament.org/content_images/SCR15.jpg,http://ttparliament.org/members.php?mid=55&id=SCR15
Sophia Chote,Chote,Sophia,Independent,11,SKC15,http://ttparliament.org/content_images/SKC15.jpg,http://ttparliament.org/members.php?mid=55&id=SKC15
Taurel Shrikissoon,Shrikissoon,Taurel,Independent,11,TRA14,http://ttparliament.org/content_images/TRA14.jpg,http://ttparliament.org/members.php?mid=55&id=TRA14
Vasant Bharath,Bharath,Vasant,UNC,11,VBH01,http://ttparliament.org/content_images/VBH01.jpg,http://ttparliament.org/members.php?mid=55&id=VBH01
Walede Michael Coppin,Coppin,Walede Michael,PNM,11,WCO15,http://ttparliament.org/content_images/WCO15.jpg,http://ttparliament.org/members.php?mid=55&id=WCO15
Wade Mark,Mark,Wade,UNC,11,WMA01,http://ttparliament.org/content_images/WMA01.jpg,http://ttparliament.org/members.php?mid=55&id=WMA01
Wayne Sturge,Sturge,Wayne,UNC,11,WST13,http://ttparliament.org/content_images/WST13.jpg,http://ttparliament.org/members.php?mid=55&id=WST13
