id,label,description,type
Q1922067,President of Turkey,"",executive
Q2430415,Prime Minister of Turkey,head of government of Turkey,cabinet
Q5261074,Deputy Prime Minister of Turkey,"",cabinet
Q23196601,Minister of Culture and Tourism,Turkish cabinet minister,cabinet
Q21030356,Member of the Grand National Assembly of Turkey,Turkish MP,self
Q6020671,Speaker of the Grand National Assembly of Turkey,"",self
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q17781726,member of the Landtag of North Rhine-Westphalia,"",other_legislatures
Q27491113,Member of the Russian Constituent Assembly,"",other_legislatures
Q27481020,Member of the State Duma of the Russian Empire,"",other_legislatures
