id,name,start_date,end_date,wikidata
26,26th Parliament,2015-11-17,,Q20878969
25,25th Parliament,2015-06-23,2015-11-01,Q20054638
24,24th Parliament,2011-06-28,2015-06-23,Q6577342
23,23rd Parliament,2007-07-23,2011-06-28,Q6105544
22,22nd Parliament,2002-11-14,2007-07-23,Q6105521
21,21st Parliament,1999-04-18,2002-11-14,Q6105459
20,20th Parliament,1996-01-08,1999-04-18,Q6105441
19,19th Parliament,1991-11-06,1995-12-24,Q4595761
18,18th Parliament,1987-12-14,1991-10-20,Q6105259
17,17th Parliament,1983-11-24,1987-11-29,Q6105227
16,16th Parliament,1977-06-13,1980-09-12,Q6105324
15,15th Parliament,1973-10-24,1977-06-05,Q6105248
14,14th Parliament,1969-10-22,1973-10-14,Q6105220
13,13th Parliament,1965-10-22,1969-10-12,Q6105241
12,12th Parliament,1961-10-25,1965-10-01,Q6105272
11,11th Parliament,1957-11-01,1960-05-27,Q6105554
10,10th Parliament,1954-05-14,1957-11-01,Q6105536
9,9th Parliament,1950-05-22,1954-05-14,Q6105483
8,8th Parliament,1946-08-05,1950-05-22,Q6105362
7,7th Parliament,1943-03-08,1946-08-05,Q6105370
6,6th Parliament,1939-04-03,1943-03-08,Q6105344
5,5th Parliament,1935-03-01,1939-04-03,Q6105238
4,4th Parliament,1931-05-04,1935-03-01,Q6105134
3,3rd Parliament,1927-08-02,1931-05-04,Q6105156
2,2nd Parliament,1923-08-11,1927-08-02,Q6105188
1,1st Parliament,1920-04-23,1923-08-11,Q6105319
