name,image,source,id
Akierra Mary Deanne Missick,https://lh5.googleusercontent.com/-j8C1vgFGa-Q/VE_todgs8gI/AAAAAAAAAOo/hDlNlutEmSQ/w721-h577-no/hon-akierra-missick.png,https://www.gov.tc/hon-akierra-mary-deanne-missick/,akierra_mary_deanne_missick
Amanda Missick,https://lh3.googleusercontent.com/-25MXEVeNxU0/VE_too2B1JI/AAAAAAAAAOY/VKD4gUOR-Vs/w721-h577-no/hon-amanda-misick.JPG,https://www.gov.tc/hon-amanda-misick/,amanda_missick
Charles Washington Misick,https://lh5.googleusercontent.com/-2_WkSa0gBxQ/VE_tt2Y2GNI/AAAAAAAAAQk/vmjFDo-2NMU/w721-h577-no/hon-washington-misick.JPG,https://www.gov.tc/hon-charles-washington-misick/,charles_washington_misick
Derek Taylor,https://lh5.googleusercontent.com/-yP39HgAAXYg/VE_tp_TosjI/AAAAAAAAAQU/XF0qxoQLmx4/w721-h577-no/hon-derek-taylor.png,https://www.gov.tc/index.php/government/house-of-assembly,derek_taylor
Dr. Rufus Washington Ewing,https://lh6.googleusercontent.com/--SCaVgExEkA/VE_tnGEk6bI/AAAAAAAAAN4/eJTSCXVfF_g/w721-h577-no/dr-rufus-ewing.JPG,https://www.gov.tc/hon-dr-rufus-washington-ewing/,dr._rufus_washington_ewing
George Alexander Lightbourne,https://lh4.googleusercontent.com/-mH5dgfvpBSQ/VE_tpwDjnnI/AAAAAAAAAO8/HDTcLcdIiH0/w721-h577-no/hon-george-lightbourne.JPG,https://www.gov.tc/hon-george-alexander-lightbourne/,george_alexander_lightbourne
Goldray McMillin Ewing,https://lh4.googleusercontent.com/IA9vUNEdwPtI0xwgibrG6rdWNtit3T7Y1OXcE5s8jBU=w721-h577-no,https://www.gov.tc/index.php/government/house-of-assembly,goldray_mcmillin_ewing
Josephine Conolly,https://lh5.googleusercontent.com/-pNXe7tMdaaM/VE_tqz8oydI/AAAAAAAAAPU/jzLK8GTUfbA/w721-h577-no/hon-josephine-conolly.JPG,https://www.gov.tc/index.php/government/house-of-assembly,josephine_conolly
Norman Benjamin Saunders,https://lh3.googleusercontent.com/-0RxfNPyCYCo/VE_trBrFuhI/AAAAAAAAAPc/cLbhuQXwqfI/w721-h577-no/hon-norman-saunders.JPG,https://www.gov.tc/index.php/government/house-of-assembly,norman_benjamin_saunders
Porsha Monique Stubbs-Smith,https://lh3.googleusercontent.com/-8Bwmp2S-Zfg/VE_tran2tWI/AAAAAAAAAPs/gU4ajC-hMsk/w721-h577-no/hon-porsha-stubbs-smith.JPG,https://www.gov.tc/hon-porsha-stubbs-smith/,porsha_monique_stubbs-smith
Ricardo Don-Hue Gardiner,https://lh6.googleusercontent.com/-Obv6dn5OE5s/VE_tr2MJ8sI/AAAAAAAAAPw/tx-dFCrpWBA/w721-h577-no/hon-ricardo-don-hue-gardiner.JPG,https://www.gov.tc/hon-ricardo-don-hue-gardiner/,ricardo_don-hue_gardiner
Sean Rickard Astwood,https://lh4.googleusercontent.com/-gT4HiPMc2Sk/VE_tsyBPfjI/AAAAAAAAAQM/EC6y3WfJAhM/w721-h577-no/hon-sean-astwood.JPG,https://www.gov.tc/index.php/government/house-of-assembly,sean_rickard_astwood
Sharlene Linette Catrwright-Robinson,https://lh3.googleusercontent.com/-PhisVKBnhGU/VE_tt4TmZFI/AAAAAAAAAQ0/HPXv54geCmU/w721-h577-no/hon-sharlene-cartwright-robinson.png,https://www.gov.tc/index.php/government/house-of-assembly,sharlene_linette_catrwright-robinson
Vaden Delroy Williams,https://lh6.googleusercontent.com/-R71ffV0z9GE/VE_tpSuZm6I/AAAAAAAAAO0/UlbEPM2Pql8/w769-h577-no/hon-delroy-williams.JPG,https://www.gov.tc/index.php/government/house-of-assembly,vaden_delroy_williams
