id,label,description,type
Q531471,Chancellor of the Exchequer,position in the British Cabinet responsible for economic and financial matters,cabinet
Q3068024,First Secretary of State,,cabinet
Q2012061,Leader of the House of Lords,member of the Cabinet of the United Kingdom,cabinet
Q14211,Prime Minister of the United Kingdom,head of Her Majesty's Government in the United Kingdom,cabinet
Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",United Kingdom government cabinet minister,cabinet
Q7444335,"Secretary of State for Children, Schools and Families",United Kingdom government cabinet minister; 2007–2010,cabinet
Q11781526,Secretary of State for Communities and Local Government,United Kingdom government cabinet minister,cabinet
Q3297079,"Secretary of State for Culture, Media and Sport",United Kingdom government cabinet minister,cabinet
Q2747647,Secretary of State for Defence,United Kingdom government cabinet minister,cabinet
Q3477306,Secretary of State for Education,United Kingdom government cabinet minister,cabinet
Q7444342,Secretary of State for Employment,,cabinet
Q19968043,Secretary of State for Energy,United Kingdom government cabinet minister; 1974–1992,cabinet
Q7444345,Secretary of State for Energy and Climate Change,United Kingdom government cabinet minister,cabinet
Q14984399,"Secretary of State for Environment, Food and Rural Affairs",United Kingdom government cabinet minister,cabinet
Q25860233,Secretary of State for Exiting the European Union,secretary of state responsible for the United Kingdom's withdrawal from the European Union,cabinet
Q1371091,Secretary of State for Foreign and Commonwealth Affairs,United Kingdom government cabinet minister heading the Foreign and Commonwealth Office,cabinet
Q3397406,Secretary of State for Health,United Kingdom government cabinet minister,cabinet
Q7444350,"Secretary of State for Innovation, Universities and Skills",United Kingdom government cabinet minister; 2007–2009,cabinet
Q7444352,Secretary of State for International Development,United Kingdom government cabinet minister,cabinet
Q25863345,Secretary of State for International Trade,,cabinet
Q3477307,Secretary of State for Justice,United Kingdom government cabinet minister,cabinet
Q1369302,Secretary of State for Northern Ireland,United Kingdom government cabinet minister,cabinet
Q111784,Secretary of State for Scotland,United Kingdom government cabinet minister with responsibilities for Scotland,cabinet
Q4122328,Secretary of State for Social Services,,cabinet
Q3246797,Secretary of State for Transport,United Kingdom government cabinet minister,cabinet
Q1846384,Secretary of State for Wales,United Kingdom government cabinet minister,cabinet
Q7444357,Secretary of State for Work and Pensions,United Kingdom government cabinet minister,cabinet
Q4122313,Secretary of State for the Environment,United Kingdom government cabinet minister; 1970–1997,cabinet
Q16974879,"Secretary of State for the Environment, Transport and the Regions",United Kingdom government cabinet minister; 1997–2001,cabinet
Q2484309,Secretary of State for the Home Department,United Kingdom government cabinet minister,cabinet
