id,name,gender,identifier__VIAF,identifier__BNF,birth_date,given_name,identifier__sycomore,identifier__senatfr,image,identifier__IMDB,identifier__MusicBrainz,identifier__EuroparlMEP,identifier__LCAuth,identifier__GND,identifier__discogs,family_name,identifier__freebase,identifier__journalisted,identifier__NPG,identifier__parliamentDOTuk,identifier__ISNI,identifier__NNDB,identifier__Muzinger,identifier__NTA,identifier__SUDOC,identifier__CANTIC,honorific_prefix,website,identifier__ULAN,identifier__OpenPlaques,honorific_suffix,email,identifier__NDL,name__en,wikipedia__en,identifier__hansard,identifier__Munzinger,name__la,name__eo,name__de,name__pl,name__ksh,name__fi,name__it,name__nl,name__sv,name__fr,name__es,name__de_ch,name__en_ca,name__en_gb,name__nb,name__da,name__nn,wikipedia__commons,wikipedia__de,wikipedia__enwikiquote,wikipedia__eo,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ksh,wikipedia__la,wikipedia__nl,wikipedia__pl,wikipedia__simple,wikipedia__sv,name__cy,name__ru,name__tr,name__zh,name__uk,name__yue,name__fa,wikipedia__cy,wikipedia__da,wikipedia__enwikisource,wikipedia__es,wikipedia__no,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh_yue,wikipedia__zh,name__ja,wikipedia__ja,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__et,name__eu,name__ga,name__gl,name__hr,name__hu,name__is,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__vec,name__wa,wikipedia__itwikiquote,name__sco,wikipedia__sco,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__he,name__vi,name__zh_mo,name__zh_my,wikipedia__cs,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__vi,name__el,name__oc,wikipedia__oc,name__rw,name__id,wikipedia__id,wikipedia__rw,twitter,name__fo,name__ms,wikipedia__fo,wikipedia__ms,name__hi,wikipedia__hi,wikipedia__pt,name__sh,wikipedia__cswikiquote,wikipedia__sh,wikipedia__ga,wikipedia__ro,name__ar,identifier__NLAtrove,name__si,wikipedia__si,name__ne,wikipedia__ne,name__pt_br,name__mg,wikipedia__mg,name__mk,name__ckb,name__ie,name__pa,name__bg,name__ko,wikipedia__ar,wikipedia__bg,wikipedia__ca,wikipedia__ckb,wikipedia__el,wikipedia__hu,wikipedia__ie,wikipedia__is,wikipedia__ko,wikipedia__pa,wikipedia__plwikiquote,name__nan,wikipedia__zh_min_nan,name__arz,name__az,name__bcl,name__be,name__bi,name__gd,name__gv,name__hak,name__hsb,name__hy,name__io,name__jv,name__ka,name__kw,name__lv,name__mr,name__my,name__new,name__os,name__pam,name__pnb,name__qu,name__scn,name__so,name__sr,name__ta,name__th,name__tl,name__tt,name__yi,name__yo,name__zu,name__ur,name__war,name__pih,name__bn,name__be_tarask,name__gsw,name__dsb,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__ia,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pcd,name__rm,name__sc,name__sr_el,name__sw,name__vls,name__vo,name__wo,name__kl,name__mn,name__kk,name__ks,wikipedia__af,wikipedia__an,wikipedia__arz,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bi,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__dsb,wikipedia__eowikinews,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fiwikiquote,wikipedia__frwikinews,wikipedia__gd,wikipedia__gv,wikipedia__hak,wikipedia__hr,wikipedia__hsb,wikipedia__hy,wikipedia__io,wikipedia__jv,wikipedia__ka,wikipedia__kk,wikipedia__ks,wikipedia__kw,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mn,wikipedia__mr,wikipedia__my,wikipedia__new,wikipedia__nn,wikipedia__os,wikipedia__pam,wikipedia__pih,wikipedia__pnb,wikipedia__qu,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__scn,wikipedia__sk,wikipedia__so,wikipedia__sq,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__tt,wikipedia__ur,wikipedia__war,wikipedia__yi,wikipedia__yo,wikipedia__zu,facebook,name__vmf,wikipedia__ukwikiquote,wikipedia__fawikiquote,wikipedia__azwikiquote,wikipedia__li,name__lrc,wikipedia__lrc,name__fy,wikipedia__bar,wikipedia__cawikiquote,wikipedia__fy,name__sr_ec,identifier__britishmuseum,identifier__GTAA,name__ku,wikipedia__ku,wikipedia__ast,identifier__Britannica,identifier__FAST,identifier__publicwhip,identifier__current_hansard,original_wikiname,death_date,name__am,name__bo,name__cv,name__ha,name__ml,name__mzn,name__nov,name__sa,name__szl,name__tg,name__uz,name__te,name__kn,name__diq,name__ace,name__pag,name__su,name__ug,name__sgs,name__ps,name__rup,name__sah,wikipedia__ace,wikipedia__als,wikipedia__am,wikipedia__bat_smg,wikipedia__bgwikiquote,wikipedia__bo,wikipedia__bswikiquote,wikipedia__cv,wikipedia__dewikiquote,wikipedia__diq,wikipedia__elwikiquote,wikipedia__eowikiquote,wikipedia__etwikiquote,wikipedia__euwikiquote,wikipedia__frwikiquote,wikipedia__ha,wikipedia__hewikiquote,wikipedia__hrwikiquote,wikipedia__huwikiquote,wikipedia__hywikiquote,wikipedia__jawikiquote,wikipedia__kawikiquote,wikipedia__kn,wikipedia__kowikiquote,wikipedia__ltwikiquote,wikipedia__min,wikipedia__mk,wikipedia__ml,wikipedia__mzn,wikipedia__nds,wikipedia__nnwikiquote,wikipedia__nov,wikipedia__ps,wikipedia__ptwikiquote,wikipedia__rm,wikipedia__roa_rup,wikipedia__sah,wikipedia__sa,wikipedia__sc,wikipedia__simplewikiquote,wikipedia__sl,wikipedia__sqwikiquote,wikipedia__srwikiquote,wikipedia__su,wikipedia__svwikiquote,wikipedia__sw,wikipedia__szl,wikipedia__te,wikipedia__tg,wikipedia__trwikiquote,wikipedia__ug,wikipedia__uz,wikipedia__viwikiquote,wikipedia__wa,wikipedia__zhwikiquote,identifier__CiNii,identifier__SBN_it,identifier__NLA,identifier__OLID,identifier__NKC,identifier__DBNL,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__NUKAT,identifier__GNC,name__mi,name__vro,wikipedia__arwikiquote,wikipedia__enwikinews,wikipedia__fiu_vro,wikipedia__ia,wikipedia__mi,wikipedia__nlwikiquote,wikipedia__nowikiquote,wikipedia__pms,wikipedia__slwikiquote,identifier__BIBSYS,identifier__parlement,electoral_district,identifier__Oxforddnb,name__ht,name__tpi,name__wuu,wikipedia__afwikiquote,wikipedia__cywikiquote,wikipedia__ht,wikipedia__tpi,wikipedia__wo,wikipedia__wuu,wikipedia__hiwikiquote,identifier__N6I,name__tg_latn,identifier__AlloCine,identifier__allmovie,identifier__SFDb,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,identifier__IIAF,name__ku_arab,name__ku_latn,occupation,identifier__TWFY,identifier__bbc_democracy_live,identifier__guardian_topic,name__ty,identifier__wikitree,identifier__snac,identifier__nlg,identifier__quora,identifier__parliamentary_record,identifier__PACE,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__azb,name__or,name__mai,name__ext,wikipedia__arwikinews,wikipedia__azb,wikipedia__eswikinews,wikipedia__mai,wikipedia__or,wikipedia__ptwikinews,wikipedia__srwikinews,wikipedia__trwikinews,identifier__CSPAN,identifier__TED,identifier__kinopoisk,identifier__nyt_topic,identifier__BBC_things,identifier__ne_se,identifier__politifact,noble_title,identifier__NSK,identifier__NLP,wikipedia__vo,name__pdc,name__stq,identifier__google_knowledge,name__eml,wikipedia__eml,name__lo,wikipedia__dewikinews,wikipedia__kowikinews,wikipedia__lo,wikipedia__svwikinews,identifier__bigenc_ru,identifier__BiblioNet,instagram,linkedin,identifier__national_archives,wikipedia__bewikiquote,wikipedia__ce,wikipedia__lmo,identifier__debretts_today,name__gu,name__ky,wikipedia__gu,wikipedia__ky,identifier__youtube,wikipedia__zhwikinews,name__frr,name__mt,name__fit,identifier__ORCID,name__ilo,name__xmf,wikipedia__ilo,wikipedia__xmf,identifier__PORT,identifier__CSFD,identifier__SCOPE,identifier__DNF,identifier__elonet,name__aa,name__ak,name__ang,name__ay,name__bjn,name__cbk_zam,name__cdo,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__dtp,name__ee,name__egl,name__ff,name__fj,name__gag,name__gn,name__hif_latn,name__hil,name__ho,name__hz,name__ig,name__ik,name__ike_latn,name__jbo,name__kaa,name__ki,name__lad,name__nah,name__sn,name__zea,identifier__nobel_prize,identifier__DoUB,identifier__WelshBiography,name__gom,wikipedia__gom
Q258473,"Adam Afriyie",male,,,1965-08-04,Adam,,,https://upload.wikimedia.org/wikipedia/commons/2/25/Adam_Afriyie_on_street.jpg,,,,,,,,/m/062td6,,mp122427,commons/adam-afriyie/1586,,,,,,,,http://adamafriyie.org,,,,,,"Adam Afriyie","Adam Afriyie",mr-adam-afriyie,,"Adam Afriyie",,"Adam Afriyie",,,,"Adam Afriyie","Adam Afriyie","Adam Afriyie","Adam Afriyie","Adam Afriyie",,,,,,,"Category:Adam Afriyie",,,,,,,,"Adam Afriyie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adam Afriyie",,,,,,,,"Adam Afriyie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adam Afriyie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam_Afriyie,4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,adam_afriyie,35516,,,,,,Adam-Afriyie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q689348,"Adam Holloway",male,315533683,,1965-07-29,Adam,,,,,,,nb2010030522,,,,/m/062r2x,,,commons/adam-holloway/1522,,,,,,,,,,,,,,"Adam Holloway","Adam Holloway",mr-adam-holloway,,,"Adam Holloway","Adam Holloway","Adam Holloway",,"Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway",,"Adam Holloway",,,,"Adam Holloway",,,,,,,,"Adam Holloway",,,"亞當·霍洛韋",,,,,,,,,,,,,"亞當·霍洛韋",,,"Adam Holloway","Adam Holloway","Adam Holloway",,"Adam Holloway",,"Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway",,,"Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway",,"Adam Holloway","Adam Holloway",,"Adam Holloway","Adam Holloway",,,,,,,,"Adam Holloway",,,,,,,,,"Adam Holloway",,,"Adam Holloway",,,AdamHollowayMP,,"Adam Holloway",,,,,,,,,,,"آدم هولواي",,,,,,"Adam Holloway","Adam Holloway",,,,"Adam Holloway",,,,"آدم هولواي",,,,,,,,,,,,,,,,,,"Adam Holloway",,,,,"Adam Holloway",,,,,,,,,,,,"Adam Holloway",,,,,,,,,"Adam Holloway",,,,,,"Adam Holloway",,"Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway","Adam Holloway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam_Holloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,adam_holloway,35356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q350602,"Adam Ingram",male,,,1947-02-01,Adam,,,,,,,,,,Ingram,/m/02fb88,,,,,,,,,,,,,,,,,"Adam Ingram","Adam Ingram (Labour politician)",mr-adam-ingram,,,,"Adam Paterson Ingram",,,,"Adam Ingram","Adam Ingram","Adam Ingram","Adam Ingram","Adam Ingram",,,,,,,,"Adam Paterson Ingram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"アダム・イングラム",,,,,,,,,,,,,,"Adam Ingram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3405033,"Adam Price",male,53866748,,1968-09-23,Adam,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Adam_Price_2016.jpg,,,,,,,,,,,,,,,,11494363X,,,,,,,,,"Adam Price","Adam Price",mr-adam-price,,,"Adam Price","Adam Price",,,"Adam Price","Adam Price","Adam Price","Adam Price","Adam Price","Adam Price",,,,,,,,,,,"Adam Price",,,,,,,,,"Adam Price","Адам Прайс",,,,,,"Adam Price",,,,,,,,,,"アダム・プライス",,,,"Adam Price",,"Adam Price",,,,"Adam Price","Adam Price","Adam Price",,"Adam Price",,,,,,,,"Adam Price",,,,,,,,"Adam Price","Adam Price",,,,,,,,"Adam Price",,,,,,,,,"Adam Price",,,"Adam Price",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adam Price",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adam Price",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q260013,"Adrian Bailey",male,,,1945-12-11,Adrian,,,https://upload.wikimedia.org/wikipedia/commons/6/61/Adrian_Bailey.jpg,,,,,,,Bailey,/m/025jkc,,,commons/mr-adrian-bailey/320,,,,,,,,,,,,,,"Adrian Bailey","Adrian Bailey",mr-adrian-bailey,,,"Adrian Bailey","Adrian Bailey","Adrian Bailey",,"Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Category:Adrian Bailey",,,,,,,,,,,,"Adrian Bailey","Adrian Bailey","Адриан Бэйли",,"阿德里安·拜利",,,"آدریان بیلی",,,,,,,,,,"阿德里安·拜利",,,"Adrian Bailey","Adrian Bailey","Adrian Bailey",,"Adrian Bailey",,"Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey",,,"Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey",,"Adrian Bailey","Adrian Bailey",,"Adrian Bailey",,,,,,,,,"Adrian Bailey",,,,,,,,,"Adrian Bailey",,,"Adrian Bailey",,,AdrianBailey4MP,,"Adrian Bailey",,,,,,,,,,,,,,,,,"Adrian Bailey","Adrian Bailey",,,,"Adrian Bailey",,,,,,,,,,,,,,,,,,,,,,"Adrian Bailey",,,,,"Adrian Bailey",,,,,,,,,,,,"Adrian Bailey",,,,,,,,,"Adrian Bailey",,,,,,"Adrian Bailey",,"Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey","Adrian Bailey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adrianbaileywestbromwest,,,,,,,,,,,,,,,,,,,,Adrian_Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,adrian_bailey/west_bromwich_west,25800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4685018,"Adrian Flook",male,,,1963-07-09,Adrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adrian Flook","Adrian Flook",mr-adrian-flook,,,,"Adrian Flook",,,,"Adrian Flook","Adrian Flook","Adrian Flook","Adrian Flook","Adrian Flook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adrian Flook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stockbroker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q479047,"Adrian Sanders",male,,,1959-04-25,Adrian,,,https://upload.wikimedia.org/wikipedia/commons/6/68/AdrianSandersMP_2009.jpg,,,,,,,Sanders,/m/029ydz,,,commons/mr-adrian-sanders/237,,,,,,,,http://www.libdems.org.uk/adrian_sanders,,,,,,"Adrian Sanders","Adrian Sanders",mr-adrian-sanders,,,,"Adrian Sanders",,,,"Adrian Sanders","Adrian Sanders","Adrian Sanders","Adrian Sanders","Adrian Sanders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adrian Sanders",,,,,,,,,,,,,,,,"Adrian Sanders","Adrian Sanders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrian_Sanders,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,adrian_sanders,25377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6712373,"Afzal Khan",male,,,1960-04-05,Mohammed,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Afzal_Khan.jpg,,,124962,,,,,,,,,,,,,,,,,,,,,,"Afzal Khan","Afzal Khan (British politician)",,,,,"Mohammed Afzal Khan","M. Afzal Khan",,,,"Afzal Khan","Afzal Khan","Afzal Khan","Afzal Khan",,,,"Afzal Khan","Afzal Khan","Afzal Khan",,"Mohammed Afzal Khan (Politiker)",,,,"Afzal Khan (homme politique)",,,,,"Afzal Khan",,,,"Афзал Кхан",,,,,,,,,,,,,,,,,,,,,,,,,,"Afzal Khan",,,,"Afzal Khan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q269886,"Aidan Burley",male,,,1979-01-22,Aidan,,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Aidan_Burley_campaign_photograph_2010.jpg,,,,,,,,/m/02rfg2g,,,commons/mr-aidan-burley/3937,,,,,,,,http://www.parliament.uk/biographies/commons/mr-aidan-burley/3937,,,,,,"Aidan Burley","Aidan Burley",,,,,"Aidan Burley",,,,"Aidan Burley","Aidan Burley","Aidan Burley","Aidan Burley","Aidan Burley","Aidan Burley","Aidan Burley","Aidan Burley","Aidan Burley","Aidan Burley","Aidan Burley",,"Aidan Burley",,,,"Aidan Burley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aidan Burley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aidan_Burley,5528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,aidan_burley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q260960,"Alan Beith",male,173046654,,1943-04-20,Alan,,,https://upload.wikimedia.org/wikipedia/commons/6/68/Alan_Beith_MP_Liverpool.jpg,,,,,,,Beith,/m/025g9m,,,lords/lord-beith/513,,,,,,,,http://alanbeith.org.uk,,,,,,"Alan Beith","Alan Beith",mr-alan-beith,,"Alanus Beith",,"Alan Beith","Alan Beith",,,"Alan Beith","Alan Beith","Alan Beith","Alan Beith","Alan Beith",,"Alan Beith","Alan Beith","Alan Beith","Alan Beith","Alan Beith","Category:Alan Beith","Alan Beith",,,,"Alan Beith",,,"Alanus Beith",,"Alan Beith",,"Alan Beith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alan Beith",,,,,,,,,,,,,,,,"Alan Beith","Alan Beith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alan_Beith,3936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,alan_beith,25716,,,,,,,,1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
