id,label,description,type
Q25525260,Minister of Finance,Ukrainian minister,cabinet
Q6866156,Minister of Foreign Affairs,"",cabinet
Q25827669,Minister of Fuel and Energy,Ukrainian minister,cabinet
Q12131528,Minister of Interior Affairs,Minister in Ukraine,cabinet
Q1145714,Prime Minister of Ukraine,position,cabinet
Q16147568,First Deputy Prime Minister of Ukraine,"",cabinet
Q579677,President of Ukraine,Ukrainian head of state,executive
Q12164846,Commissioner for anti-corruption policy,"",other
Q369716,General Prosecutor of Ukraine,"",other
Q23645130,Mayor of Donetsk,"",other
Q679817,Chairman of the Verkhovna Rada,speaker of Ukrainian parliament,self
Q12132454,People's Deputy of Ukraine,"",self
Q30185,mayor,head of municipal government such as a town or city,unknown
Q4294702,Ministry of Social Policy,"",unknown
Q212071,rector,academic official,unknown
