id,label,description,type
Q7883173,Under Secretary of State for Arms Control and International Security Affairs,"",executive
Q7883175,Under Secretary of State for Democracy and Global Affairs,"",executive
Q7889749,United States Deputy Secretary of Commerce,"",executive
Q1029955,United States Secretary of Agriculture,position,cabinet
Q2003296,United States Secretary of Commerce,"",cabinet
Q735015,United States Secretary of Defense,position,cabinet
Q1029968,United States Secretary of Energy,position,cabinet
Q642859,United States Secretary of Homeland Security,head of the United States Department of Homeland Security,cabinet
Q2419581,United States Secretary of Housing and Urban Development,"",cabinet
Q967750,United States Secretary of Labor,position,cabinet
Q967737,United States Secretary of Transportation,position,cabinet
Q1658460,United States Secretary of Veterans Affairs,"",cabinet
Q4683606,Administrator of Veterans Affairs,"",other
Q4818639,Attorney General of Kentucky,attorney general for the U.S. state of Kentucky,other
Q4818643,Attorney General of New Mexico,attorney general for the U.S. state of New Mexico,other
Q8563951,Florida Attorney General,attorney general for the U.S. state of Florida,other
Q5461290,Florida Commissioner of Agriculture,"",other
Q5461629,Florida State Treasurer/Insurance Commissioner/Fire Marshal,"",other
Q558677,Governor of Alabama,position,other
Q20765963,Governor of Arkansas,"",other
Q887090,Governor of Connecticut,governor of the U.S. state of Connecticut,other
Q20801656,Governor of Delaware,"",other
Q20198851,Governor of Florida,"",other
Q880198,Governor of Georgia,position,other
Q5589655,Governor of Hawaii,governor of the U.S. state of Hawaii,other
Q878260,Governor of Idaho,position,other
Q3112719,Governor of Illinois,"",other
Q16147601,Governor of Indiana,"",other
Q4151335,Governor of Kentucky,head of the executive branch of government in the Commonwealth of Kentucky,other
Q20766109,Governor of Louisiana,"",other
Q3506352,Governor of Maine,"",other
Q693032,Governor of Maryland,position,other
Q5589680,Governor of Michigan,"",other
Q20801651,Governor of Nevada,"",other
Q5589687,Governor of New Hampshire,"",other
Q3112728,Governor of New Jersey,governor of the U.S. state of New Jersey,other
Q17089908,Governor of New Mexico,"",other
Q16202700,Governor of North Carolina,"",other
Q20644070,Governor of Ohio,the governor of Ohio,other
Q2550683,Governor of Oklahoma,governor of the U.S. state of Oklahoma,other
Q20801659,Governor of Pennsylvania,"",other
Q456951,Governor of Puerto Rico,position,other
Q3773752,Governor of South Carolina,"head of state for the State of South Carolina, USA",other
Q2626318,Governor of South Dakota,governor of the U.S. state of South Dakota,other
Q5589724,Governor of Tennessee,"",other
Q878942,Governor of Virginia,position,other
Q19647220,Governor of Washington,"head of the Washington State, USA",other
Q20801652,Governor of West Virginia,"",other
Q20670163,ICDB commissioner,"",other
Q6544406,Lieutenant Governor of American Samoa,"",other
Q17031696,Lieutenant Governor of Delaware,"",other
Q6544413,Lieutenant Governor of Guam,"",other
Q929060,Lieutenant Governor of Idaho,position,other
Q3238288,Lieutenant Governor of Illinois,"",other
Q1853534,Lieutenant Governor of Montana,"",other
Q16191529,Lieutenant Governor of Nevada,"",other
Q1660669,Lieutenant Governor of Ohio,"",other
Q931202,Lieutenant Governor of Virginia,position,other
Q6738422,Majority Leader of the Illinois House of Representatives,"",other
Q22975465,"Mayor of Burlington, Vermont","",other
Q6797687,"Mayor of Charlotte, North Carolina","",other
Q1760078,Mayor of Chicago,"",other
Q16146956,"Mayor of Englewood, New Jersey","",other
Q1535739,Mayor of San Diego,head of the executive branch of the San Diego city government,other
Q18390053,Member of the United States Securities and Exchange Commission,"",other
Q7054623,North Carolina Superintendent of Public Instruction,"",other
Q7080745,Ohio Attorney General,attorney general for the U.S. state of Ohio,other
Q7241339,President of the Maryland Senate,leading political position in Maryland,other
Q1294433,Resident Commissioner of Puerto Rico,Wikimedia list article,other
Q7444366,Secretary of State of Florida,"",other
Q6123144,Secretary of State of Puerto Rico,"",other
Q7444385,Secretary of State of Rhode Island,"",other
Q7450652,Senior Advisor to the President,"",other
Q7566950,South Dakota Attorney General,attorney general for the U.S. state of South Dakota,other
Q7574293,Speaker of the Maryland House of Delegates,"",other
Q6597942,Speaker of the Massachusetts House of Representatives,Wikimedia list article,other
Q11811869,United States Ambassador to Canada,"",other
Q326552,United States Ambassador to Germany,position,other
Q7889318,United States Ambassador to Japan,"",other
Q7889381,United States Ambassador to Switzerland and Liechtenstein,"",other
Q7889409,United States Ambassador to the Federated States of Micronesia,"",other
Q1785225,United States Ambassador to the United Nations,"",other
Q7889422,United States Ambassador to the United Nations Human Rights Council,"",other
Q7889399,United States Ambassador to Vietnam,"",other
Q11699,Vice President of the United States,public office in the United States,other
Q786242,White House Chief of Staff,position,other
Q18648747,Member of the Alabama House of Representatives,elected Representative,other_legislatures
Q17486298,Member of the Arizona House of Representatives,a member of the House of Representative of the state of Arizona,other_legislatures
Q18180908,member of the California State Assembly,"elected Representative in California, USA",other_legislatures
Q17485005,member of the Colorado House of Representatives,"",other_legislatures
