id,name__en,name,wikipedia__en,gender,birth_date,identifier__freebase,identifier__UScongress,identifier__NNDB,image,family_name,given_name,identifier__VIAF,identifier__LCAuth,name__fa,name__fr,name__ar,name__ms,name__yo,name__de,name__it,name__sv,name__nl,name__es,name__nb,name__da,name__nn,name__he,wikipedia__ar,wikipedia__de,wikipedia__fa,wikipedia__fr,wikipedia__it,wikipedia__ms,wikipedia__sv,wikipedia__yo,original_wikiname,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__ru,name__fi,name__cy,name__cs,name__ga,name__zh,name__sh,name__uk,name__el,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__es,wikipedia__fi,wikipedia__ga,wikipedia__he,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__uk,wikipedia__zh,identifier__IMDB,identifier__OLID,website,twitter,identifier__FAST,name__eo,name__ro,name__af,name__la,name__ja,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__et,name__tr,name__an,name__ast,name__bar,name__br,name__ca,name__co,name__de_at,name__eu,name__frp,name__fur,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__ace,name__az,name__iu,name__sq,name__tw,name__bn,name__hi,name__hy,name__ko,name__ka,name__new,name__got,name__ml,name__ta,name__te,name__si,name__dsb,name__haw,name__hsb,name__ig,name__jv,name__nov,name__pdc,name__pih,name__tet,name__tl,name__tpi,name__war,name__nan,name__lv,name__wuu,name__sg,name__bcl,name__bm,name__ku,name__yue,name__yi,name__azb,name__bg,name__tt,wikipedia__ace,wikipedia__af,wikipedia__als,wikipedia__azb,wikipedia__az,wikipedia__bcl,wikipedia__bg,wikipedia__bm,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ca,wikipedia__dsb,wikipedia__enwikinews,wikipedia__eo,wikipedia__et,wikipedia__gl,wikipedia__got,wikipedia__haw,wikipedia__hsb,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__iu,wikipedia__ja,wikipedia__jv,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lv,wikipedia__ml,wikipedia__nn,wikipedia__nov,wikipedia__oc,wikipedia__pdc,wikipedia__pih,wikipedia__plwikiquote,wikipedia__pms,wikipedia__ro,wikipedia__sco,wikipedia__sg,wikipedia__sq,wikipedia__sw,wikipedia__tet,wikipedia__tl,wikipedia__tr,wikipedia__tt,wikipedia__tw,wikipedia__vi,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__zh_min_nan,wikipedia__zh_yue,identifier__ISNI,identifier__GND,identifier__BNF,identifier__FEC,instagram,facebook,wikipedia__mg,wikipedia__sk,name__lt,name__pag,wikipedia__cswikiquote,wikipedia__lt,wikipedia__itwikiquote,name__sr,wikipedia__sr,identifier__rotten_tomatoes,wikipedia__sl,identifier__SUDOC,name__vmf,identifier__NTA,wikipedia__eu,wikipedia__bar,name__be_tarask,name__be,name__bpy,name__ceb,name__fo,name__fy,name__ilo,name__ksh,name__lmo,name__mk,name__mn,name__mr,name__my,name__th,name__uz,name__vep,name__arz,wikipedia__an,wikipedia__arz,wikipedia__be_x_old,wikipedia__be,wikipedia__bpy,wikipedia__ceb,wikipedia__fo,wikipedia__fy,wikipedia__hr,wikipedia__ilo,wikipedia__ka,wikipedia__ksh,wikipedia__liwikiquote,wikipedia__lmo,wikipedia__mk,wikipedia__mn,wikipedia__mr,wikipedia__my,wikipedia__nds,wikipedia__nlwikiquote,wikipedia__ruwikinews,wikipedia__scn,wikipedia__si,wikipedia__ta,wikipedia__th,wikipedia__uz,wikipedia__vec,wikipedia__vep,wikipedia__viwikisource,identifier__NLA,identifier__NKC,identifier__SELIBR,identifier__Britannica,wikipedia__hy,wikipedia__slwikiquote,identifier__NUKAT,identifier__ULAN,electoral_district,identifier__MGP,name__tg_latn,name__sr_ec,name__tg,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,wikipedia__eswikiquote,wikipedia__tg,identifier__Munzinger,name__ps,wikipedia__ps,wikipedia__trwikiquote,name__bs,death_date,name__as,wikipedia__as,name__ckb,wikipedia__bswikiquote,wikipedia__ckb,identifier__NDL,wikipedia__frwikiquote,name__ur,name__dv,wikipedia__dv,wikipedia__frp,wikipedia__hi,wikipedia__kowikiquote,wikipedia__ptwikiquote,wikipedia__simplewikiquote,wikipedia__ur,identifier__CANTIC,name__am,wikipedia__am,name__ht,wikipedia__ht,identifier__AlloCine,identifier__allmovie,wikipedia__lb,identifier__NLAtrove,name__diq,wikipedia__te,identifier__GTAA,linkedin,wikipedia__ast,identifier__IIAF,name__simple,name__kn,name__pa,wikipedia__kn,wikipedia__pa,wikipedia__bgwikiquote,identifier__MusicBrainz,identifier__discogs,identifier__N6I,wikipedia__svwikiquote,wikipedia__nowikiquote,name__szl,wikipedia__fawikiquote,wikipedia__fiwikiquote,wikipedia__sc,wikipedia__skwikiquote,wikipedia__szl,wikipedia__zhwikiquote,name__no,identifier__NPG,identifier__dmoz,occupation,identifier__opensecrets,identifier__wikitree,identifier__CSPAN,identifier__ballotpedia,identifier__youtube,identifier__politifact,identifier__nyt_topic,wikipedia__tawikiquote,identifier__kinopoisk,wikipedia__azwikiquote,identifier__goodreads,identifier__GNC,identifier__britishmuseum,identifier__nlg,identifier__ne_se,identifier__SFDb,identifier__FJC_bio,wikipedia__hewikiquote,identifier__CiNii,name__ang,name__hak,name__kaa,wikipedia__ang,wikipedia__hak,wikipedia__kaa,identifier__BNE,identifier__google_plus,name__ty,second_surname,identifier__CONOR,wikipedia__ie,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__CSFD,identifier__DNF,name__bo,name__kk,name__pnb,name__sgs,name__qu,wikipedia__bat_smg,wikipedia__bo,wikipedia__dewikiquote,wikipedia__huwikiquote,wikipedia__ia,wikipedia__kk,wikipedia__new,wikipedia__pnb,wikipedia__qu,identifier__BiblioNet,identifier__TED,identifier__nobel_prize,wikipedia__ruwikiquote,name__eml,wikipedia__eml,identifier__google_knowledge,identifier__votesmart
Q1018322,"Donald Lukens","Donald Lukens","Donald ""Buz"" Lukens",male,1931-02-11,/m/0344c1,L000509,256/000129866,https://upload.wikimedia.org/wikipedia/commons/a/a4/Buzlukens.jpg,,Donald,36479137,no91004235,,"Buz Lukens",,,,"Buz Lukens","Buz Lukens","Buz Lukens","Buz Lukens","Buz Lukens","Buz Lukens","Buz Lukens","Buz Lukens",,,"Buz Lukens",,,"Buz Lukens",,,,"Donald Lukens",,,,,,,,"Buz Lukens",,,"Donald Lukens",,,,,,,,,,,,,,,,,,,,"Buz Lukens",,,,,,,,,,,1754061,,,,,,,,,,,,,,,,"Buz Lukens",,,,,,,,,,"Buz Lukens",,,,,,,"Donald Lukens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1026119,"Cal Dooley","Cal Dooley","Cal Dooley",male,1954-01-11,/m/024td1,D000424,953/000036845,https://upload.wikimedia.org/wikipedia/commons/e/e0/Caldooley.jpg,,Cal,26993936,,,"Cal Dooley",,,,"Cal Dooley","Cal Dooley","Cal Dooley","Cal Dooley","Cal Dooley","Cal Dooley","Cal Dooley","Cal Dooley",,,"Cal Dooley",,,,,,,"Calvin M. Dooley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cal Dooley",,,,,,,"Cal Dooley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1027026,"Jeff Duncan","Jeff Duncan","Jeff Duncan (politician)",male,1966-01-07,/m/0ddgp1k,D000615,,"https://upload.wikimedia.org/wikipedia/commons/2/2e/Jeff_Duncan,_Official_Portrait,_112th_Congress.jpg",,Jeff,,,"جف دانکن","Jeff Duncan",,,,"Jeff Duncan","Jeff Duncan","Jeff Duncan","Jeff Duncan","Jeff Duncan","Jeff Duncan","Jeff Duncan","Jeff Duncan","ג'ף דאנקן",,"Jeff Duncan","جف دانکن","Jeff Duncan","Jeff Duncan",,"Jeff Duncan",,"Jeff Duncan (politician)",,,,,,,,,"Джефф Дункан",,,,,"傑夫·鄧肯",,"Джефф Дункан",,,,,,,,,,,,,,,,,,,,"Джефф Дункан","傑夫·鄧肯",,,http://jeffduncan.house.gov,RepJeffDuncan,,,,,,"ジェフ・ダンカン",,,,,,,,,,,,,,,,,,,,,"Jeff Duncan",,,,,,,"Jeff Duncan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H0SC03077,repjeffduncan,RepJeffDuncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,N00030752,,,Jeff_Duncan,UC1tuXL6ymImdpKYGEAH83QA,jeff-duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47967
Q1027431,"Tim Wirth","Tim Wirth","Tim Wirth",male,1939-09-22,/m/0g8dy,W000647,,https://upload.wikimedia.org/wikipedia/commons/5/50/Tim_Wirth.jpg,,Tim,84596713,n88133331,"تیموتی ئی. ویرت","Tim Wirth",,,,"Tim Wirth","Tim Wirth","Tim Wirth","Tim Wirth","Tim Wirth","Tim Wirth","Tim Wirth","Tim Wirth",,,"Tim Wirth","تیموتی ئی. ویرت",,,,"Tim Wirth",,"Timothy E. Wirth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ティモシー・エンディコット・ワース",,,,,,,,,,,,,,,,,,,,,"Timothy E. Wirth",,,,,,,"Tim Wirth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timothy E. Wirth",,,,,"ティモシー・エンディコット・ワース",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Wirth-518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1027684,"Alton R. Waldon","Alton R. Waldon","Alton R. Waldon Jr.",male,1936-12-21,/m/0fq1cv,W000038,,https://upload.wikimedia.org/wikipedia/commons/2/25/Alton_Waldon.jpg,,Alton,,,,"Alton R. Waldon",,,"Alton R. Waldon","Alton R. Waldon junior","Alton R. Waldon, Jr.","Alton R. Waldon","Alton R. Waldon","Alton R. Waldon","Alton R. Waldon","Alton R. Waldon","Alton R. Waldon",,,"Alton R. Waldon junior",,,,,,"Alton R. Waldon, Jr.","Alton R. Waldon, Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alton R. Waldon",,,,,,,"Alton R. Waldon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1029527,"Steve Womack","Steve Womack","Steve Womack",male,1957-02-18,/m/0cmcvkz,W000809,157/000266356,"https://upload.wikimedia.org/wikipedia/commons/4/4f/Steve_Womack,_Official_Portrait,_112th_Congress_-_Hi_Res.jpg",,Steve,,,"استیو ومک","Steve Womack",,,,"Steve Womack","Steve Womack","Steve Womack","Steve Womack","Steve Womack","Steve Womack","Steve Womack","Steve Womack",,,"Steve Womack","استیو ومک","Steve Womack","Steve Womack",,,,"Steve Womack",,,,,,,,,,,,,,"史提夫·沃麥克",,"Стів Вомак",,,,,,,,"Author:Stephen Allen Womack",,,,,,,,,,,,"Стів Вомак","史提夫·沃麥克",,,http://womack.house.gov,Rep_SteveWomack,,,,,,"スティーブ・ウォマック",,,,,,,,,,,,,,,,,,,,,"Steve Womack",,,,,,,"Steve Womack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H0AR03055,,RepSteveWomack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,N00031857,,,Steve_Womack,UCXJbUDLYX-wGIhRuN66hqZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71815
Q1037241,"Carl C. Perkins","Carl C. Perkins","Carl C. Perkins",male,1954-08-06,/m/07nw37,P000229,,https://upload.wikimedia.org/wikipedia/commons/b/b1/Carl_C._Perkins.jpg,,Carl,201975365,,"کارل سی. پرکینز","Carl C. Perkins",,,,"Carl C. Perkins","Carl C. Perkins","Carl C. Perkins","Carl C. Perkins","Carl C. Perkins","Carl C. Perkins","Carl C. Perkins","Carl C. Perkins",,,"Carl C. Perkins",,,,,,,"Carl C. Perkins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl C. Perkins",,,,,,,,,,,,,,,"Carl C. Perkins",,,,,,,"Carl C. Perkins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl C. Perkins",,,,,,,,,,,170460304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1037428,"Carl D. Perkins","Carl D. Perkins","Carl D. Perkins",male,1912-10-15,/m/03npg8,P000230,288/000129898,https://upload.wikimedia.org/wikipedia/commons/e/e5/CarlDPerkinsCongress.jpg,,Carl,62353003,n84149001,"کارل دی. پرکینز","Carl D. Perkins",,,,"Carl D. Perkins","Carl D. Perkins","Carl D. Perkins","Carl D. Perkins","Carl D. Perkins","Carl D. Perkins","Carl D. Perkins","Carl D. Perkins",,,"Carl D. Perkins",,,,,,,"Carl D. Perkins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144369,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl D. Perkins",,,,,,,"Carl D. Perkins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000 0000 6319 5811",119197901,120066445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10390,"John McCain","John McCain","John McCain",male,1936-08-29,/m/0bymv,M000303,914/000023845,https://upload.wikimedia.org/wikipedia/commons/e/e1/John_McCain_official_portrait_2009.jpg,,John,27972425,nr91003214,"جان مک‌کین","John McCain","جون ماكين","John McCain","John Mccain","John McCain","John McCain","John McCain","John McCain","John McCain","John McCain","John McCain","John McCain","ג'ון מקיין","جون ماكين","John McCain","جان مک‌کین","John McCain","John McCain","John McCain","John McCain","John Mccain","John McCain","约翰·麦凯恩","約翰·麥凱恩",,,,,"John McCain","John McCain","Маккейн, Джон","John McCain","John McCain","John McCain","John McCain","約翰·麥凱恩","John McCain","Джон Маккейн","Τζον Μακέιν","John McCain","John McCain","John McCain","John McCain","Τζον Μακέιν","John McCain","Author:John McCain","John McCain","John McCain","John McCain","ג'ון מקיין","John McCain","John McCain","John McCain","John McCain","Маккейн, Джон","John McCain","John McCain","Джон Маккейн","約翰·麥凱恩",nm0564587,OL20126A,http://www.johnmccain.com/,SenJohnMccain,280977,"John McCain","John McCain",,"Ioannes McCain","ジョン・マケイン","John McCain","John McCain","John McCain","John McCain","John McCain","John McCain","John McCain",,,"John McCain","John McCain",,,"John McCain",,,,"John McCain",,"John McCain","John McCain",,"John McCain",,"John McCain","John McCain",,"John McCain","John McCain",,,,,"John McCain",,,"John Mc Cain",,,,,"John McCain","John McCain","John McCain","John McCain",,,"John McCain","John McCain",,,,,,,"Con Makkeyn",,"John McCain",,"জন ম্যাককেইন",,,"존 매케인","ჯონ მაკ-კეინი",,,"ജോൺ മക്കെയ്ൻ","ஜான் மெக்கெய்ன்",,"ජෝන් මැකේන්",,,"John McCain",,"John McCain","John McCain","John McCain",,,"John McCain",,,"John McCain","Džons Makeins","强 马凯恩",,"John McCain",,,"麥堅","דזשאן מעקעין",,"Джон Маккейн",,,,,,"Con Makkeyn","John McCain","Джон Маккейн",,"জন ম্যাককেইন","John McCain",,"John McCain",,,"John McCain","John McCain","John McCain",,,"John McCain","John McCain","John McCain","John McCain","John McCain",,"ジョン・マケイン","John McCain","존 매케인",,"Ioannes McCain","Džons Makeins","ജോൺ മക്കെയ്ൻ","John McCain","John McCain","John Mc Cain","John McCain",,"John McCain",,"John McCain","John McCain",,"John McCain","John McCain",,"John McCain","John McCain",,,"John McCain",,,"强·马凯恩","דזשאן מעקעין","John McCain","麥堅","0000 0001 1827 3670",123180880,15699714j,P80002801,senjohnmccain,johnmccain,,"John McCain","John McCain",,"John McCain","John McCain","John McCain","Џон Мекејн","Џон Мекејн",,"John McCain",121286401,,202929469,"John McCain",,"Джон Макейн","Джон Сідні Макейн","জন ম্যাককেইন","John McCain","John McCain","John McCain","John McCain","John McCain","John McCain","Џон Мекејн","Жон МакКэйн","जॉन मॅककेन","ဂျွန်မက်ကိန်း","จอห์น แมคเคน","John McCain","Makkein Džon","جون ماكين","John McCain","جون ماكين","Джон Макейн","Джон Сідні Мак-Кейн","জন ম্যাককেইন","John McCain","John McCain","John McCain","John McCain","John McCain","ჯონ მაკ-კეინი","John McCain","John McCain","John McCain","Џон Мекејн","Жон МакКэйн","जॉन मॅककेन","ဂျွန်မက်ကိန်း","John McCain","John McCain","Категория:Джон Маккейн","John McCain","ජෝන් මැකේන්","ஜான் மெக்கெய்ன்","จอห์น แมคเคน","John McCain","John McCain","Makkein Džon","Tác gia:John McCain",44077211,xx0075484,314459,biography/John-McCain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"جان مکین",,,,,,,,"جان مکین",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,N00006424,McCain-6,johnmccain,John_McCain,UC9IJssXDUaKHzwx6gW4wEoA,john-mccain,person/john-mccain,,,,,,185097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53270
Q1043079,"Carlos Moorhead","Carlos Moorhead","Carlos Moorhead",male,1922-05-05,/m/0261xcy,M000926,367/000129977,https://upload.wikimedia.org/wikipedia/commons/5/53/Carlos_Moorhead.jpg,,Carlos,,,,"Carlos Moorhead",,,,"Carlos Moorhead","Carlos Moorhead","Carlos Moorhead","Carlos Moorhead","Carlos Moorhead","Carlos Moorhead","Carlos Moorhead","Carlos Moorhead",,,"Carlos Moorhead",,,,,,,"Carlos J. Moorhead",,,,,,,,,,,"Carlos Moorhead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlos Moorhead",,,,,,,,,,"Carlos Moorhead",,,,,,,"Carlos Moorhead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
