id,label,description,type
Q11696,President of the United States of America,head of state and of government of the USA,cabinet
Q636207,United States Attorney General,position,cabinet
Q1029955,United States Secretary of Agriculture,position,cabinet
Q735015,United States Secretary of Defense,position,cabinet
Q967762,United States Secretary of Education,position,cabinet
Q1029968,United States Secretary of Energy,position,cabinet
Q2419581,United States Secretary of Housing and Urban Development,"",cabinet
Q967750,United States Secretary of Labor,position,cabinet
Q14213,United States Secretary of State,U.S. cabinet member and head of the U.S. State Department,cabinet
Q4215834,United States Secretary of the Treasury,"",cabinet
Q967737,United States Secretary of Transportation,position,cabinet
Q11699,Vice President of the United States,public office in the United States,cabinet
Q940135,United States Secretary of the Navy,position,cabinet
Q18180908,member of the California State Assembly,"elected Representative in California, USA",other_legislatures
Q17485005,member of the Colorado House of Representatives,"",other_legislatures
Q18763331,member of the Connecticut House of Representatives,elected representative in Connecticut,other_legislatures
Q18342844,Member of the Florida House of Representatives,elected Representative of the legislature of the state of florida,other_legislatures
Q17548315,member of the Georgia House of Representatives,"",other_legislatures
Q19319643,Member of the Hawaii House of Representatives,"",other_legislatures
Q17495450,member of the Illinois House of Representatives,"political office in Illinois, USA",other_legislatures
Q17486706,member of the Iowa House of Representatives,"",other_legislatures
Q17487134,Member of the Kansas House of Representatives,elected Representative,other_legislatures
Q17355090,member of the Louisiana House of Representatives,elected representative,other_legislatures
Q18713970,member of the Maine House of Representatives,elected Representative in the State of Maine,other_legislatures
Q20064986,member of the Maryland House of Delegates,"",other_legislatures
Q17342542,Member of the Massachusetts House of Representatives,"",other_legislatures
Q18654736,member of the Michigan House of Representatives,elected Representative,other_legislatures
Q17487661,Member of the Mississippi House of Representatives,"",other_legislatures
Q18131809,Member of the Missouri House of Representatives,elected Representative,other_legislatures
Q17496847,Member of the Montana House of Representatives,"elected representative in Montana, USA",other_legislatures
Q18341124,member of the Nevada Assembly,"",other_legislatures
Q18536527,member of the New Jersey General Assembly,"",other_legislatures
Q18089655,Member of the North Carolina House of Representatives,"",other_legislatures
Q17502533,member of the Ohio House of Representatives,"",other_legislatures
Q18925362,Member of the Oklahoma House of Representatives,"",other_legislatures
Q19360415,member of the Oregon House of Representatives,"elected Representative in Oregon, USA",other_legislatures
Q19754409,member of the South Carolina House of Representatives,"",other_legislatures
Q19360976,member of the South Dakota House of Representatives,elected representative in South Dakota,other_legislatures
Q19690441,member of the State Senate of California,"",other_legislatures
Q19831739,member of the State Senate of Connecticut,"",other_legislatures
Q19961062,member of the State Senate of Florida,"",other_legislatures
Q18655026,member of the State Senate of Idaho,"",other_legislatures
Q20058778,member of the State Senate of Illinois,"",other_legislatures
Q18707052,member of the State Senate of Iowa,"",other_legislatures
Q19617175,member of the State Senate of Kansas,elected Representative,other_legislatures
Q18091440,member of the State Senate of Louisiana,state senator for Louisiana,other_legislatures
Q18342769,member of the State Senate of Maine,"",other_legislatures
Q18675883,member of the State Senate of Michigan,"",other_legislatures
Q18195558,member of the State Senate of Mississippi,"",other_legislatures
Q21365323,member of the State Senate of Montana,"",other_legislatures
Q19264592,member of the State Senate of New Hampshire,"",other_legislatures
Q19385767,member of the State Senate of New Jersey,"",other_legislatures
Q20065429,member of the State Senate of Ohio,"",other_legislatures
Q21367377,member of the State Senate of Oklahoma,"",other_legislatures
Q19689183,member of the State Senate of Oregon,"",other_legislatures
Q19397347,member of the State Senate of Rhode Island,"",other_legislatures
Q18676729,member of the State Senate of South Carolina,"",other_legislatures
Q18604340,member of the State Senate of Virginia,"",other_legislatures
Q21368444,member of the State Senate of West Virginia,"",other_legislatures
Q17602055,member of the State Senate of Wisconsin,"",other_legislatures
Q19394559,member of the State Senate of Wyoming,"",other_legislatures
Q18604553,member of the Texas House of Representatives,elected representative,other_legislatures
Q18694588,Member of the United States House of Representatives from Virginia,"",other_legislatures
Q17598395,member of the Washington House of Representatives,elected Representative,other_legislatures
Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,other_legislatures
Q18341783,Member of the Wyoming House of Representatives,"",other_legislatures
Q13218630,United States representative,elected representative in the US,other_legislatures
Q1140848,President pro tempore of the United States Senate,second-highest-ranking official of the United States Senate,self
Q13217683,United States Senator,member of the United States Senate,self
Q28530268,Majority Leader of the United States Senate,Group leader of the bigger party in US Senate,self
