id,position,label,description,start_date,replaces,end_date,replaced_by,constituency,of,election
Q1027431,Q13217683,United States Senator,member of the United States Senate,1987-01-03,Gary Hart,1993-01-03,Ben Nighthorse Campbell,,,
Q1027431,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1027431,Q7883175,Under Secretary of State for Democracy and Global Affairs,"",1994-05-12,,1997-12-23,Frank E. Loy,,,
Q10390,Q13217683,United States Senator,member of the United States Senate,1987-01-03,Barry Goldwater,,,Arizona,,
Q10390,Q13218630,United States representative,elected representative in the US,1983-01-03,John Jacob Rhodes,1987-01-03,John Jacob Rhodes III,,,
Q1045798,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1064692,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1071782,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1077594,Q13217683,United States Senator,member of the United States Senate,2013-01-03,,,,Connecticut,,
Q1077594,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1077594,Q18763331,member of the Connecticut House of Representatives,elected representative in Connecticut,"",,,,,,
Q1077594,Q19831739,member of the State Senate of Connecticut,"","",,,,,,
Q1077819,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1077819,Q20064986,member of the Maryland House of Delegates,"","",,,,,,
Q10853588,Q13217683,United States Senator,member of the United States Senate,2017-01-03,Barbara Boxer,,,California,,
Q10853588,Q3406489,Attorney General of California,"Attorney General of California, United States","",,,,,,
Q108886,Q13217683,United States Senator,member of the United States Senate,1977-01-03,,1983-01-03,,,,
Q1094716,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1126725,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1135767,Q13217683,United States Senator,member of the United States Senate,2013-10-31,Jeffrey Chiesa,,,,,
Q1135767,Q20899061,Mayor of Newark,Mayor of a  town in New Jersey,2006-07-01,Sharpe James,2013-10-31,Luis A. Quintana,,,
Q1135774,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1135774,Q17485005,member of the Colorado House of Representatives,"","",,,,,,
Q1138576,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1138576,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1138576,Q18341783,Member of the Wyoming House of Representatives,"","",,,,,,
Q1174268,Q13217683,United States Senator,member of the United States Senate,1978-11-08,Muriel Humphrey Brown,1995-01-03,Rod Grams,,,
Q1189069,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1239374,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1239374,Q21367377,member of the State Senate of Oklahoma,"","",,,,,,
Q1240457,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1240457,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1282411,Q13217683,United States Senator,member of the United States Senate,2013-07-16,Mo Cowan,,,,,
Q1282411,Q13218630,United States representative,elected representative in the US,1976-11-02,Torbert Macdonald,2013-01-03,Mike Capuano,Massachusetts's 7th congressional district,,
Q1282411,Q13218630,United States representative,elected representative in the US,2013-01-03,Niki Tsongas,2013-07-15,Katherine Clark,Massachusetts's 5th congressional district,,
Q1285613,Q1029968,United States Secretary of Energy,position,1995-01-03,"Donald W. Riegle, Jr.",2001-01-03,Debbie Stabenow,,,
Q1285613,Q1029968,United States Secretary of Energy,position,2001-01-20,Bill Richardson,2005-01-31,Samuel Bodman,,,
Q1285613,Q13217683,United States Senator,member of the United States Senate,1995-01-03,"Donald W. Riegle, Jr.",2001-01-03,Debbie Stabenow,,,
Q1287554,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1287554,Q1785225,United States Ambassador to the United Nations,"","",,,,,,
Q130024,Q13217683,United States Senator,member of the United States Senate,2005-01-03,Zell Miller,,,Georgia,,
Q130024,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q130024,Q17548315,member of the Georgia House of Representatives,"","",,,,,,
Q1337643,Q13217683,United States Senator,member of the United States Senate,1967-01-03,Ross Bass,1985-01-03,Al Gore,,,
Q1337643,Q786242,White House Chief of Staff,"American political role, appointed by the President",1987-02-27,Donald Regan,1988-07-01,Kenneth Duberstein,,,
Q1337643,Q7889318,United States Ambassador to Japan,"",2001-07-05,Tom Foley,2005-02-17,Tom Schieffer,,,
Q1344425,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1344707,Q13217683,United States Senator,member of the United States Senate,2011-01-03,,,,Arkansas,,
Q1344707,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1345201,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1345201,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q134549,Q13217683,United States Senator,member of the United States Senate,1962-11-07,Benjamin A. Smith II,2009-08-25,Paul G. Kirk,,,"United States Senate special election in Massachusetts, 1962"
Q13475242,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q13475242,Q18707052,member of the State Senate of Iowa,"","",,,,,,
Q1363468,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1363468,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1363468,Q1660669,Lieutenant Governor of Ohio,"",1991-01-14,Paul Leonard,1994-11,Nancy Hollister,,,
Q1363468,Q7080745,Ohio Attorney General,attorney general for the U.S. state of Ohio,2011-01-10,Richard Cordray,,,,,
Q1363487,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1365787,Q13217683,United States Senator,member of the United States Senate,2011-01-03,Sam Brownback,,,Kansas,,
Q1365787,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1365787,Q19617175,member of the State Senate of Kansas,elected Representative,"",,,,,,
Q1368405,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1368405,Q19360415,member of the Oregon House of Representatives,"elected Representative in Oregon, USA","",,,,,,
Q1372206,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1372206,Q18707052,member of the State Senate of Iowa,"","",,,,,,
Q1385418,Q13217683,United States Senator,member of the United States Senate,1948-12-31,William C. Feazel,1987-01-03,John Breaux,,,
Q1386836,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1386836,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1400609,Q13217683,United States Senator,member of the United States Senate,1971-01-01,John J. Williams,2001-01-03,Tom Carper,,,
Q1400609,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1406773,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1494930,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1494930,Q18675883,member of the State Senate of Michigan,"","",,,,,,
Q1525924,Q13217683,United States Senator,member of the United States Senate,2011-01-03,Kit Bond,,,,,
Q1525924,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q155125,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q155125,Q17342542,Member of the Massachusetts House of Representatives,"","",,,,,,
Q155985,Q13217683,United States Senator,member of the United States Senate,1995-01-03,,2007-01-03,,,,
Q155985,Q13218630,United States representative,elected representative in the US,1991-01-03,,1995-01-03,,,,
Q1586255,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1586255,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q160157,Q13217683,United States Senator,member of the United States Senate,1989-01-03,Lowell P. Weicker,2013-01-03,Chris Murphy,,,
Q160157,Q19831739,member of the State Senate of Connecticut,"","",,,,,,
Q160157,Q5161480,Connecticut Attorney General,attorney general for the U.S. state of Connecticut,1983-01-05,Carl R. Ajello,1989-01-03,Clarine Nardi Riddle,,,
Q16192221,Q13217683,United States Senator,member of the United States Senate,2015-01-03,,,,,,
Q16476,Q13217683,United States Senator,member of the United States Senate,2013-01-03,Daniel Akaka,,,,,
Q16476,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q16476,Q19319643,Member of the Hawaii House of Representatives,"","",,,,,,
Q16476,Q912560,Lieutenant Governor of Hawaii,lieutenant governor,1994-12-02,Ben Cayetano,2002-12-02,James Aiona,,,
Q1686994,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1686994,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1689050,Q13217683,United States Senator,member of the United States Senate,1986-07-14,John Porter East,1986-11-04,Terry Sanford,,,
Q1689050,Q13218630,United States representative,elected representative in the US,1969-01-03,Basil Lee Whitener,1986-07-14,Cass Ballenger,,,
Q1689229,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1689229,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1689229,Q18131809,Member of the Missouri House of Representatives,elected Representative,"",,,,,,
Q1691395,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1691395,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q1699509,Q1140848,President pro tempore of the United States Senate,second-highest-ranking official of the United States Senate,1987-01-03,Strom Thurmond,1989-01-03,Robert Byrd,,,
Q1699509,Q13217683,United States Senator,member of the United States Senate,1947-11-05,Theodore Gilmore Bilbo,1989-01-03,Trent Lott,,,
Q1699509,Q13217683,United States Senator,member of the United States Senate,1947-11-17,Theodore Gilmore Bilbo,1989-01-03,Trent Lott,,,
Q1699509,Q17487661,Member of the Mississippi House of Representatives,"","",,,,,,
Q1699908,Q13217683,United States Senator,member of the United States Senate,2003-01-03,,2009-01-03,,,,
Q1699908,Q13218630,United States representative,elected representative in the US,1997-01-03,,2003-01-03,,New Hampshire's 1st congressional district,,
Q1701454,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q17402717,Q13217683,United States Senator,member of the United States Senate,2015-01-03,,,,Georgia,,
Q1807209,Q13217683,United States Senator,member of the United States Senate,1977-01-03,,1995-01-03,,,,
Q1807209,Q7889282,United States Ambassador to China,"",1996-02-14,,1999-07-01,,,,
Q1811690,Q13217683,United States Senator,member of the United States Senate,1981-01-03,Herman Talmadge,1987-01-03,Wyche Fowler,Georgia,,
Q182642,Q13217683,United States Senator,member of the United States Senate,1974-12-24,Howard Metzenbaum,1999-01-03,George Voinovich,Ohio,,
Q1827902,Q13217683,United States Senator,member of the United States Senate,2012-12-26,,,,Hawaii,,
Q1827902,Q19319643,Member of the Hawaii House of Representatives,"","",,,,,,
Q1840588,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1840588,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q187516,Q13217683,United States Senator,member of the United States Senate,2000-07-24,Paul Coverdell,2005-01-03,Johnny Isakson,Georgia,,
Q187516,Q846307,Lieutenant Governor of Georgia,position,1975-01-14,Lester Maddox,1991-01-14,Pierre Howard,,,
Q187516,Q880198,Governor of Georgia,head of the executive branch of Georgia's U.S. state government,1991-01-14,Joe Frank Harris,1999-01-11,Roy Barnes,,,
Q1886056,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1886056,Q17495450,member of the Illinois House of Representatives,"political office in Illinois, USA","",,,,,,
Q1894476,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q1894476,Q18526160,member of the Wisconsin State Assembly,Representative of the state of Wisconsin,"",,,,,,
Q1895804,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
