id,name,image,given_name,family_name,sort_name,birth_date,gender,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr,house,start_date,state,district,party,homepage,address,phone,fax,area_id,term,end_date,identifier__bioguide_previous,identifier__wikidata,identifier__google_entity_id,end_date
A000009,"James Abdnor",https://theunitedstates.io/images/congress/original/A000009.jpg,James,Abdnor,"Abdnor, James",1923-02-13,male,A000009,00001,,400672,,,,,"James Abdnor",8259,,,,14000,sen,1981-01-06,SD,,Republican,,,,,ocd-division/country:us/state:sd,97,1983-01-03,,Q614868,kg:/m/03vwqw,1983-01-03
A000009,"James Abdnor",https://theunitedstates.io/images/congress/original/A000009.jpg,James,Abdnor,"Abdnor, James",1923-02-13,male,A000009,00001,,400672,,,,,"James Abdnor",8259,,,,14000,sen,1983-01-03,SD,,Republican,,,,,ocd-division/country:us/state:sd,98,1983-01-06,,Q614868,kg:/m/03vwqw,1983-01-06
A000009,"James Abdnor",https://theunitedstates.io/images/congress/original/A000009.jpg,James,Abdnor,"Abdnor, James",1923-02-13,male,A000009,00001,,400672,,,,,"James Abdnor",8259,,,,14000,sen,1985-01-06,SD,,Republican,,,,,ocd-division/country:us/state:sd,99,1987-01-03,,Q614868,kg:/m/03vwqw,1987-01-03
A000031,"Brock Adams",https://theunitedstates.io/images/congress/original/A000031.jpg,Brockman,Adams,"Adams, Brockman",1927-01-13,male,A000031,00005,S180,400692,,,,,"Brock Adams",8296,,,,10700,sen,1987-01-06,WA,,Democrat,,,,,ocd-division/country:us/state:wa,100,1989-01-03,,Q357718,kg:/m/03vw3c,1989-01-03
A000031,"Brock Adams",https://theunitedstates.io/images/congress/original/A000031.jpg,Brockman,Adams,"Adams, Brockman",1927-01-13,male,A000031,00005,S180,400692,,,,,"Brock Adams",8296,,,,10700,sen,1989-01-06,WA,,Democrat,,,,,ocd-division/country:us/state:wa,101,1991-01-03,,Q357718,kg:/m/03vw3c,1991-01-03
A000031,"Brock Adams",https://theunitedstates.io/images/congress/original/A000031.jpg,Brockman,Adams,"Adams, Brockman",1927-01-13,male,A000031,00005,S180,400692,,,,,"Brock Adams",8296,,,,10700,sen,1991-01-06,WA,,Democrat,,,,,ocd-division/country:us/state:wa,102,1993-01-03,,Q357718,kg:/m/03vw3c,1993-01-03
A000069,"Daniel K. Akaka",https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,"Daniel Akaka",8354,,,,14400,sen,1990-05-16,HI,,Democrat,,,,,ocd-division/country:us/state:hi,101,1991-01-03,,Q359366,kg:/m/01rbrq,1991-01-03
A000069,"Daniel K. Akaka",https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,"Daniel Akaka",8354,,,,14400,sen,1991-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,102,1993-01-03,,Q359366,kg:/m/01rbrq,1993-01-03
A000069,"Daniel K. Akaka",https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,"Daniel Akaka",8354,,,,14400,sen,1993-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,103,1995-01-03,,Q359366,kg:/m/01rbrq,1995-01-03
A000069,"Daniel K. Akaka",https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,"Daniel Akaka",8354,,,,14400,sen,1995-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,104,1997-01-03,,Q359366,kg:/m/01rbrq,1997-01-03
A000069,"Daniel K. Akaka",https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,"Daniel Akaka",8354,,,,14400,sen,1997-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,105,1999-01-03,,Q359366,kg:/m/01rbrq,1999-01-03
A000069,"Daniel K. Akaka",https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,"Daniel Akaka",8354,,,,14400,sen,1999-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,106,2001-01-03,,Q359366,kg:/m/01rbrq,2001-01-03
A000069,"Daniel K. Akaka",https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,"Daniel Akaka",8354,,,,14400,sen,2001-01-06,HI,,Democrat,http://akaka.senate.gov,,,,ocd-division/country:us/state:hi,107,2003-01-03,,Q359366,kg:/m/01rbrq,2003-01-03
