id,wikidata
state:al,Q173
state:ak,Q797
state:az,Q816
state:ar,Q1612
state:ca,Q99
state:co,Q1261
state:ct,Q779
state:de,Q1393
state:fl,Q812
state:ga,Q1428
state:hi,Q782
state:id,Q1221
state:il,Q1204
state:in,Q1415
state:ia,Q1546
state:ks,Q1558
state:ky,Q1603
state:la,Q1588
state:me,Q724
state:md,Q1391
state:ma,Q771
state:mi,Q1166
state:mn,Q1527
state:ms,Q1494
state:mo,Q1581
state:mt,Q1212
state:ne,Q1553
state:nv,Q1227
state:nh,Q759
state:nj,Q1408
state:nm,Q1522
state:ny,Q1384
state:nc,Q1454
state:nd,Q1207
state:oh,Q1397
state:ok,Q1649
state:or,Q824
state:pa,Q1400
state:ri,Q1387
state:sc,Q1456
state:sd,Q1211
state:tn,Q1509
state:tx,Q1439
state:ut,Q829
state:vt,Q16551
state:va,Q1370
state:wa,Q1223
state:wv,Q1371
state:wi,Q1537
state:wy,Q1214
