id,position,label,description,start_date,constituency,end_date,election,term,replaces,replaced_by,of
Q10694,Q25713850,Leader of Plaid Cymru,Welsh party leader,2012,,,,,Ieuan Wyn Jones,,
Q10694,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,South Wales Central,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q10694,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,South Wales Central,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q10694,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2011-05-05,South Wales Central,2016-04-06,"National Assembly for Wales election, 2011",4th Welsh Assembly,,,
Q10694,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Rhondda,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q11001680,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Llanelli,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q11001680,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Mid and West Wales,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q11001680,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,Llanelli,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q11162843,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,South Wales Central,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q11162843,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,South Wales Central,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q11162843,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,Cardiff North,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q111840,Q18996,First Minister of Wales,leader of the Welsh Government,2009-12-10,,,,,Rhodri Morgan,,
Q111840,Q23766510,Leader of Welsh Labour,UK party leader,2009-12-10,,,,,Rhodri Morgan,,
Q111840,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,,
Q111840,Q32947389,Minister for Agriculture and Rural Development,Historic cabinet position in Welsh Cabinet,2000-02-09,,2003-05-01,,,,,
Q111840,Q33108632,Minister for Environment and Rural Affairs,Historic Welsh Cabinet position,2003-05-01,,2007-05-25,,,,,
Q111840,Q33108882,"Minister for Education, Culture and the Welsh Language",Historic Welsh Cabinet position,2007-05-25,,2007-07-19,,,Jane Davidson,Jane Hutt,
Q111840,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Bridgend,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q111840,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Bridgend,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q111840,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,Bridgend,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q111840,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2011-05-05,Bridgend,2016-04-06,"National Assembly for Wales election, 2011",4th Welsh Assembly,,,
Q111840,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Bridgend,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q111840,Q5176615,Counsel General for Wales,"",2007-07-19,,2009-12-09,,,"",John Griffiths,
Q117720,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Neath,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q117720,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Neath,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q117720,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,Neath,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q117720,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2011-05-05,Neath,2016-04-06,"National Assembly for Wales election, 2011",4th Welsh Assembly,,,
Q13129493,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,South Wales East,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q14420732,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2013-08-01,Ynys Môn,2016-04-06,"Ynys Môn by-election, 2013",4th Welsh Assembly,,,
Q14420732,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Ynys Môn,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q16144618,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Cardiff South and Penarth,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q16144618,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Cardiff South and Penarth,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q16144618,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,Cardiff South and Penarth,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q16191105,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2011-05-05,Cardiff Central,2016-04-06,"National Assembly for Wales election, 2011",4th Welsh Assembly,,,
Q16191105,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Cardiff Central,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q16191114,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2011-05-05,Aberavon,2016-04-06,"National Assembly for Wales election, 2011",4th Welsh Assembly,,,
Q16191114,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Aberavon,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q16734718,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2011-05-05,Islwyn,2016-04-06,"National Assembly for Wales election, 2011",4th Welsh Assembly,,,
Q16735288,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2011-07-06,North Wales,2016-04-06,"National Assembly for Wales election, 2011",4th Welsh Assembly,,,
Q1687064,Q18952564,Member of the House of Lords,"","",,,,,,,
Q1687064,Q281113,Office of the Secretary of State for Wales,UK government ministerial department responsible for Welsh affairs,"",,,,,,,
Q1687064,Q33106228,Minister for Culture,Historic Welsh Cabinet position,2000-02-09,,2003-05-01,,,,,
Q1687064,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Cardiff Central,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q1687064,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Cardiff Central,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q1687064,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,Cardiff Central,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
