id,name,sort_name,family_name,given_name,gender
BAUDRY Frédéric,BAUDRY Frédéric,BAUDRY Frédéric,BAUDRY,Frédéric,male
FALELAVAKI Petelo,FALELAVAKI Petelo,FALELAVAKI Petelo,FALELAVAKI,Petelo,male
FELEU Yannick,FELEU Yannick,FELEU Yannick,FELEU,Yannick,female
HANISI Petelo,HANISI Petelo,HANISI Petelo,HANISI,Petelo,male
IKAI Eselone,IKAI Eselone,IKAI Eselone,IKAI,Eselone,male
ILOAI Nivaleta,ILOAI Nivaleta,ILOAI Nivaleta,ILOAI,Nivaleta,female
KANIMOA Patalione,KANIMOA Patalione,KANIMOA Patalione,KANIMOA,Patalione,male
KOLOKILAGI Atoloto,KOLOKILAGI Atoloto,KOLOKILAGI Atoloto,KOLOKILAGI,Atoloto,male
KULIMOETOKE Mikaele,KULIMOETOKE Mikaele,KULIMOETOKE Mikaele,KULIMOETOKE,Mikaele,male
LAUFILITOGA Mireille,LAUFILITOGA Mireille,LAUFILITOGA Mireille,LAUFILITOGA,Mireille,female
MOTUKU Sosefo,MOTUKU Sosefo,MOTUKU Sosefo,MOTUKU,Sosefo,male
MULIAKAAKA Munipoese,MULIAKAAKA Munipoese,MULIAKAAKA Munipoese,MULIAKAAKA,Munipoese,male
NAU Vetelino,NAU Vetelino,NAU Vetelino,NAU,Vetelino,male
NIUTOUA Pasikale « MOETOTO »,NIUTOUA Pasikale « MOETOTO »,NIUTOUA Pasikale « MOETOTO »,NIUTOUA,Pasikale « MOETOTO »,male
SAVEA Toma Akino,SAVEA Toma Akino,SAVEA Toma Akino,SAVEA,Toma Akino,male
SELUI Emile,SELUI Emile,SELUI Emile,SELUI,Emile,male
SUVE Sosefo,SUVE Sosefo,SUVE Sosefo,SUVE,Sosefo,male
TAUFANA Bernard,TAUFANA Bernard,TAUFANA Bernard,TAUFANA,Bernard,male
VEA Savelina,VEA Savelina,VEA Savelina,VEA,Savelina,female
VERGE David,VERGE David,VERGE David,VERGE,David,male
